observation_date,M1NTOTL1ES000
1925-01-01,6424
1926-01-01,6887
1927-01-01,7124
1928-01-01,7301
1929-01-01,7507
1930-01-01,7336
1931-01-01,6840
1932-01-01,6085
1933-01-01,5695
1934-01-01,5795
1935-01-01,5844
1936-01-01,5956
1937-01-01,6647
1938-01-01,6797
1939-01-01,6788
1940-01-01,7087
1941-01-01,7856
1942-01-01,8987
1943-01-01,9115
1944-01-01,9412
1945-01-01,9704
1946-01-01,11133
1947-01-01,13814
1948-01-01,16365
1949-01-01,17884
1950-01-01,19286
1951-01-01,22071
1952-01-01,23465
1953-01-01,24960
1954-01-01,26266
1955-01-01,27834
1956-01-01,31101
1957-01-01,34199
1958-01-01,36551
1959-01-01,38036
1960-01-01,38940
1961-01-01,40109
1962-01-01,41686
1963-01-01,43630
1964-01-01,46123
1965-01-01,49572
1966-01-01,54208
1967-01-01,59421
1968-01-01,65379
1969-01-01,72375
1970-01-01,79890
1971-01-01,87265
1972-01-01,94651
1973-01-01,105236
1974-01-01,122815
1975-01-01,144510
1976-01-01,158669
1977-01-01,177528
1978-01-01,200827
1979-01-01,230932
1980-01-01,266747
1981-01-01,307167
1982-01-01,341239
1983-01-01,356660
1984-01-01,376435
1985-01-01,403654
1986-01-01,430632
1987-01-01,455976
1988-01-01,489842
1989-01-01,523784
1990-01-01,556863
1991-01-01,585881
1992-01-01,603088
1993-01-01,629535
1994-01-01,664453
1995-01-01,713353
1996-01-01,753508
1997-01-01,802934
1998-01-01,855687
1999-01-01,920754
2000-01-01,1002319
2001-01-01,1063167
2002-01-01,1098204
2003-01-01,1125082
2004-01-01,1177819
2005-01-01,1264323
2006-01-01,1359818
2007-01-01,1447186
2008-01-01,1532716
2009-01-01,1547176
2010-01-01,1558028
2011-01-01,1624254
2012-01-01,1706281
2013-01-01,1778762
2014-01-01,1876329
2015-01-01,1956895
2016-01-01,2012674
2017-01-01,2107877
2018-01-01,2209662
2019-01-01,2330683
2020-01-01,2427658
2021-01-01,2554413
2022-01-01,2825978
2023-01-01,3026607
2024-01-01,3194090
