observation_date,M1PTOTL1ES000
1925-01-01,7955
1926-01-01,8524
1927-01-01,8828
1928-01-01,9076
1929-01-01,9409
1930-01-01,9219
1931-01-01,8549
1932-01-01,7464
1933-01-01,7041
1934-01-01,7288
1935-01-01,7324
1936-01-01,7508
1937-01-01,8371
1938-01-01,8580
1939-01-01,8590
1940-01-01,8976
1941-01-01,9950
1942-01-01,11246
1943-01-01,11539
1944-01-01,12038
1945-01-01,12507
1946-01-01,14247
1947-01-01,17736
1948-01-01,20821
1949-01-01,22590
1950-01-01,24334
1951-01-01,27747
1952-01-01,29544
1953-01-01,31345
1954-01-01,32959
1955-01-01,34996
1956-01-01,38812
1957-01-01,42260
1958-01-01,44911
1959-01-01,46820
1960-01-01,48210
1961-01-01,49782
1962-01-01,51796
1963-01-01,54159
1964-01-01,57277
1965-01-01,61569
1966-01-01,67173
1967-01-01,73329
1968-01-01,80604
1969-01-01,89434
1970-01-01,98261
1971-01-01,107637
1972-01-01,117495
1973-01-01,131493
1974-01-01,153159
1975-01-01,178787
1976-01-01,196508
1977-01-01,221120
1978-01-01,252105
1979-01-01,290723
1980-01-01,334967
1981-01-01,381921
1982-01-01,420389
1983-01-01,438784
1984-01-01,463508
1985-01-01,496400
1986-01-01,531562
1987-01-01,566012
1988-01-01,607911
1989-01-01,649618
1990-01-01,688395
1991-01-01,721456
1992-01-01,742886
1993-01-01,778209
1994-01-01,822507
1995-01-01,880716
1996-01-01,929122
1997-01-01,987736
1998-01-01,1052162
1999-01-01,1132214
2000-01-01,1231526
2001-01-01,1311694
2002-01-01,1361824
2003-01-01,1411966
2004-01-01,1497124
2005-01-01,1622632
2006-01-01,1751846
2007-01-01,1852444
2008-01-01,1931948
2009-01-01,1928510
2010-01-01,1933238
2011-01-01,1997214
2012-01-01,2081931
2013-01-01,2176593
2014-01-01,2301350
2015-01-01,2397865
2016-01-01,2475581
2017-01-01,2599066
2018-01-01,2737301
2019-01-01,2879704
2020-01-01,3005721
2021-01-01,3211856
2022-01-01,3578376
2023-01-01,3800377
2024-01-01,3992907
