quarter,vintage_date,first_release,fuente
2007Q1,2007-04-27,1.260145824166159,PhilFed
2007Q2,2007-07-27,3.3822389847223855,PhilFed
2007Q3,2007-10-31,3.895902294036113,PhilFed
2007Q4,2008-01-30,0.6362205519658382,PhilFed
2008Q1,2008-04-30,0.5974437447809011,PhilFed
2008Q2,2008-07-31,1.8885513894914885,PhilFed
2008Q3,2008-10-30,-0.2521615647424591,PhilFed
2008Q4,2009-01-30,-3.8036670454245414,PhilFed
2009Q1,2009-04-29,-6.143679685185943,PhilFed
2009Q2,2009-07-31,-1.017340613111506,PhilFed
2009Q3,2009-10-29,3.5338544720342924,PhilFed
2009Q4,2010-01-29,5.7308533351730695,PhilFed
2010Q1,2010-04-30,3.2387298309743295,PhilFed
2010Q2,2010-07-30,2.3865793742806174,PhilFed
2010Q3,2010-10-29,2.009680499622024,PhilFed
2010Q4,2011-01-28,3.172966411356337,PhilFed
