code,date,urate,vrate,fuente
AUT,2010-01-01,5.3999999999999995,1.6,eurostat
AUT,2010-04-01,5.366666666666667,1.7,eurostat
AUT,2010-07-01,5.166666666666667,2.1,eurostat
AUT,2010-10-01,4.866666666666666,2.3,eurostat
AUT,2011-01-01,5.133333333333333,2.2,eurostat
AUT,2011-04-01,4.8,2.0,eurostat
AUT,2011-07-01,4.333333333333333,1.9,eurostat
AUT,2011-10-01,5.233333333333333,1.9,eurostat
AUT,2012-01-01,4.866666666666666,1.9,eurostat
AUT,2012-04-01,5.2,2.0,eurostat
AUT,2012-07-01,5.5,1.9,eurostat
AUT,2012-10-01,5.3999999999999995,1.6,eurostat
AUT,2013-01-01,5.833333333333333,1.8,eurostat
AUT,2013-04-01,5.433333333333334,1.8,eurostat
AUT,2013-07-01,5.7,1.6,eurostat
AUT,2013-10-01,5.866666666666667,1.8,eurostat
AUT,2014-01-01,6.1000000000000005,1.8,eurostat
AUT,2014-04-01,5.866666666666667,1.7,eurostat
AUT,2014-07-01,6.066666666666666,1.8,eurostat
AUT,2014-10-01,6.1000000000000005,1.9,eurostat
AUT,2015-01-01,6.0,1.9,eurostat
AUT,2015-04-01,6.266666666666667,1.9,eurostat
AUT,2015-07-01,6.066666666666666,2.0,eurostat
AUT,2015-10-01,6.3,2.0,eurostat
AUT,2016-01-01,6.466666666666666,2.1,eurostat
AUT,2016-04-01,6.6000000000000005,2.2,eurostat
AUT,2016-07-01,6.633333333333334,2.1,eurostat
AUT,2016-10-01,6.2,2.1,eurostat
AUT,2017-01-01,6.166666666666667,2.4,eurostat
AUT,2017-04-01,5.8999999999999995,2.8,eurostat
AUT,2017-07-01,5.866666666666667,2.8,eurostat
AUT,2017-10-01,5.833333333333333,2.8,eurostat
AUT,2018-01-01,5.433333333333334,3.1,eurostat
AUT,2018-04-01,5.0,3.0,eurostat
AUT,2018-07-01,5.366666666666667,3.3,eurostat
AUT,2018-10-01,5.1000000000000005,3.6,eurostat
AUT,2019-01-01,5.066666666666666,3.4,eurostat
AUT,2019-04-01,4.866666666666666,3.4,eurostat
AUT,2019-07-01,4.8,3.3,eurostat
AUT,2019-10-01,4.533333333333333,3.3,eurostat
AUT,2020-01-01,4.7,3.2,eurostat
AUT,2020-04-01,7.0,2.4,eurostat
AUT,2020-07-01,6.433333333333334,2.7,eurostat
AUT,2020-10-01,6.266666666666667,2.9,eurostat
AUT,2021-01-01,7.166666666666667,3.1,eurostat
AUT,2021-04-01,6.733333333333334,3.6,eurostat
AUT,2021-07-01,5.566666666666666,4.2,eurostat
AUT,2021-10-01,5.2,4.6,eurostat
AUT,2022-01-01,4.633333333333334,5.2,eurostat
AUT,2022-04-01,4.466666666666667,5.3,eurostat
AUT,2022-07-01,4.8999999999999995,5.4,eurostat
AUT,2022-10-01,4.933333333333334,5.3,eurostat
AUT,2023-01-01,4.966666666666666,5.1,eurostat
AUT,2023-04-01,5.0,4.8,eurostat
AUT,2023-07-01,5.433333333333334,4.6,eurostat
AUT,2023-10-01,5.166666666666667,4.3,eurostat
AUT,2024-01-01,4.866666666666667,4.4,eurostat
AUT,2024-04-01,5.133333333333334,4.0,eurostat
AUT,2024-07-01,5.333333333333333,3.8,eurostat
AUT,2024-10-01,5.366666666666667,3.8,eurostat
AUT,2025-01-01,5.466666666666666,3.4,eurostat
AUT,2025-04-01,5.733333333333333,3.4,eurostat
AUT,2025-07-01,5.7,3.2,eurostat
AUT,2025-10-01,5.833333333333333,2.9,eurostat
BEL,2013-01-01,8.5,2.2,eurostat
BEL,2013-04-01,8.533333333333333,2.5,eurostat
BEL,2013-07-01,8.566666666666666,2.4,eurostat
BEL,2013-10-01,8.633333333333333,2.4,eurostat
BEL,2014-01-01,8.733333333333333,2.2,eurostat
BEL,2014-04-01,8.533333333333333,2.3,eurostat
BEL,2014-07-01,8.633333333333333,2.4,eurostat
BEL,2014-10-01,8.7,1.9,eurostat
BEL,2015-01-01,8.833333333333334,2.1,eurostat
BEL,2015-04-01,8.666666666666666,2.7,eurostat
BEL,2015-07-01,8.266666666666666,2.6,eurostat
BEL,2015-10-01,8.833333333333334,2.3,eurostat
BEL,2016-01-01,8.233333333333333,2.6,eurostat
BEL,2016-04-01,8.166666666666666,2.8,eurostat
BEL,2016-07-01,7.7,2.9,eurostat
BEL,2016-10-01,7.233333333333334,2.9,eurostat
BEL,2017-01-01,7.633333333333333,3.2,eurostat
BEL,2017-04-01,7.266666666666668,3.3,eurostat
BEL,2017-07-01,7.066666666666667,3.5,eurostat
BEL,2017-10-01,6.433333333333334,3.4,eurostat
BEL,2018-01-01,6.133333333333333,3.5,eurostat
BEL,2018-04-01,6.333333333333333,3.5,eurostat
BEL,2018-07-01,5.7,3.6,eurostat
BEL,2018-10-01,5.733333333333333,3.5,eurostat
BEL,2019-01-01,5.599999999999999,3.6,eurostat
BEL,2019-04-01,5.566666666666666,3.4,eurostat
BEL,2019-07-01,5.133333333333333,3.4,eurostat
BEL,2019-10-01,5.2,3.4,eurostat
BEL,2020-01-01,5.033333333333333,3.2,eurostat
BEL,2020-04-01,5.1000000000000005,3.0,eurostat
BEL,2020-07-01,6.233333333333333,3.2,eurostat
BEL,2020-10-01,5.866666666666667,2.9,eurostat
BEL,2021-01-01,6.666666666666667,3.6,eurostat
BEL,2021-04-01,6.366666666666667,4.2,eurostat
BEL,2021-07-01,6.3,4.7,eurostat
BEL,2021-10-01,5.8,4.7,eurostat
BEL,2022-01-01,5.3,4.8,eurostat
BEL,2022-04-01,5.833333333333333,5.0,eurostat
BEL,2022-07-01,5.433333333333334,4.9,eurostat
BEL,2022-10-01,5.666666666666667,4.5,eurostat
BEL,2023-01-01,5.599999999999999,4.7,eurostat
BEL,2023-04-01,5.666666666666667,4.6,eurostat
BEL,2023-07-01,5.366666666666667,4.7,eurostat
BEL,2023-10-01,5.533333333333334,4.4,eurostat
BEL,2024-01-01,5.7,4.4,eurostat
BEL,2024-04-01,5.599999999999999,4.3,eurostat
BEL,2024-07-01,5.7,4.2,eurostat
BEL,2024-10-01,5.8999999999999995,4.2,eurostat
BEL,2025-01-01,6.166666666666667,4.1,eurostat
BEL,2025-04-01,6.066666666666666,3.9,eurostat
BEL,2025-07-01,6.166666666666667,3.8,eurostat
BEL,2025-10-01,6.400000000000001,3.5,eurostat
BGR,2009-01-01,7.0,0.7,eurostat
BGR,2009-04-01,7.4333333333333345,0.7,eurostat
BGR,2009-07-01,8.366666666666667,0.8,eurostat
BGR,2009-10-01,9.066666666666666,0.8,eurostat
BGR,2010-01-01,10.566666666666666,0.7,eurostat
BGR,2010-04-01,11.033333333333333,0.7,eurostat
BGR,2010-07-01,11.366666666666667,0.7,eurostat
BGR,2010-10-01,12.4,0.8,eurostat
BGR,2011-01-01,12.5,0.7,eurostat
BGR,2011-04-01,12.166666666666666,0.7,eurostat
BGR,2011-07-01,12.066666666666668,0.7,eurostat
BGR,2011-10-01,12.533333333333333,0.8,eurostat
BGR,2012-01-01,13.166666666666666,0.8,eurostat
BGR,2012-04-01,13.233333333333334,0.7,eurostat
BGR,2012-07-01,13.266666666666667,0.8,eurostat
