observation_date,RGDPNAMXA666NRUG
1950-01-01,168484.812500
1951-01-01,184758.921875
1952-01-01,191773.156250
1953-01-01,190364.984375
1954-01-01,211174.093750
1955-01-01,228525.203125
1956-01-01,246876.265625
1957-01-01,266786.062500
1958-01-01,278705.031250
1959-01-01,284479.687500
1960-01-01,309941.281250
1961-01-01,318761.500000
1962-01-01,331232.718750
1963-01-01,363111.718750
1964-01-01,412760.968750
1965-01-01,435792.218750
1966-01-01,462774.125000
1967-01-01,489038.375000
1968-01-01,533368.562500
1969-01-01,552843.562500
1970-01-01,589416.437500
1971-01-01,614003.437500
1972-01-01,666119.187500
1973-01-01,722133.687500
1974-01-01,766261.562500
1975-01-01,809257.125000
1976-01-01,843559.625000
1977-01-01,872601.437500
1978-01-01,944589.500000
1979-01-01,1031064.437500
1980-01-01,1116891.375000
1981-01-01,1215111.125000
1982-01-01,1206519.500000
1983-01-01,1154689.125000
1984-01-01,1196253.125000
1985-01-01,1229416.375000
1986-01-01,1183265.000000
1987-01-01,1205223.500000
1988-01-01,1220233.750000
1989-01-01,1271462.750000
1990-01-01,1335904.375000
1991-01-01,1392309.625000
1992-01-01,1442831.750000
1993-01-01,1490523.000000
1994-01-01,1556018.625000
1995-01-01,1464053.000000
1996-01-01,1555092.375000
1997-01-01,1667041.500000
1998-01-01,1770149.250000
1999-01-01,1818917.500000
2000-01-01,1910395.875000
2001-01-01,1901783.000000
2002-01-01,1897283.750000
2003-01-01,1919776.875000
2004-01-01,1988225.250000
2005-01-01,2030241.500000
2006-01-01,2127794.750000
2007-01-01,2172007.500000
2008-01-01,2192496.750000
2009-01-01,2054473.375000
2010-01-01,2156608.250000
2011-01-01,2230883.000000
2012-01-01,2310150.750000
2013-01-01,2329835.750000
2014-01-01,2388169.250000
2015-01-01,2452705.250000
2016-01-01,2496179.250000
2017-01-01,2542901.000000
2018-01-01,2593049.000000
2019-01-01,2582866.500000
2020-01-01,2367093.000000
2021-01-01,2510266.250000
2022-01-01,2603422.000000
2023-01-01,2689214.750000
