observation_date,RKNANPMXA666NRUG
1950-01-01,415028.56250
1951-01-01,443939.50000
1952-01-01,475898.03125
1953-01-01,505845.21875
1954-01-01,540322.93750
1955-01-01,579527.68750
1956-01-01,631771.37500
1957-01-01,686973.00000
1958-01-01,733574.93750
1959-01-01,778208.50000
1960-01-01,830701.12500
1961-01-01,884701.93750
1962-01-01,935840.62500
1963-01-01,1000840.37500
1964-01-01,1084370.25000
1965-01-01,1179670.50000
1966-01-01,1281582.75000
1967-01-01,1385075.00000
1968-01-01,1508512.12500
1969-01-01,1611524.25000
1970-01-01,1720407.25000
1971-01-01,1821928.12500
1972-01-01,1941039.87500
1973-01-01,2083733.00000
1974-01-01,2237338.75000
1975-01-01,2405505.50000
1976-01-01,2567267.00000
1977-01-01,2705042.00000
1978-01-01,2875234.25000
1979-01-01,3094565.00000
1980-01-01,3351841.00000
1981-01-01,3657681.00000
1982-01-01,3874959.75000
1983-01-01,3974376.00000
1984-01-01,4090092.75000
1985-01-01,4230042.00000
1986-01-01,4328456.00000
1987-01-01,4424549.00000
1988-01-01,4539001.50000
1989-01-01,4658385.50000
1990-01-01,4776021.00000
1991-01-01,4913728.00000
1992-01-01,5070182.00000
1993-01-01,5253452.00000
1994-01-01,5472600.50000
1995-01-01,5543877.50000
1996-01-01,5671429.50000
1997-01-01,5844027.00000
1998-01-01,6043366.50000
1999-01-01,6246603.00000
2000-01-01,6454623.50000
2001-01-01,6614301.00000
2002-01-01,6760300.00000
2003-01-01,6905019.50000
2004-01-01,7068316.50000
2005-01-01,7243768.00000
2006-01-01,7449402.50000
2007-01-01,7676115.00000
2008-01-01,7925027.00000
2009-01-01,8104519.00000
2010-01-01,8304676.50000
2011-01-01,8536764.00000
2012-01-01,8777368.00000
2013-01-01,8984429.00000
2014-01-01,9194518.00000
2015-01-01,9423436.00000
2016-01-01,9648700.00000
2017-01-01,9855634.00000
2018-01-01,10053732.00000
2019-01-01,10215500.00000
2020-01-01,10279037.00000
2021-01-01,10393107.00000
2022-01-01,10544608.00000
2023-01-01,10777758.00000
