ref_date,F,I,U,N
2005-04-01,4157109,9081290,490927,11853319
2005-05-01,4636965,10028450,506309,12574417
2005-06-01,4296016,9056421,481353,11405425
2005-07-01,4261191,9695165,572853,11552646
2005-08-01,4847553,10528817,597916,12914953
2005-09-01,4262135,8769484,480254,10996635
2005-10-01,4658406,9781848,521778,12103262
2005-11-01,4903738,10481176,477596,12963670
2005-12-01,4240202,8651182,370330,10714377
2006-01-01,4954077,10179878,547999,12866515
2006-02-01,4371579,9286080,513133,11604435
2006-03-01,4535119,9157656,475228,11436405
2006-04-01,4579088,9537974,469938,11778993
2006-05-01,4974944,10352660,458190,12713626
2006-06-01,4436337,9265875,458281,11436309
2006-07-01,5429908,9419500,615549,11836629
2006-08-01,5958560,10326643,668230,13174871
2006-09-01,4679782,7803367,520235,10325695
2006-10-01,5870615,9920548,635729,12711738
2006-11-01,5699551,9788876,560704,12389566
2006-12-01,4896610,7676261,425315,10553712
2007-01-01,6358656,9727744,670291,13677066
2007-02-01,5327749,8877309,582993,11912217
2007-03-01,5116667,8022197,518467,10884063
2007-04-01,5004935,10008422,529027,12614103
2007-05-01,5471716,10843140,541346,13438950
2007-06-01,4197627,8427399,428027,10378626
2007-07-01,5928095,10032743,648701,12884356
2007-08-01,5718866,9880876,610155,13027606
2007-09-01,4849180,7718314,495232,10690223
2007-10-01,6454740,11350720,695600,14031295
2007-11-01,5599215,9618490,514586,11786949
2007-12-01,5037706,7703814,420677,10237979
2008-01-01,6639208,10101251,691374,14001061
2008-02-01,5626696,9152701,593863,12013883
2008-03-01,5285964,8126159,511349,11030232
2008-04-01,5366285,11340958,605624,13403067
2008-05-01,5052320,10163413,500396,12446110
2008-06-01,4505955,8702618,479561,10760765
2008-07-01,6127876,10713636,716371,13450014
2008-08-01,5524908,9363109,636597,12307839
2008-09-01,5597269,8698559,636041,11932831
2008-10-01,5950962,10075780,681969,13598370
2008-11-01,5583600,9104258,648111,12075942
2008-12-01,4974002,7416826,528568,10800251
2009-01-01,4642173,9303453,720400,12035550
2009-02-01,4629543,9129219,748222,11706744
2009-03-01,5222087,10358161,801905,13676272
2009-04-01,5579733,9084584,743971,12637517
2009-05-01,5078632,8463399,764308,11625167
2009-06-01,5887688,10449832,866209,13736115
2009-07-01,5632276,9850335,934095,12886170
2009-08-01,5383501,9004250,978636,11775651
2009-09-01,5792672,10486501,1085266,13168467
2009-10-01,5568394,9876297,925088,12388409
2009-11-01,5404788,9127498,817915,11584548
2009-12-01,6300822,10867357,827737,14105744
2010-01-01,4486449,9014027,848130,11810697
2010-02-01,4707292,9510797,801342,12074853
2010-03-01,5820672,11758009,872376,14790740
2010-04-01,5282659,9373735,847499,12146206
2010-05-01,5395243,9048608,773311,11674876
2010-06-01,6161656,10758298,896813,13700158
2010-07-01,5434286,9659945,857022,12184126
2010-08-01,5796232,9859699,929650,12686738
2010-09-01,5838140,9991173,917505,13246034
2010-10-01,5575966,9197876,914771,12577118
2010-11-01,5960520,9272796,821697,12895592
2010-12-01,6284374,9696618,818136,14056312
2011-01-01,4825492,9245904,815048,12355769
2011-02-01,4869482,9772928,818299,12691817
2011-03-01,5656073,11152994,837722,14420402
2011-04-01,5258253,8361822,719748,11345481
2011-05-01,6467232,10391287,927871,14070712
2011-06-01,5951444,10217534,913395,13404714
2011-07-01,5662747,9360293,852847,12035901
2011-08-01,6176938,10322252,993251,13593689
2011-09-01,5908334,9949250,913640,13078421
2011-10-01,5902813,9770398,840502,12234178
2011-11-01,6114424,10101828,841762,12896570
2011-12-01,6105266,10312477,757723,13057841
2012-01-01,5381307,9997802,795424,12811211
2012-02-01,5271761,10439781,875156,13215859
2012-03-01,5735703,10969707,788141,13621138
2012-04-01,5807920,8965716,747979,11899426
2012-05-01,6491798,11104645,888385,14096450
2012-06-01,5969341,10102310,790678,12389908
2012-07-01,6190607,10547961,908933,12837524
2012-08-01,6160452,10582135,923876,13097789
2012-09-01,5887767,9730274,795859,12520306
2012-10-01,6503669,10493027,916782,13719647
2012-11-01,6227111,9775007,851381,12987588
2012-12-01,6488413,9456151,740024,13194095
2013-01-01,5655021,10777102,932500,14213007
2013-02-01,5299309,10084856,773061,12736152
2013-03-01,5724064,10014689,735895,13200702
2013-04-01,6505045,10050572,890601,13707152
2013-05-01,6382560,10419679,852252,13330476
2013-06-01,6257196,9461491,827093,12610957
2013-07-01,6646804,10521201,945553,13446638
2013-08-01,6184764,10144895,888110,13286701
2013-09-01,6470019,9582221,900588,13282502
2013-10-01,6621416,10396439,912200,13505281
2013-11-01,6224346,9997505,753514,12892194
2013-12-01,6777971,10279834,756166,13440825
2014-01-01,5866653,10624739,853052,13686673
2014-02-01,5626400,9911042,758384,13058086
2014-03-01,5931800,10506168,829723,13616930
2014-04-01,6659145,9633268,837177,13567841
2014-05-01,6542028,9758116,838597,13389911
2014-06-01,6463235,9880281,823916,13618682
2014-07-01,6699912,10161092,978122,13740054
2014-08-01,6396277,9623591,863038,13444722
2014-09-01,6926203,10268892,916869,14315389
2014-10-01,6324637,9626032,794723,13520716
2014-11-01,6345146,9664358,758865,13377102
2014-12-01,6350270,9780256,627802,13146397
2015-01-01,5379819,9295868,710060,12513683
2015-02-01,5472814,9937391,684022,13158796
2015-03-01,6501850,11973883,751715,15411433
2015-04-01,6373219,9559156,700632,13418255
2015-05-01,6160865,9389469,701760,12794369
2015-06-01,6970806,10895452,822705,14668038
2015-07-01,6564774,10165029,778147,13422297
2015-08-01,6664425,9794659,818633,13362759
2015-09-01,7031380,10970506,849525,14887579
2015-10-01,6483472,9755850,793208,13035236
2015-11-01,6659767,9941848,697755,12769293
2015-12-01,7580017,11387530,757743,15382306
2016-01-01,5478656,9658723,684376,12760119
2016-02-01,5924777,10527768,708135,13587933
2016-03-01,6649962,11755238,712473,15430109
2016-04-01,6505122,9631537,656236,13423484
2016-05-01,6939435,10336466,699566,13897630
2016-06-01,7100720,10969889,734490,14976581
2016-07-01,6380630,9544891,666380,12598081
2016-08-01,7259494,11217495,770321,14701757
2016-09-01,6982503,10581795,729020,14403650
2016-10-01,6625406,9902536,642987,13577304
2016-11-01,7131840,10385552,644241,14134339
2016-12-01,7328953,10524912,607137,14491776
2017-01-01,6074479,10462393,631983,13908198
2017-02-01,5727881,10365745,551722,13357851
2017-03-01,6754003,12134877,613466,15583674
2017-04-01,6473951,9304952,601358,13221781
2017-05-01,7489080,10933946,664904,15083838
2017-06-01,7104809,10604934,584120,14522240
2017-07-01,6767879,9698753,620779,13276749
2017-08-01,7343376,11153604,658332,15351302
2017-09-01,6922792,10376959,638915,14373983
2017-10-01,7208060,10466601,653078,14220366
2017-11-01,7045859,10444071,611234,14232527
2017-12-01,7236292,10378917,561463,14532413
2018-01-01,6521945,11054057,608603,14706712
2018-02-01,6127457,10630478,554628,13890281
2018-03-01,6523105,11729375,522498,15230597
2018-04-01,7175105,9881395,597205,13868717
2018-05-01,7609510,11296494,631168,15003151
2018-06-01,7215625,10507166,611580,14311294
2018-07-01,7329956,10668519,629770,14285229
2018-08-01,7539437,11204822,656265,14885219
2018-09-01,7019017,10259204,629660,14078828
2018-10-01,7921469,10941034,638184,15232273
2018-11-01,7159332,10761832,590001,14252196
2018-12-01,7378896,10482588,601863,14475319
2019-01-01,6928926,11496212,685253,15169379
2019-02-01,6047134,11191165,581224,14175816
2019-03-01,6383109,11552701,588758,14300848
2019-04-01,7557850,10491170,665092,14455843
2019-05-01,7640763,11523468,691727,15139963
2019-06-01,7132865,10650558,649316,13867022
2019-07-01,7817847,11051624,750137,14583320
2019-08-01,7437808,11383649,709875,14753946
2019-09-01,7355161,11059077,713815,14721745
2019-10-01,7785058,11015315,733044,14814810
2019-11-01,7380997,10857186,632487,14158043
2019-12-01,7858247,11419972,592323,15173784
2020-01-01,6786828,11468823,728079,14817960
2020-02-01,6438397,11461458,644630,14180419
2020-03-01,6596008,11546880,539480,14443940
2020-07-01,7200512,9477617,890716,15804906
2020-08-01,5766322,8231003,718898,13485182
2020-09-01,6473031,9354955,798784,14653587
