code,year,status,informal_rate
AFG,2021,TOTAL,86.135
AFG,2021,EES,70.448
AFG,2021,SLF,90.558
AGO,2019,TOTAL,88.056
AGO,2019,EES,59.114
AGO,2019,SLF,97.565
AGO,2020,TOTAL,89.104
AGO,2020,EES,54.955
AGO,2020,SLF,98.744
AGO,2021,TOTAL,89.395
AGO,2021,EES,57.333
AGO,2021,SLF,98.693
AGO,2022,TOTAL,92.135
AGO,2022,EES,73.939
AGO,2022,SLF,97.853
AGO,2023,TOTAL,95.188
AGO,2023,EES,85.587
AGO,2023,SLF,98.227
AGO,2024,TOTAL,95.276
AGO,2024,EES,86.869
AGO,2024,SLF,98.272
AGO,2025,TOTAL,94.488
AGO,2025,EES,84.243
AGO,2025,SLF,98.281
AGO,2004,TOTAL,79.162
AGO,2004,EES,44.751
AGO,2004,SLF,99.198
AGO,2011,TOTAL,84.316
AGO,2011,EES,47.099
AGO,2011,SLF,98.716
ARG,2004,TOTAL,60.403
ARG,2004,EES,47.826
ARG,2004,SLF,96.924
ARG,2005,TOTAL,58.812
ARG,2005,EES,46.067
ARG,2005,SLF,96.54
ARG,2006,TOTAL,56.024
ARG,2006,EES,42.91
ARG,2006,SLF,96.762
ARG,2008,TOTAL,51.14
ARG,2008,EES,36.93
ARG,2008,SLF,96.921
ARG,2009,TOTAL,50.513
ARG,2009,EES,35.783
ARG,2009,SLF,97.044
ARG,2010,TOTAL,49.336
ARG,2010,EES,34.837
ARG,2010,SLF,96.387
ARG,2011,TOTAL,48.498
ARG,2011,EES,33.992
ARG,2011,SLF,96.755
ARG,2012,TOTAL,48.474
ARG,2012,EES,33.896
ARG,2012,SLF,97.267
ARG,2013,TOTAL,48.05
ARG,2013,EES,32.829
ARG,2013,SLF,97.468
ARG,2014,TOTAL,47.444
ARG,2014,EES,31.887
ARG,2014,SLF,97.654
ARG,2017,TOTAL,48.563
ARG,2017,EES,32.274
ARG,2017,SLF,96.557
ARG,2018,TOTAL,48.73
ARG,2018,EES,32.401
ARG,2018,SLF,96.363
ARG,2019,TOTAL,49.918
ARG,2019,EES,33.06
ARG,2019,SLF,96.655
ARG,2020,TOTAL,46.981
ARG,2020,EES,28.271
ARG,2020,SLF,97.569
ARG,2021,TOTAL,49.143
ARG,2021,EES,30.716
ARG,2021,SLF,97.505
ARG,2022,TOTAL,51.196
ARG,2022,EES,34.207
ARG,2022,SLF,97.811
ARG,2023,TOTAL,50.445
ARG,2023,EES,34.16
ARG,2023,SLF,97.396
ARG,2024,TOTAL,51.576
ARG,2024,EES,34.862
ARG,2024,SLF,97.805
ARG,2025,TOTAL,52.818
ARG,2025,EES,35.514
ARG,2025,SLF,97.596
ARM,2008,TOTAL,51.211
ARM,2008,EES,25.518
ARM,2008,SLF,91.56
ARM,2014,TOTAL,80.198
ARM,2014,EES,72.231
ARM,2014,SLF,90.265
ARM,2015,TOTAL,79.237
ARM,2015,EES,70.821
ARM,2015,SLF,90.479
ARM,2016,TOTAL,77.243
ARM,2016,EES,69.951
ARM,2016,SLF,87.332
