code,year,comp_total,va,labor_share
DEU,1995,1024485.0,1719432.0,0.5958275756179948
DEU,1996,1033988.0,1743857.0,0.592931645197972
DEU,1997,1038590.0,1779970.0,0.5834873621465531
DEU,1998,1060868.0,1828375.0,0.5802245163054625
DEU,1999,1090834.0,1868803.0,0.583707324956135
DEU,2000,1134632.0,1915279.0,0.5924108184760549
DEU,2001,1152309.0,1977509.0,0.582707335339561
DEU,2002,1160285.0,2003527.0,0.5791212197290079
DEU,2003,1165998.0,2015904.0,0.5783995666460308
DEU,2004,1170964.0,2069017.0,0.5659518505647851
DEU,2005,1168433.0,2095171.0,0.5576790629499931
DEU,2006,1190349.0,2184869.0,0.5448148149843308
DEU,2007,1224004.0,2275687.0,0.5378613139680457
DEU,2008,1271712.0,2317289.0,0.5487930076913151
DEU,2009,1278780.0,2224646.0,0.5748240394202044
DEU,2010,1317103.0,2341962.0,0.5623929850270841
DEU,2011,1373460.0,2452463.0,0.5600329138502803
DEU,2012,1428808.0,2500201.0,0.5714772532288404
DEU,2013,1471443.0,2556738.0,0.5755157548407385
DEU,2014,1531870.0,2662791.0,0.5752873582643174
DEU,2015,1594004.0,2751937.0,0.5792298297526434
DEU,2016,1657401.0,2853046.0,0.5809233359714494
DEU,2017,1732387.0,2975318.0,0.5822527205495346
DEU,2018,1816102.0,3066416.0,0.592255584369505
DEU,2019,1899063.0,3159273.0,0.6011075965894686
DEU,2020,1894056.0,3098997.0,0.6111835539046988
ESP,1995,219791.0,426016.0,0.5159219372042365
ESP,1996,232395.0,451540.0,0.5146720113389733
ESP,1997,251708.0,477108.0,0.5275702775891412
ESP,1998,270455.0,507255.0,0.5331736503336586
ESP,1999,290388.0,540843.0,0.5369173678867989
ESP,2000,316163.0,588595.0,0.5371486336105471
ESP,2001,336896.0,638972.0,0.5272468903175725
ESP,2002,358651.0,683365.0,0.5248308005238782
ESP,2003,380011.0,728182.0,0.5218626662015815
ESP,2004,405676.0,775872.0,0.5228645962220573
ESP,2005,435445.0,833031.0,0.5227236441380932
ESP,2006,471958.0,898262.0,0.5254124075158473
ESP,2007,509107.0,970997.0,0.5243136693522225
ESP,2008,545226.0,1025304.0,0.5317700896514594
ESP,2009,531653.0,1005567.0,0.5287096732490227
ESP,2010,528815.0,989756.0,0.5342882488209215
ESP,2011,515740.0,984997.0,0.5235955033365584
ESP,2012,483951.0,953037.0,0.5077987528291137
ESP,2013,470153.0,937641.0,0.5014211195969459
ESP,2014,476301.0,946493.0,0.5032271765348503
ESP,2015,497019.0,987936.0,0.5030882567291808
ESP,2016,508025.0,1019400.0,0.49835687659407496
ESP,2017,528140.0,1061122.0,0.4977184527321081
ESP,2018,550649.0,1097845.0,0.5015726263725754
ESP,2019,585833.0,1137968.0,0.5148062159920138
ESP,2020,561866.0,1030964.0,0.5449909017191676
FRA,1995,619847.5,1085115.5,0.5712272103753011
FRA,1996,637269.4,1110431.3,0.5738935853123016
FRA,1997,654027.5,1149286.3,0.5690727367062498
FRA,1998,678016.1,1199979.9,0.5650228807999201
FRA,1999,709318.4,1243960.6,0.5702096995676551
FRA,2000,748654.3,1319254.3,0.5674829333510605
FRA,2001,781643.5,1373817.1,0.5689574689381869
FRA,2002,813793.9,1417481.7,0.5741124559138929
FRA,2003,837819.9,1457776.7,0.5747244416788937
FRA,2004,866987.4,1521910.0,0.569670611271363
FRA,2005,899273.6,1579667.7,0.5692802353305065
FRA,2006,937325.9,1649439.9,0.5682692045948446
FRA,2007,974335.2,1736159.9,0.5612013040964717
FRA,2008,1003884.8,1787460.6,0.5616262534681883
FRA,2009,1006633.0,1743573.3,0.5773390771698557
FRA,2010,1032728.8,1792597.6,0.5761074320304791
FRA,2011,1064378.0,1845782.1,0.5766541998646536
FRA,2012,1088779.6,1866716.6,0.5832591835311263
FRA,2013,1107914.9,1894345.0,0.5848538149069995
FRA,2014,1126854.6,1921806.4,0.5863517782020083
FRA,2015,1143090.7,1960327.3,0.5831121670345559
FRA,2016,1164986.1,1983737.7,0.5872682159541557
FRA,2017,1202199.0,2029705.8,0.5923020961954191
FRA,2018,1231985.4,2081977.9,0.5917379814646447
FRA,2019,1243041.1,2150689.8,0.5779732158491663
FRA,2020,1195011.5,2056545.2,0.5810771871194468
ITA,1995,380465.3,895283.6,0.4249662341631188
ITA,1996,406148.6,949523.5,0.4277393871768313
ITA,1997,425665.4,987242.4,0.4311660439219385
ITA,1998,424072.6,1023890.9,0.4141775261407245
ITA,1999,439128.8,1054253.6,0.4165305197914429
ITA,2000,456695.3,1115546.2,0.40939165047579384
ITA,2001,481274.4,1178148.2,0.4085007302137372
ITA,2002,503529.0,1220342.5,0.4126128525393486
ITA,2003,524388.9,1264274.9,0.41477442920048485
ITA,2004,543378.0,1312780.2,0.41391392100520713
ITA,2005,566734.9,1348360.1,0.42031420241521533
ITA,2006,592101.4,1394329.2,0.4246496451483624
ITA,2007,614898.4,1453436.5,0.4230651975507702
ITA,2008,636702.6,1479748.0,0.43027772296363975
ITA,2009,632316.4,1425773.7,0.44349001528082616
ITA,2010,640178.7,1449486.7,0.4416588989743748
ITA,2011,649067.1,1480015.2,0.43855434727967657
ITA,2012,640109.8,1455350.6,0.4398320239810256
ITA,2013,634113.7,1445573.7,0.438658852191348
ITA,2014,635938.0,1453767.7,0.4374412775851328
ITA,2015,649315.1,1479703.5,0.43881433003300996
ITA,2016,665223.5,1515428.7,0.43896720446168136
ITA,2017,682754.9,1552004.3,0.43991817548443646
ITA,2018,703650.4,1582453.6,0.44465784020460375
ITA,2019,718956.8,1604269.9,0.44815202229998835
ITA,2020,677961.2,1496322.2,0.45308503743378264
JPN,1995,288838419.270388,517306724.0,0.5583504058037104
JPN,1996,291034606.130173,530834859.0,0.5482582788146794
JPN,1997,297165647.846869,541529315.0,0.5487526521936656
JPN,1998,293831383.43438,535877014.0,0.5483186920840385
JPN,1999,290199173.093907,529448867.0,0.5481155805248082
JPN,2000,291203500.714777,535696744.0,0.543597667852872
JPN,2001,280255065.304665,528543826.0,0.5302399754162771
JPN,2002,271984280.613432,524121819.0,0.5189333295308433
JPN,2003,272770390.206862,524457508.0,0.5201000768337976
JPN,2004,279805736.652653,530393903.0,0.5275432750452507
JPN,2005,280785182.48821,534950813.0,0.5248803734189483
JPN,2006,289226791.229594,536229058.0,0.5393717235472792
JPN,2007,286748479.421426,540420032.0,0.5306029799824777
JPN,2008,282894798.280071,528343873.0,0.5354368863478256
JPN,2009,272242552.647841,495454345.0,0.5494806038038499
JPN,2010,272689857.45768,505472156.0,0.539475526437662
JPN,2011,271008900.452451,494826464.0,0.5476847342838377
JPN,2012,270689318.6268,497635100.0,0.5439514186736426
JPN,2013,269912680.112754,505334233.0,0.5341270440167349
JPN,2014,270976976.2934,514630732.0,0.5265464330905912
JPN,2015,277700213.006785,534876041.0,0.5191861136415811
JPN,2016,283486329.687164,542415663.0,0.5226366954804622
JPN,2017,294013078.217962,550565614.0,0.5340200527270161
JPN,2018,295247234.598097,553632009.0,0.5332914820647536
JPN,2019,298167725.113302,554957808.0,0.5372799892443391
JPN,2020,288552615.471669,536382075.0,0.5379609590265838
USA,1995,3717600.0,7118600.0,0.5222375186132104
USA,1996,3913400.0,7526500.0,0.5199495117252375
USA,1997,4713300.0,7999700.0,0.5891845944222909
USA,1998,5075800.0,8459400.0,0.6000189138709601
USA,1999,5410200.0,9002700.0,0.6009530474191076
USA,2000,5854700.0,9587900.0,0.6106342369027629
USA,2001,6046300.0,9913200.0,0.6099241415486422
USA,2002,6143700.0,10210800.0,0.601686449641556
USA,2003,6362500.0,10700000.0,0.594626168224299
USA,2004,6729200.0,11395400.0,0.5905189813433491
USA,2005,7077700.0,12157400.0,0.5821721749716222
USA,2006,7491700.0,12870400.0,0.5820875808055693
USA,2007,7889600.0,13492300.0,0.5847483379408996
USA,2008,8068900.0,13772900.0,0.5858533787365043
USA,2009,7767200.0,13508900.0,0.5749690944488448
USA,2010,7933300.0,14042100.0,0.5649653541849153
USA,2011,8233900.0,14555400.0,0.5656938318424777
USA,2012,8575500.0,15176000.0,0.5650698471270427
USA,2013,8843800.0,15754300.0,0.5613578515072075
USA,2014,9259900.0,16428300.0,0.5636553995239921
USA,2015,9709300.0,17078900.0,0.5684968001452084
USA,2016,9976900.0,17557500.0,0.5682414922397836
USA,2017,10435300.0,18308000.0,0.5699857985580075
USA,2018,10968000.0,19262300.0,0.5694024078121512
USA,2019,11459600.0,20061400.0,0.5712263351510861
USA,2020,11601900.0,20459200.0,0.5670749589426761
