code,year,va_total,va_total_py,va_agri,va_agri_py,va_public,va_public_py,emp,emp_employees,emp_selfemp,hours,hours_employees,hours_selfemp,emp_agri,emp_employees_agri,emp_selfemp_agri,hours_agri,hours_employees_agri,hours_selfemp_agri,emp_public,emp_employees_public,emp_selfemp_public,hours_public,hours_employees_public,hours_selfemp_public
AUS,1989,374929.0,,16926.0,,59655.0,,,,,,,,,,,,,,,,,,,
AUS,1990,383146.0,375844.414,13135.0,17864.314,64930.0,61153.816999999995,,,,,,,,,,,,,,,,,,
AUS,1991,389412.0,382378.522,12844.0,12438.289,67475.0,66733.48300000001,,,,,,,,,,,,,,,,,,
AUS,1992,412385.0,403007.414,14410.0,13519.287,71329.0,69994.704,,,,,,,,,,,,,,,,,,
AUS,1993,433204.0,429607.035,15522.0,15006.785,74297.0,73547.947,,,,,,,,,,,,,,,,,,
AUS,1994,456338.0,449961.599,14895.0,13247.601,77405.0,76657.708,8321.604589,6700.937531,1620.667057,14520.773,11157.086,3363.688,523.556514,198.936515,324.619999,1003.002,315.241,687.761,8321.604589,1813.146918,101.106138,14520.773,2760.796,169.68
AUS,1995,486650.0,474637.526,17844.0,18033.081,81919.0,79513.019,8512.717726,6845.778616,1666.939109,14874.487,11421.317,3453.17,558.371372,223.637034,334.734338,1058.446,358.066,700.38,8512.717726,1844.083135,105.793918,14874.487,2831.45,173.66
AUS,1996,512392.0,506360.187,17982.0,19291.975,88272.0,85238.45300000001,8561.398575,6922.22769,1639.170885,14935.744,11558.92,3376.823,505.406568,198.647817,306.758752,969.218,317.342,651.877,8561.398575,1902.09563,105.547236,14935.744,2924.896,176.57
AUS,1997,543242.0,534992.981,17870.0,18113.925,91678.0,90115.675,8693.667452,6968.955735,1724.711716,15071.94,11569.397,3502.542,482.55649,185.570811,296.985679,949.492,316.278,633.214,8693.667452,1949.89613,116.384874,15071.94,2960.273,193.459
AUS,1998,573162.0,570544.543,18958.0,19651.907,97642.0,95177.748,8849.892744,7140.031699,1709.861044,15240.995,11799.357,3441.637,489.233443,200.602235,288.631208,920.106,334.454,585.652,8849.892744,1923.919717,114.665928,15240.995,2918.301,188.18
