code,date,e
ARG,1995-01-01,1.0002879701183807
ARG,1995-04-01,1.0006169121103865
ARG,1995-07-01,1.0007789687887432
ARG,1995-10-01,1.0004888397132035
ARG,1996-01-01,1.0002417976478466
ARG,1996-04-01,1.0
ARG,1996-07-01,1.0
ARG,1996-10-01,1.0
ARG,1997-01-01,0.9999394849136906
ARG,1997-04-01,1.0
ARG,1997-07-01,1.0
ARG,1997-10-01,1.0
ARG,1998-01-01,0.999869786754762
ARG,1998-04-01,0.9998848389393941
ARG,1998-07-01,0.999848602288067
ARG,1998-10-01,0.9997639999119766
ARG,1999-01-01,0.9995603618724637
ARG,1999-04-01,0.9994535499896827
ARG,1999-07-01,0.9994484872121213
ARG,1999-10-01,0.9997904846507937
ARG,2000-01-01,0.999664144850828
ARG,2000-04-01,0.9996265117874836
ARG,2000-07-01,0.9997209894740854
ARG,2000-10-01,0.9996477414075761
ARG,2001-01-01,0.999803941622727
ARG,2001-04-01,0.9996362306761214
ARG,2001-07-01,0.9993400523698946
ARG,2001-10-01,1.0019037393252823
ARG,2002-01-01,1.9985904731672468
ARG,2002-04-01,3.2755783941731202
ARG,2002-07-01,3.6246255483969203
ARG,2002-10-01,3.5562140291592734
ARG,2003-01-01,3.14816463086717
ARG,2003-04-01,2.83724855118326
ARG,2003-07-01,2.8571846291962797
ARG,2003-10-01,2.87590267738544
ARG,2004-01-01,2.88651457776867
ARG,2004-04-01,2.88927129149423
ARG,2004-07-01,2.96803033359091
ARG,2004-10-01,2.9485030920756934
ARG,2005-01-01,2.9144441809025565
ARG,2005-04-01,2.88556456098557
ARG,2005-07-01,2.888886178061733
ARG,2005-10-01,2.980644299305197
ARG,2006-01-01,3.0646093572586963
ARG,2006-04-01,3.0681849052143604
ARG,2006-07-01,3.0871980743147005
ARG,2006-10-01,3.0775389626132768
ARG,2007-01-01,3.096456650980367
ARG,2007-04-01,3.0835852280096603
ARG,2007-07-01,3.13763426429888
ARG,2007-10-01,3.14509835046456
ARG,2008-01-01,3.1534271739413398
ARG,2008-04-01,3.119874464198413
ARG,2008-07-01,3.0461603132761765
ARG,2008-10-01,3.3303086961427533
ARG,2009-01-01,3.5435454592893936
ARG,2009-04-01,3.726662122061327
ARG,2009-07-01,3.8288583626019803
ARG,2009-10-01,3.81259925263972
ARG,2010-01-01,3.83668804663875
ARG,2010-04-01,3.89793073211111
ARG,2010-07-01,3.9387121344545464
ARG,2010-10-01,3.9647068948598103
ARG,2011-01-01,4.01098078360176
ARG,2011-04-01,4.079137149583697
ARG,2011-07-01,4.16027180429958
ARG,2011-10-01,4.253801565738817
ARG,2012-01-01,4.33791773698196
ARG,2012-04-01,4.443887483496897
ARG,2012-07-01,4.60843100235942
ARG,2012-10-01,4.801118348974153
ARG,2013-01-01,5.014805702604764
ARG,2013-04-01,5.2408308326749635
ARG,2013-07-01,5.586158330964364
ARG,2013-10-01,6.069102311270626
ARG,2014-01-01,7.62412864980238
ARG,2014-04-01,8.054938748309523
ARG,2014-07-01,8.297356338220057
ARG,2014-10-01,8.513241036086956
ARG,2015-01-01,8.68915533444394
ARG,2015-04-01,8.950955681277053
ARG,2015-07-01,9.249220973941373
ARG,2015-10-01,10.142226464702107
ARG,2016-01-01,14.447352191200833
ARG,2016-04-01,14.2197767106205
ARG,2016-07-01,14.940033518407068
ARG,2016-10-01,15.458995330454533
ARG,2017-01-01,15.671608653156133
ARG,2017-04-01,15.725566724520434
ARG,2017-07-01,17.283293471359567
ARG,2017-10-01,17.5552810894661
ARG,2018-01-01,19.696124201581032
ARG,2018-04-01,23.485030448585235
ARG,2018-07-01,32.1298519505929
ARG,2018-10-01,37.1151474816488
ARG,2019-01-01,39.09094805175983
ARG,2019-04-01,43.894774190382066
ARG,2019-07-01,50.57382162180817
ARG,2019-10-01,59.3744958560763
ARG,2020-01-01,61.54672117918313
ARG,2020-04-01,67.6482623737374
ARG,2020-07-01,73.30436417497963
ARG,2020-10-01,80.05365157600853
ARG,2021-01-01,88.54638550448585
ARG,2021-04-01,94.05623100288601
ARG,2021-07-01,97.2382574242424
ARG,2021-10-01,100.4874372501413
ARG,2022-01-01,106.58288371290534
ARG,2022-04-01,117.97119769119801
ARG,2022-07-01,135.71314182194632
ARG,2022-10-01,162.35337662337668
ARG,2023-01-01,193.14850757575766
ARG,2023-04-01,231.59601581027667
ARG,2023-07-01,312.9731636991027
ARG,2023-10-01,446.7288438672437
ARG,2024-01-01,834.523483298827
ARG,2024-04-01,886.0449604743084
ARG,2024-07-01,941.5044074283204
ARG,2024-10-01,1000.0835137085134
ARG,2025-01-01,1055.6521652864033
ARG,2025-04-01,1150.4659992785
ARG,2025-07-01,1332.1941699604768
ARG,2025-10-01,1437.1980072463766
ARG,2026-01-01,1417.5871212121235
ARG,2026-04-01,1410.4119769119768
ARG,2026-07-01,1486.22826086957
AUS,1995-01-01,1.3377493078537268
AUS,1995-04-01,1.3751453086228065
AUS,1995-07-01,1.3487807259218434
AUS,1995-10-01,1.3365291237020198
AUS,1996-01-01,1.3219212577691166
AUS,1996-04-01,1.26242219176775
AUS,1996-07-01,1.2664788516614565
AUS,1996-10-01,1.2567746721877169
AUS,1997-01-01,1.2851926695526699
AUS,1997-04-01,1.3007120779220767
AUS,1997-07-01,1.36060270531401
AUS,1997-10-01,1.4456282570556833
AUS,1998-01-01,1.5004342135642166
AUS,1998-04-01,1.5921218181818169
AUS,1998-07-01,1.6727556873078633
AUS,1998-10-01,1.6038487012987035
AUS,1999-01-01,1.5749204919908468
AUS,1999-04-01,1.5324114574314567
AUS,1999-07-01,1.5370378787878802
AUS,1999-10-01,1.5542746031746002
AUS,2000-01-01,1.58553097653554
AUS,2000-04-01,1.6974553623188402
AUS,2000-07-01,1.7443247342995167
AUS,2000-10-01,1.8787566666666666
AUS,2001-01-01,1.8872718181818167
AUS,2001-04-01,1.9502150379572134
AUS,2001-07-01,1.9503921870882734
AUS,2001-10-01,1.9536185697555233
AUS,2002-01-01,1.92973652958153
AUS,2002-04-01,1.8149827470355733
AUS,2002-07-01,1.8275803343998966
AUS,2002-10-01,1.7928874614071397
AUS,2003-01-01,1.6863938023087999
AUS,2003-04-01,1.5632835127619034
AUS,2003-07-01,1.5193313978292233
AUS,2003-10-01,1.3971307591442368
AUS,2004-01-01,1.30544591442374
AUS,2004-04-01,1.3999230880230897
AUS,2004-07-01,1.40975
AUS,2004-10-01,1.32185319656189
AUS,2005-01-01,1.28702949620428
AUS,2005-04-01,1.30137323232323
AUS,2005-07-01,1.31716628395759
AUS,2005-10-01,1.3455867243867232
AUS,2006-01-01,1.3527254281949934
AUS,2006-04-01,1.3394199604743067
AUS,2006-07-01,1.3215555555555534
AUS,2006-10-01,1.2979329004328999
AUS,2007-01-01,1.2717527667984199
AUS,2007-04-01,1.2031739130434767
AUS,2007-07-01,1.1805835309617934
AUS,2007-10-01,1.1252210144927532
AUS,2008-01-01,1.10485686742098
AUS,2008-04-01,1.06033116883117
AUS,2008-07-01,1.1320527322918632
AUS,2008-10-01,1.4927615942029
AUS,2009-01-01,1.51049090909091
AUS,2009-04-01,1.3169572150072133
AUS,2009-07-01,1.2004918752744833
AUS,2009-10-01,1.1006954639563333
AUS,2010-01-01,1.1070594202898567
AUS,2010-04-01,1.13473593073593
AUS,2010-07-01,1.1061515151515167
AUS,2010-10-01,1.0127557249513799
AUS,2011-01-01,0.9945632850241534
AUS,2011-04-01,0.9413744588744587
AUS,2011-07-01,0.9531009787314133
AUS,2011-10-01,0.9877142857142857
AUS,2012-01-01,0.9477568542568543
AUS,2012-04-01,0.9905900621117997
AUS,2012-07-01,0.9627025691699607
AUS,2012-10-01,0.9628107472237907
AUS,2013-01-01,0.963294927536232
AUS,2013-04-01,1.0117802020923528
