code,date,emp_agri,emp_employees_agri,emp_selfemp_agri,hours_agri,hours_employees_agri,hours_selfemp_agri,emp_public,emp_employees_public,emp_selfemp_public,hours_public,hours_employees_public,hours_selfemp_public
AUS,1995-01-01,386.09131718060553,145.583949771663,240.84409075380438,,,,1742.9014873807653,1671.2010871458249,73.88500418843678,,,
AUS,1995-04-01,378.2079336692288,138.29143394435633,239.34008735385274,,,,1777.865174126393,1704.0122519306854,75.4225447936392,,,
AUS,1995-07-01,386.659729350276,147.62913404151791,240.44758676606318,,,,1830.0798228870417,1743.3188103289312,82.76423477152059,,,
AUS,1995-10-01,409.1615241596622,165.74008738944192,242.03045497271808,,,,1818.8210293798445,1737.7167522338757,81.20650068067168,,,
AUS,1996-01-01,400.3516979510287,154.38347194936816,246.17965414653747,,,,1825.6133700044086,1746.8802669858005,81.03188819011831,,,
AUS,1996-04-01,406.11433909514614,161.82686487072013,243.97042601700974,,,,1820.724674681864,1742.4947010492494,79.27360935392146,,,
AUS,1996-07-01,402.3604057320024,161.95177197748941,241.9783500558938,,,,1827.7450018814095,1750.824672885707,74.13624614352788,,,
AUS,1996-10-01,395.4099291755026,160.60173922020493,233.25318661114318,,,,1830.5080116428096,1759.6280535286196,71.14013813917364,,,
AUS,1997-01-01,407.7336824062733,169.07046860701556,238.77967159285345,,,,1816.7301386359754,1746.7339054273493,72.08598066676427,,,
AUS,1997-04-01,404.28499214175605,160.1003171749142,244.25408348442411,,,,1820.5287198797978,1743.7181640660867,75.92185455946822,,,
AUS,1997-07-01,395.479582573816,152.96023441483175,243.89811664600902,,,,1820.5046153904666,1740.8321585391066,78.74322984458671,,,
AUS,1997-10-01,428.90525188619773,179.09971462406656,247.09959576455446,,,,1843.8155224491804,1759.5891968896492,84.49585511967481,,,
AUS,1998-01-01,414.30349651669593,170.0338491076857,244.75873873015362,,,,1834.8173121737996,1754.1061440843505,82.72894585334052,,,
AUS,1998-04-01,414.6941961087692,178.24223304125442,236.97968037981437,,,,1860.4441021810678,1773.5078880089925,84.41530167673105,,,
AUS,1998-07-01,410.07035226333755,186.75876559858503,225.4800942196215,,,,1857.10868947187,1783.8228765243466,73.73667935519362,,,
AUS,1998-10-01,404.2446887848919,172.5742220510975,229.09078478924457,,,,1871.499981298206,1787.9587335611616,84.47290671460267,,,
AUS,1999-01-01,416.9451737980779,185.7739474198589,231.13195927686672,,,,1915.3631068644015,1829.1694484231996,87.29054430096244,,,
AUS,1999-04-01,427.4653479702519,194.27749010836138,233.71022743418524,,,,1909.0126650345305,1828.3216735264118,77.97927854866258,,,
AUS,1999-07-01,427.0810545192465,183.86766303229425,244.9987558575221,,,,1892.411093550959,1808.7605136259479,83.28007259360258,,,
AUS,1999-10-01,431.30153799085804,184.82907889959685,244.03116227096484,,,,1905.5575490508427,1827.4151543855494,81.01902098432764,,,
AUS,2000-01-01,436.13778217920884,199.06753383558535,236.36477281033999,,,,1901.1832664719986,1815.530257148519,83.8071902059862,,,
AUS,2000-04-01,427.78380981295163,192.5330984421984,236.534329987603,,,,1941.0803159445143,1857.3022947452396,84.13219068324021,,,
AUS,2000-07-01,430.90074310152596,203.01419332877998,229.27029209928165,,,,1974.3526778302357,1887.6670031396452,85.54303252755949,,,
AUS,2000-10-01,426.20791036529175,195.60685398537353,229.06046404797243,,,,1959.5516256428893,1875.4311640533651,86.2735764920797,,,
AUS,2001-01-01,409.76885791892994,181.60481004766484,227.60161066351685,,,,2006.472250713871,1918.9865496634925,83.86407262575044,,,
AUS,2001-04-01,420.70390939896606,203.16501423523343,218.86178684269026,,,,2023.8654024822163,1939.9663955469061,87.94020076952116,,,
AUS,2001-07-01,437.90663933164103,216.22053439811702,222.2333401692653,,,,2053.1725929760178,1961.1213744239085,89.74610320559913,,,
AUS,2001-10-01,440.904608738026,223.8038968316579,216.7429608207699,,,,2063.8541011425827,1977.5941026356556,86.60642478210652,,,
AUS,2002-01-01,431.57304179310506,208.24388363380123,222.2813098907126,,,,2093.7911155588786,2009.97422777946,79.88429458228121,,,
AUS,2002-04-01,422.8642011245569,197.61972033897482,227.15752021663363,,,,2099.2049763745413,2013.7027848226662,92.52198632004942,,,
AUS,2002-07-01,389.8100584201589,178.05099185642237,210.26997909819508,,,,2156.6175988981863,2058.2075413572006,95.46968156721212,,,
AUS,2002-10-01,362.6404459460786,172.06915081403773,190.27139585866178,,,,2195.108079271121,2093.7106284648335,99.27980682806472,,,
AUS,2003-01-01,351.47056555079763,178.7324951921116,173.0362946963882,,,,2196.82575836295,2092.823776638114,101.84280079371591,,,
AUS,2003-04-01,374.80394336697015,192.90604865673194,182.5526639022348,,,,2158.089798498675,2058.0928819512606,107.36381886928592,,,
AUS,2003-07-01,368.97609713473963,198.22950317466444,170.08080339766715,,,,2188.6400464272183,2085.856058104621,100.57085532445605,,,
AUS,2003-10-01,373.2621619224651,177.00464417309578,195.1828152208842,,,,2222.490473841504,2117.295625045631,101.79949309188368,,,
AUS,2004-01-01,364.0733515586564,182.38763958170495,184.15382313731797,,,,2241.1540456632133,2134.86248735461,105.34705415787074,,,
AUS,2004-04-01,357.4177171229063,181.18272733073817,175.88847320317083,,,,2274.1617373588515,2176.772370010624,102.45144091800839,,,
AUS,2004-07-01,349.1010639347176,177.62871913880943,170.0998014120391,,,,2245.788094676774,2136.3999849687275,108.24575962120953,,,
AUS,2004-10-01,353.03469984237125,178.6553080889981,172.82224564179452,,,,2259.649232465533,2143.0149943772108,113.77318937016481,,,
AUS,2005-01-01,361.07492294102803,187.18942932629506,178.58850702754967,,,,2249.740138491496,2139.4398637807376,110.34247286487283,,,
AUS,2005-04-01,356.1037124476566,177.39127344605996,176.63638510799348,,,,2283.6132508850933,2174.3165422609736,110.6691419505453,,,
AUS,2005-07-01,349.3332928832787,178.45052058897758,169.19192106436407,,,,2350.384906950505,2234.64309583219,116.18370952592457,,,
AUS,2005-10-01,343.94547739822247,179.72315471716269,163.3517861101638,,,,2351.643465344117,2245.4892868177826,105.5270556136276,,,
AUS,2006-01-01,349.3166667560608,173.27751280236362,181.92027045436768,,,,2388.8873832649924,2277.2514054591306,111.77574003788378,,,
AUS,2006-04-01,339.8185213335317,171.4186570368873,164.1906193340384,,,,2409.771152422442,2307.4013021833352,100.01866679344099,,,
AUS,2006-07-01,340.2536336758803,176.20769964795826,163.27392208387047,,,,2391.5494646540774,2300.997727532335,91.3493742024895,,,
AUS,2006-10-01,346.22219896433,170.2595555892371,176.23083853668413,,,,2417.679261555823,2327.1448530889775,94.42239112410113,,,
AUS,2007-01-01,345.8432869447494,182.62971341575857,168.35538066355932,,,,2447.98648494212,2357.6021301721184,88.46627643479039,,,
AUS,2007-04-01,341.2827259497347,164.9786921434289,171.149385365359,,,,2474.763785717545,2368.242156413431,103.8472671880895,,,
