code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,src_gdp,src_cons_hh,src_cons_gov,src_inv,src_capform,src_exports,src_imports
ESP,1970-01-01,4261.468456051896,2648.9534910848715,427.191479261653,1268.923942919239,1332.3624282062358,473.63816961299887,575.9857044970612,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1970-04-01,4308.545515392129,2722.986513390259,416.34217185183326,1235.1147448936126,1276.621541463867,502.6580342250262,574.7128284953591,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1970-07-01,4378.829575815578,2801.565423030188,414.9860084256058,1211.3763718117905,1232.6957678989693,537.9532725698957,581.4683850312222,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1970-10-01,4486.907895145975,2873.6502079064862,427.8695609747668,1202.744236145673,1225.0202564187157,568.7678103181028,586.3301504426016,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1971-01-01,4660.628874683176,2960.0220672627715,453.6366660730887,1235.834089532456,1267.968624027326,590.3098701960478,589.2919155782694,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1971-04-01,4821.088710744256,3067.175125862674,473.9791174665008,1248.782293031632,1286.7190074093328,612.7971245923807,599.6487798262655,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1971-07-01,4996.135804629071,3183.41995913166,494.3215688599128,1269.643287558082,1315.0350329076473,642.8220061606687,621.1262339232786,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1971-10-01,5192.40072807568,3294.4694925897415,514.6640202533249,1324.313480110158,1379.5222655970829,676.7832041409779,653.1033627465275,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1972-01-01,5428.449081950657,3417.2084506223578,532.2941447942819,1438.689277686212,1502.4526250256806,710.5051123697964,706.7628476573076,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1972-04-01,5638.638206047195,3562.6768453276795,548.5681059090117,1522.1332557920123,1577.2601147241471,739.4412255688019,758.5844238046543,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1972-07-01,5879.327960138814,3723.7311394657154,570.2667207286511,1596.2257535928522,1644.1908623043007,774.3655647988609,801.1233188664172,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1972-10-01,6138.583315097005,3876.3430714110314,595.3557441138593,1683.985799531711,1730.5619268826622,811.6828015438263,840.5886840704114,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1973-01-01,6400.49089875042,4030.9032407854374,621.1228492121812,1802.6776649408234,1828.4534454899074,847.2113473963991,888.1507824754767,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1973-04-01,6739.97617173915,4238.715233221613,652.3146080154131,1924.9662535441516,1957.0973176776824,887.9982855379787,950.9749745985124,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1973-07-01,7139.799647544237,4483.543736810481,693.6775925153509,2042.938774314421,2105.734891118328,937.6209977533503,1028.446554467964,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
ESP,1973-10-01,7565.4823531277625,4743.308727355701,738.4309855808574,2200.475250221061,2298.794127910519,982.3203233318018,1132.3567002654538,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986,ine_base1986
