date,variable,valor,price_base
1993-01-01,B11_S1,-9608.6,V
1993-04-01,B11_S1,-11888.3,V
1993-07-01,B11_S1,-14132.0,V
1993-10-01,B11_S1,-13448.0,V
1994-01-01,B11_S1,-13312.5,V
1994-04-01,B11_S1,-16749.2,V
1994-07-01,B11_S1,-19003.0,V
1994-10-01,B11_S1,-19123.0,V
1995-01-01,B11_S1,7703.2,V
1995-04-01,B11_S1,19122.6,V
1995-07-01,B11_S1,11886.4,V
1995-10-01,B11_S1,11706.8,V
1996-01-01,B11_S1,22219.5,V
1996-04-01,B11_S1,19179.8,V
1996-07-01,B11_S1,7307.4,V
1996-10-01,B11_S1,6416.0,V
1997-01-01,B11_S1,27060.0,V
1997-04-01,B11_S1,5441.1,V
1997-07-01,B11_S1,-13246.7,V
1997-10-01,B11_S1,-18455.9,V
1998-01-01,B11_S1,-4731.8,V
1998-04-01,B11_S1,-4833.3,V
1998-07-01,B11_S1,-31660.0,V
1998-10-01,B11_S1,-39671.2,V
1999-01-01,B11_S1,-9101.9,V
1999-04-01,B11_S1,-14141.1,V
1999-07-01,B11_S1,-15884.4,V
1999-10-01,B11_S1,-31996.8,V
2000-01-01,B11_S1,3016.5,V
2000-04-01,B11_S1,-15331.1,V
2000-07-01,B11_S1,-33033.1,V
2000-10-01,B11_S1,-56257.1,V
2001-01-01,B11_S1,-19802.4,V
2001-04-01,B11_S1,-20518.6,V
2001-07-01,B11_S1,-18842.8,V
2001-10-01,B11_S1,-64120.3,V
2002-01-01,B11_S1,-24508.9,V
2002-04-01,B11_S1,-24247.7,V
2002-07-01,B11_S1,-24909.9,V
2002-10-01,B11_S1,-44243.4,V
2003-01-01,B11_S1,-17450.2,V
2003-04-01,B11_S1,-30188.3,V
2003-07-01,B11_S1,-20573.6,V
2003-10-01,B11_S1,-46531.8,V
2004-01-01,B11_S1,-17554.3,V
2004-04-01,B11_S1,-30322.7,V
2004-07-01,B11_S1,-41636.0,V
2004-10-01,B11_S1,-80094.0,V
2005-01-01,B11_S1,-32236.8,V
2005-04-01,B11_S1,-30616.1,V
2005-07-01,B11_S1,-36254.0,V
2005-10-01,B11_S1,-59736.4,V
2006-01-01,B11_S1,-6032.1,V
2006-04-01,B11_S1,-24671.2,V
2006-07-01,B11_S1,-58102.7,V
2006-10-01,B11_S1,-63830.9,V
2007-01-01,B11_S1,-41026.4,V
2007-04-01,B11_S1,-46397.1,V
2007-07-01,B11_S1,-64838.6,V
2007-10-01,B11_S1,-52099.2,V
2008-01-01,B11_S1,-29287.4,V
2008-04-01,B11_S1,-35161.2,V
2008-07-01,B11_S1,-100176.4,V
2008-10-01,B11_S1,-135966.1,V
2009-01-01,B11_S1,-50298.9,V
2009-04-01,B11_S1,-25110.5,V
2009-07-01,B11_S1,-84077.6,V
2009-10-01,B11_S1,-40062.6,V
2010-01-01,B11_S1,-14759.5,V
2010-04-01,B11_S1,-34192.0,V
2010-07-01,B11_S1,-73300.6,V
2010-10-01,B11_S1,-50738.4,V
2011-01-01,B11_S1,-9989.6,V
2011-04-01,B11_S1,-28274.5,V
2011-07-01,B11_S1,-100940.0,V
2011-10-01,B11_S1,-55690.7,V
2012-01-01,B11_S1,-19778.2,V
2012-04-01,B11_S1,-19083.0,V
2012-07-01,B11_S1,-77448.4,V
2012-10-01,B11_S1,-78573.8,V
2013-01-01,B11_S1,-49392.1,V
2013-04-01,B11_S1,-59061.4,V
2013-07-01,B11_S1,-64746.8,V
2013-10-01,B11_S1,-26869.5,V
2014-01-01,B11_S1,-50386.8,V
2014-04-01,B11_S1,-34010.8,V
2014-07-01,B11_S1,-71252.1,V
2014-10-01,B11_S1,-57000.6,V
2015-01-01,B11_S1,-66719.4,V
2015-04-01,B11_S1,-66911.4,V
2015-07-01,B11_S1,-166687.6,V
2015-10-01,B11_S1,-101065.2,V
2016-01-01,B11_S1,-114408.5,V
2016-04-01,B11_S1,-116457.4,V
2016-07-01,B11_S1,-134159.4,V
2016-10-01,B11_S1,-62387.5,V
2017-01-01,B11_S1,-152427.2,V
2017-04-01,B11_S1,-84642.1,V
2017-07-01,B11_S1,-164937.8,V
2017-10-01,B11_S1,-31577.9,V
2018-01-01,B11_S1,-94073.8,V
2018-04-01,B11_S1,-115802.7,V
2018-07-01,B11_S1,-174182.4,V
2018-10-01,B11_S1,-129647.2,V
2019-01-01,B11_S1,-69866.7,V
2019-04-01,B11_S1,61431.2,V
2019-07-01,B11_S1,-98598.0,V
2019-10-01,B11_S1,5875.2,V
2020-01-01,B11_S1,53926.4,V
2020-04-01,B11_S1,-143397.9,V
2020-07-01,B11_S1,246055.8,V
2020-10-01,B11_S1,232703.2,V
2021-01-01,B11_S1,-85064.0,V
2021-04-01,B11_S1,-51256.5,V
2021-07-01,B11_S1,-272718.2,V
2021-10-01,B11_S1,-106322.1,V
2022-01-01,B11_S1,-155816.2,V
2022-04-01,B11_S1,-221669.1,V
2022-07-01,B11_S1,-345078.1,V
2022-10-01,B11_S1,-143687.0,V
2023-01-01,B11_S1,-206640.4,V
2023-04-01,B11_S1,-163531.8,V
2023-07-01,B11_S1,-209423.2,V
2023-10-01,B11_S1,-15474.2,V
2024-01-01,B11_S1,-110491.9,V
2024-04-01,B11_S1,-127060.1,V
2024-07-01,B11_S1,-228955.5,V
2024-10-01,B11_S1,-28647.9,V
2025-01-01,B11_S1,-22158.6,V
2025-04-01,B11_S1,-108954.1,V
2025-07-01,B11_S1,-258906.5,V
2025-10-01,B11_S1,-128785.5,V
2026-01-01,B11_S1,-110511.9,V
1993-01-01,B1GQ_S1,397801.3,V
1993-04-01,B1GQ_S1,411269.7,V
1993-07-01,B1GQ_S1,415552.5,V
1993-10-01,B1GQ_S1,427154.3,V
1994-01-01,B1GQ_S1,437556.6,V
1994-04-01,B1GQ_S1,466092.2,V
1994-07-01,B1GQ_S1,469525.4,V
1994-10-01,B1GQ_S1,495352.2,V
1995-01-01,B1GQ_S1,531555.1,V
1995-04-01,B1GQ_S1,589127.1,V
1995-07-01,B1GQ_S1,626038.3,V
1995-10-01,B1GQ_S1,693671.9,V
1996-01-01,B1GQ_S1,753552.2,V
1996-04-01,B1GQ_S1,796386.8,V
1996-07-01,B1GQ_S1,827441.7,V
1996-10-01,B1GQ_S1,906781.1,V
1997-01-01,B1GQ_S1,939016.3,V
1997-04-01,B1GQ_S1,1014718.6,V
1997-07-01,B1GQ_S1,1050794.8,V
1997-10-01,B1GQ_S1,1140384.5,V
1998-01-01,B1GQ_S1,1191017.8,V
1998-04-01,B1GQ_S1,1249268.3,V
1998-07-01,B1GQ_S1,1295344.8,V
1998-10-01,B1GQ_S1,1357357.2,V
1999-01-01,B1GQ_S1,1415467.3,V
1999-04-01,B1GQ_S1,1483578.6,V
1999-07-01,B1GQ_S1,1540532.1,V
1999-10-01,B1GQ_S1,1595417.2,V
2000-01-01,B1GQ_S1,1680140.9,V
2000-04-01,B1GQ_S1,1739598.7,V
2000-07-01,B1GQ_S1,1791732.8,V
2000-10-01,B1GQ_S1,1805131.6,V
2001-01-01,B1GQ_S1,1830071.6,V
2001-04-01,B1GQ_S1,1864937.6,V
2001-07-01,B1GQ_S1,1875540.9,V
2001-10-01,B1GQ_S1,1866557.6,V
2002-01-01,B1GQ_S1,1827361.1,V
2002-04-01,B1GQ_S1,1985352.5,V
2002-07-01,B1GQ_S1,1992896.5,V
2002-10-01,B1GQ_S1,2022147.9,V
2003-01-01,B1GQ_S1,2023408.0,V
2003-04-01,B1GQ_S1,2063463.4,V
2003-07-01,B1GQ_S1,2052578.3,V
2003-10-01,B1GQ_S1,2120083.4,V
2004-01-01,B1GQ_S1,2182698.0,V
2004-04-01,B1GQ_S1,2320497.5,V
2004-07-01,B1GQ_S1,2327981.3,V
2004-10-01,B1GQ_S1,2417213.0,V
2005-01-01,B1GQ_S1,2362520.2,V
2005-04-01,B1GQ_S1,2515004.8,V
2005-07-01,B1GQ_S1,2515524.8,V
2005-10-01,B1GQ_S1,2606549.2,V
2006-01-01,B1GQ_S1,2637655.3,V
2006-04-01,B1GQ_S1,2806894.4,V
2006-07-01,B1GQ_S1,2811581.6,V
2006-10-01,B1GQ_S1,2863984.5,V
2007-01-01,B1GQ_S1,2857703.0,V
2007-04-01,B1GQ_S1,3005465.8,V
2007-07-01,B1GQ_S1,3032357.0,V
2007-10-01,B1GQ_S1,3151227.4,V
2008-01-01,B1GQ_S1,3074477.8,V
2008-04-01,B1GQ_S1,3313520.4,V
2008-07-01,B1GQ_S1,3284966.8,V
2008-10-01,B1GQ_S1,3254796.3,V
2009-01-01,B1GQ_S1,3042737.8,V
2009-04-01,B1GQ_S1,3116731.1,V
2009-07-01,B1GQ_S1,3222777.8,V
2009-10-01,B1GQ_S1,3366871.2,V
2010-01-01,B1GQ_S1,3339962.3,V
2010-04-01,B1GQ_S1,3462245.9,V
2010-07-01,B1GQ_S1,3511004.5,V
2010-10-01,B1GQ_S1,3654936.8,V
2011-01-01,B1GQ_S1,3622638.9,V
2011-04-01,B1GQ_S1,3730887.0,V
2011-07-01,B1GQ_S1,3835286.1,V
2011-10-01,B1GQ_S1,4079624.6,V
2012-01-01,B1GQ_S1,4025935.0,V
2012-04-01,B1GQ_S1,4096117.0,V
2012-07-01,B1GQ_S1,4145256.8,V
2012-10-01,B1GQ_S1,4261815.3,V
2013-01-01,B1GQ_S1,4105041.0,V
2013-04-01,B1GQ_S1,4211119.7,V
2013-07-01,B1GQ_S1,4245430.2,V
2013-10-01,B1GQ_S1,4392414.8,V
2014-01-01,B1GQ_S1,4351061.3,V
