code,currency,units,price_base,price_ref_year,sa,sa_detail,sa_labor,n_obs,first,last
ARG,ARS,"millions of national currency, current prices, SA",Q,2004.0,oecd,puremacro,,89,2004-01-01,2026-01-01
AUS,AUD,"millions of national currency, current prices, SA",L,2024.0,oecd,oecd,puremacro,125,1995-01-01,2026-01-01
AUT,EUR,"millions of national currency, current prices, SA",L,2015.0,oecd,oecd,oecd,126,1995-01-01,2026-04-01
BEL,EUR,"millions of national currency, current prices, SA",L,2020.0,oecd,oecd,oecd,125,1995-01-01,2026-01-01
BGR,EUR,"millions of national currency, current prices, SA",L,2020.0,oecd,oecd,oecd,126,1995-01-01,2026-04-01
BRA,BRL,"millions of national currency, current prices, SA",L,1995.0,mixed,puremacro,,121,1996-01-01,2026-01-01
CAN,CAD,"millions of national currency, current prices, SA",L,2017.0,oecd,oecd,puremacro,125,1995-01-01,2026-01-01
CHE,CHF,"millions of national currency, current prices, SA",L,2020.0,oecd,oecd,puremacro,126,1995-01-01,2026-04-01
CHL,CLP,"millions of national currency, current prices, SA",L,2018.0,oecd,oecd,puremacro,122,1996-01-01,2026-04-01
CHN,CNY,"millions of national currency, current prices, SA",Q,2020.0,puremacro,puremacro,,126,1995-01-01,2026-04-01
COL,COP,"millions of national currency, current prices, SA",L,2015.0,oecd,mixed,,85,2005-01-01,2026-01-01
CRI,CRC,"millions of national currency, current prices, SA",L,2022.0,oecd,oecd,puremacro,126,1995-01-01,2026-04-01
CZE,CZK,"millions of national currency, current prices, SA",L,2020.0,oecd,oecd,oecd,125,1995-01-01,2026-01-01
DEU,EUR,"millions of national currency, current prices, SA",L,2020.0,oecd,oecd,oecd,126,1995-01-01,2026-04-01
DNK,DKK,"millions of national currency, current prices, SA",L,2020.0,oecd,oecd,oecd,125,1995-01-01,2026-01-01
ESP,EUR,"millions of national currency, current prices, SA",L,2020.0,oecd,oecd,oecd,126,1995-01-01,2026-04-01
