code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,inv_equip,inv_struct,inv_dwell,inv_ipp,cons_dur,cons_semidur,cons_nondur,cons_serv,gdp_defl,cons_hh_defl,cons_gov_defl,inv_defl,capform_defl,exports_defl,imports_defl,inv_equip_defl,inv_struct_defl,inv_dwell_defl,inv_ipp_defl,cons_dur_defl,cons_semidur_defl,cons_nondur_defl,cons_serv_defl
ARG,2004-01-01,114664.4,74124.0,12330.1,17066.7,19237.8,27175.1,18407.5,5185.227504440634,,10286.355598432778,98.74099692315328,,,,,96.44992761906686,98.4298811256414,93.72724301232203,91.61607214751592,92.3261444274456,98.00952140512858,95.96536227804016,90.6750128197916,,92.03972399929772,98.70419293516396,,,,
ARG,2004-04-01,120882.9,76408.3,12981.0,19056.7,20659.5,28494.5,19512.0,5914.257761899753,,11256.781477656355,103.27126311950298,,,,,102.80163451357912,100.1282918186774,98.19510423916005,99.17100333055788,99.5981453383274,99.50447681971195,96.79867839442782,98.2720663184628,,97.5434698644398,101.65008666215874,,,,
ARG,2004-07-01,122542.7,79082.1,13914.8,20048.7,21912.2,29416.4,21047.8,6171.292129300696,,12017.972622840152,107.18391932575996,,,,,99.265609444525,99.6898955099139,102.20273376962004,103.08397904251652,102.23058638013428,100.3044965236931,102.2437687932031,103.9185402840184,,102.61774201818923,101.88900436908294,,,,
ARG,2004-10-01,127025.2,82467.5,14692.9,20931.2,23334.4,30602.5,22750.5,6239.875005680743,,12753.522849938272,106.5692112642032,,,,,101.46390558539848,101.63981907144706,105.4834842164964,105.66083453644156,107.46767355811986,102.01513434228949,104.392654589505,107.0028417577502,,107.37356721790398,98.16376888981554,,,,
ARG,2005-01-01,133429.6,83552.1,15934.3,22967.0,25684.5,31545.7,23347.1,6642.783296858846,,13815.208971171174,106.17973693391022,,,,,103.57712027883544,103.88744379898938,110.79874559323568,107.86528463341207,108.56445254574555,97.8252240518498,104.90626909666057,105.01150722646209,,112.7953651700896,101.80999793993033,,,,
ARG,2005-04-01,143850.0,91716.3,17066.3,24834.9,25983.9,33112.2,25760.4,7441.805263643638,,14633.10855358474,118.32434274382196,,,,,109.2686558094312,106.93246963109608,115.74610365828846,112.8710306368706,109.43266230550972,100.0190298406024,104.7456014442958,104.33334778713888,,116.27037490870276,106.88756891220496,,,,
ARG,2005-07-01,148112.0,92749.5,18202.6,25185.7,27806.6,34782.7,24519.8,7718.221553008139,,14739.59366037782,123.5280005347066,,,,,111.77741117019428,111.77022087842828,121.73779284792305,114.19393158982916,115.3135039124702,104.9391171075497,105.4089142621316,107.9947572091736,,119.0736597896306,113.96068079984772,,,,
ARG,2005-10-01,157146.6,99152.3,19527.8,28089.5,30556.4,35975.5,27183.3,8568.23277629272,,16110.383886366955,130.93747449911555,,,,,116.33569069657086,115.32743391652885,128.8580949552938,117.24965563300914,119.40334862930963,112.07844603330372,110.68839989575868,112.59123318480248,,122.38612062082984,122.26110233827475,,,,
ARG,2006-01-01,168020.8,106183.2,20401.9,30230.7,31532.0,38609.9,29516.7,9251.365398945827,,17696.753545524167,140.2536158342797,,,,,121.21226112237316,120.19655585779245,134.8386713018651,124.07224999384373,122.81682914538732,112.92812476235602,116.61793872922809,116.63148655814626,,129.28213854068105,127.4159159555118,,,,
ARG,2006-04-01,173053.1,109068.9,21630.3,31422.0,31164.7,40162.4,29922.3,9478.586580956551,,18700.219702565017,136.1652876982782,,,,,123.29346168067956,117.08852742005436,142.4733236727704,124.77316316765476,126.39251270508724,118.9355665981604,115.66096008225522,116.05302123524072,,133.52188069628326,123.4986594607126,,,,
ARG,2006-07-01,182861.4,116957.6,22700.8,33869.7,34073.8,41648.9,31564.2,10541.863849083784,,19758.30003679376,142.72162086167478,,,,,126.80752739697054,122.82649561339944,147.303531915722,130.37237482293526,133.25084540814925,122.24257206338584,120.290854766977,119.96371090242394,,139.106827987617,124.22941288770356,,,,
ARG,2006-10-01,191968.9,120744.2,24249.8,35711.3,36963.9,44427.9,33612.6,10949.92147570893,,20618.726511107787,144.9501645155032,,,,,130.2633918211194,126.88678947866202,154.31775082409538,133.72614661034723,132.8008276728037,123.9929111663085,121.55005008443838,123.07353151721722,,143.42234786003698,122.65334384474224,,,,
ARG,2007-01-01,202141.2,127169.5,25988.7,38703.4,39487.0,46060.2,37012.1,12982.03828168294,,21721.57811108176,146.46039689842286,,,,,133.9978164332292,129.92893062869217,158.96785006483816,133.14366900708316,133.32039099299578,128.98223211660437,125.54049562108662,120.13812069410652,,143.8592920122283,120.94785648982231,,,,
ARG,2007-04-01,215038.0,133778.8,27903.0,41237.4,43059.4,47287.0,37534.7,13912.270237235643,,23176.79712747182,152.07141810652547,,,,,139.56727511572302,132.62062408982354,169.23011608301695,135.761434605546,137.50006250109593,131.24522960351933,124.26239819903329,122.9023460036597,,152.4760036105238,123.19589373324236,,,,
ARG,2007-07-01,229139.5,146327.7,30220.7,45715.1,46309.0,50746.5,43472.8,15422.508692709756,,25305.72887134866,159.4200180946482,,,,,146.8013897279805,142.0244996840723,182.65649648536427,145.5371156239952,147.00846213935594,134.84180570280677,134.3581850605299,127.93162246125225,,161.94399576746835,130.84836148931504,,,,
ARG,2007-10-01,250661.4,153616.8,32399.3,49399.5,51429.7,59186.7,45970.2,16253.338382028904,,27661.904086572536,179.26308010914727,,,,,155.76248373469943,146.5498720690846,192.09374851776312,152.99931242528044,159.20121346919,148.93032923011887,136.54298545765613,128.8905736288203,,170.51828340401408,141.7311746131203,,,,
ARG,2008-01-01,269934.8,169249.3,35098.9,53209.8,52215.5,65138.0,51135.2,17913.321649604586,,29973.86355540916,177.65739957612166,,,,,166.09767548612226,154.34849617888997,205.68855081721276,153.08472196648867,150.56193413568084,169.7398319748171,140.36871520648273,130.2129615549342,,177.99858694504863,140.86189613025113,,,,
ARG,2008-04-01,288894.5,184491.8,37877.7,56890.9,60713.8,58836.4,55398.1,19236.297698240556,,32189.883207673145,186.29268398797225,,,,,176.8914396139052,167.47773672600513,217.52541204846952,159.94382796400265,165.30152088526097,170.1619876969173,146.67144997908406,133.0863281083963,,187.35281696036952,146.02045068529435,,,,
