code,date,gdp_output,va_total,va_agri,va_ind,va_mfg,va_constr,va_trade,va_ict,va_fin,va_realest,va_prof,va_public,va_other,va_services,taxes_prod,chainlink_disc,gdp_output_defl,va_total_defl,va_agri_defl,va_ind_defl,va_mfg_defl,va_constr_defl,va_trade_defl,va_ict_defl,va_fin_defl,va_realest_defl,va_prof_defl,va_public_defl,va_other_defl,va_services_defl,taxes_prod_defl,chainlink_disc_defl
AUT,1995-01-01,43224.6,38834.4,926.9,9571.3,7928.6,2957.9,8831.1,1342.3,2137.1,2665.8,2260.4,7064.1,1077.7,25378.4,4390.2,0.0,72.98580119648854,74.48658415186407,113.86977886977888,88.02895271730632,89.95155599423664,57.39260351585238,70.84660371757948,100.51669911636962,125.83760230819054,51.830536814885384,69.53151434987234,66.15502757981288,60.04568754178739,,61.68870403417314,
AUT,1995-04-01,43888.7,39439.0,951.1,9815.1,8171.6,3104.1,8846.5,1354.1,2230.5,2679.3,2290.2,7090.0,1078.1,25568.7,4449.6,0.0,73.16222190364105,74.647290181664,115.20106589147288,87.67866075895091,89.56257740659149,58.07918272649029,70.84170824090906,99.95570975123644,131.46107149171922,52.1853453313077,69.5369667526947,65.86220029912029,60.00445260755829,,61.96782953833299,
AUT,1995-07-01,44337.4,39882.6,953.1,9865.9,8230.5,3134.7,8890.6,1362.0,2401.6,2706.4,2321.1,7162.0,1085.3,25929.0,4454.8,0.0,73.49731123974723,74.99167962514126,115.20609210685365,86.827074550943,88.75002695766568,58.35256887565153,70.8335325143012,98.49580561180214,140.23941605839417,52.90277180499629,69.56065691680652,66.69336139383724,60.55010042401249,,62.209188660801566,
AUT,1995-10-01,44553.1,40061.9,936.4,9889.2,8253.3,3168.2,8934.9,1370.7,2360.4,2746.7,2367.3,7198.4,1089.6,26068.0,4491.3,0.0,73.25607588505433,74.68522212486717,113.69596891694998,85.46760351577693,87.51245891209838,58.960806937879184,70.80176867729563,96.65068396559018,137.37632406006284,53.98070082345773,69.73722971778709,66.54648658143125,61.07965693144234,,62.44508091874757,
AUT,1996-01-01,44923.0,40149.3,892.1,10009.8,8290.0,3143.3,8956.0,1374.9,2209.7,2800.2,2386.2,7278.7,1098.2,26103.9,4773.8,0.0,73.85857323709781,75.29466701923565,110.545229244114,88.63328463275334,90.08911106281244,59.255000282768115,70.73970222345089,94.29394417392496,127.9872574572835,55.43194235489745,69.83318700614574,67.34050033306195,61.5790063922844,71.7597479712344,62.994682044311894,
AUT,1996-04-01,45252.3,40433.1,886.6,9979.0,8248.6,3254.3,9000.4,1381.9,2218.4,2856.1,2446.7,7308.8,1100.9,26313.1,4819.2,0.0,73.87792884570175,75.27955375661415,108.81197839960728,88.15682532951693,90.07972043245604,59.66266385553213,70.69394808153007,92.60202372177176,126.6860830335218,56.72717883530627,70.06586483390606,67.51341714623534,61.77890011223345,71.86328194343925,63.25571627333105,
AUT,1996-07-01,45550.9,40736.8,877.5,10023.4,8316.2,3291.5,9039.5,1385.3,2254.2,2914.4,2485.4,7356.7,1108.8,26544.3,4814.1,0.0,73.89863999987021,75.26999735776752,107.9867093280827,87.35445862093007,89.40035690481822,60.320340132314406,70.70505600400476,91.7356466459175,126.8114311431143,57.85064909285799,70.38799207023506,67.44316098276494,62.27114455801416,72.01774377340062,63.500501239909255,
AUT,1996-10-01,45663.4,40779.3,881.5,9844.1,8173.1,3269.5,9078.0,1387.7,2340.3,2975.3,2521.8,7371.9,1109.0,26784.1,4884.1,0.0,74.11842807915116,75.46397819316373,108.84059760464255,86.59254242059059,88.44867701964179,60.12873563218391,70.73784607232747,91.74269469787122,130.49514887922382,58.79110022130888,70.92872813185578,67.95943765844665,62.41557856821252,72.54572687654216,63.892050285833896,
AUT,1997-01-01,46414.3,41321.3,921.3,10039.2,8249.3,3370.1,9111.7,1385.4,2283.6,3039.0,2583.2,7474.8,1113.0,26990.7,5093.0,0.0,74.34805312966535,75.42764412852964,108.65668121240712,86.08767236056802,87.85571270341653,60.580621966564806,70.82990003264875,92.03481033680994,123.3178528998812,59.55903968642822,71.50924593068319,68.49382851801963,62.874251497005986,72.58413248210319,66.00997991056963,
AUT,1997-04-01,46518.8,41384.5,910.2,10206.6,8471.4,3218.1,9197.2,1392.8,2281.0,3094.4,2591.1,7378.6,1114.4,27049.6,5134.3,0.0,74.6672231005674,75.78398967193752,108.81052002390916,87.83951254776412,90.12415289849676,61.00200932630701,70.89165690324968,92.4527049452373,121.60145004797953,60.10761251723937,71.9670036662593,67.906017909239,63.2140223495377,72.49804346194666,66.04025982378288,
