code,qdate,RGDP,RCON,RGCF,EMP,RDC,HOUR,HOURG,RGOV,RX,RM,WTU,WPU,C,I,H,use_durables,use_hours,use_privH,Y,GDPn,labshare_income,GDP_nominal,WL_sum,labshare_sector,labshare,source_income_direct,source_sector_recon,source_imputed,alpha,K,A,alpha_c,beta_c,psi_c,tau_stat,tau_dyn,sigmaY,logA,logS,logD
AUS,01-Jan-2000,342429,225739,71388,8763.36213737429,NaN,NaN,NaN,61886,87715,47430,0,0,225739,71388,4206413.82593966,0,0,0,342429,168608,0.487426456633137,168608,82184,0.487426456633137,0.487426456633137,1,0,0,0.512573543366863,2486857.1287934,0.10694556316187,0.519160728299538,0.95066093423876,9.95028672016049,1.01335590211161,NaN,NaN,-2.23543532947676,0.0132674983226796,NaN
AUS,01-Apr-2000,345785,227046,73267,8845.99017589104,NaN,NaN,NaN,61750,89284,47471,0,0,227046,73267,4246075.2844277,0,0,0,345785,170857,0.486617463726976,170857,83142,0.486617463726976,0.486617463726976,1,0,0,0.513382536273024,2520942.2718615,0.106750352632272,0.519160728299538,0.95066093423876,9.95028672016049,1.01739677192264,0.890685459510887,NaN,-2.23726232353205,0.0172471805320669,-0.11576393346606
AUS,01-Jul-2000,346667,228658,69666,8950.3803998338,NaN,NaN,NaN,61497,94291,47315,0,0,228658,69666,4296182.59192022,0,0,0,346667,175080,0.483738862234407,175080,84693,0.483738862234407,0.483738862234407,1,0,0,0.516261137765593,2556395.13778358,0.105651829639309,0.519160728299538,0.95066093423876,9.95028672016049,1.01280109499456,0.917922078759804,NaN,-2.24760621713998,0.0127198535629517,-0.0856427734895551
AUS,01-Oct-2000,345370,229705,65753,8886.16655410421,NaN,NaN,NaN,61418,91582,45933,0,0,229705,65753,4265359.94597002,0,0,0,345370,174196,0.492588808009369,174196,85807,0.492588808009369,0.492588808009369,1,0,0,0.507411191990631,2587715.21071683,0.10495597257459,0.519160728299538,0.95066093423876,9.95028672016049,1.00441276285257,0.899400673889435,0.556812113189832,-2.25421432557257,0.00440305516258092,-0.106026655380261
AUS,01-Jan-2001,348597,231692,65684,8927.03916376836,NaN,NaN,NaN,61899,93730,45304,0,0,231692,65684,4284978.79860881,0,0,0,348597,179072,0.488284042172981,179072,87438,0.488284042172981,0.488284042172981,1,0,0,0.511715957827019,2614652.48255607,0.105136365723613,0.519160728299538,0.95066093423876,9.95028672016049,1.00510322711469,0.954116289084512,0.540824574637953,-2.25249705025623,0.00509024978332025,-0.0469697186476007
AUS,01-Apr-2001,351723,233929,64504,8984.83426647507,NaN,NaN,NaN,63171,95172,44521,0,0,233929,64504,4312720.44790803,0,0,0,351723,180917,0.489992648562601,180917,88648,0.489992648562601,0.489992648562601,1,0,0,0.5100073514374,2641116.69531773,0.1051990600632,0.519160728299538,0.95066093423876,9.95028672016049,1.00441864303656,0.968492598035044,0.581005388095117,-2.2519009134789,0.00440890949558053,-0.0320144388746233
AUS,01-Jul-2001,355815,234699,68721,9011.31091135556,NaN,NaN,NaN,63543,93759,44289,0,0,234699,68721,4325429.23745067,0,0,0,355815,184647,0.485174413881623,184647,89586,0.485174413881623,0.485174413881623,1,0,0,0.514825586118377,2666003.94488797,0.105756296322039,0.519160728299538,0.95066093423876,9.95028672016049,1.01277057290001,0.882428211824343,0.606498485970175,-2.24661792313985,0.0126897167921514,-0.125077839858163
AUS,01-Oct-2001,360014,236338,70838,9032.68803324601,NaN,NaN,NaN,63804,91196,45281,0,0,236338,70838,4335690.25595808,0,0,0,360014,187133,0.484275889340736,187133,90624,0.484275889340736,0.484275889340736,1,0,0,0.515724110659264,2694734.88571465,0.10628934778912,0.519160728299538,0.95066093423876,9.95028672016049,1.01761592374444,0.930188442564716,0.586261027770456,-2.24159020760073,0.0174625618150546,-0.0723680869471219
AUS,01-Jan-2002,362850,238875,72694,9095.11688178638,NaN,NaN,NaN,64104,93464,47091,0,0,238875,72694,4365656.10325746,0,0,0,362850,191286,0.479972397352655,191286,91812,0.479972397352655,0.479972397352655,1,0,0,0.520027602647345,2725151.86242893,0.106152059354181,0.519160728299538,0.95066093423876,9.95028672016049,1.01473931722423,0.982939276104971,0.568068072404419,-2.24288269060485,0.0146317491862359,-0.0172079347970124
AUS,01-Apr-2002,369088,242336,76577,9113.94011504523,NaN,NaN,NaN,64786,94514,48882,0,0,242336,76577,4374691.25522171,0,0,0,369088,194598,0.479054255439419,194598,93223,0.479054255439419,0.479054255439419,1,0,0,0.520945744560581,2756968.58449249,0.107221613286295,0.519160728299538,0.95066093423876,9.95028672016049,1.01744291247409,1.02698143669028,0.552555999222486,-2.23285743419067,0.0172925310840622,0.0266238555058257
AUS,01-Jul-2002,369994,244960,74806,9190.03829318256,NaN,NaN,NaN,64907,94045,49679,0,0,244960,74806,4411218.38072763,0,0,0,369994,197262,0.481481481481481,197262,201770,NaN,0.481481481481481,1,0,0,0.518518518518519,2792191.05572511,0.106352674142686,0.519160728299538,0.95066093423876,9.95028672016049,1.00901487482018,0.988913742628469,0.537142582953413,-2.2409945929159,0.00897448340372308,-0.0111481679188727
AUS,01-Oct-2002,373116,246060,82259,9267.17815950374,NaN,NaN,NaN,65123,94958,53259,0,0,246060,82259,4448245.5165618,0,0,0,373116,200533,0.47722818688196,200533,203701,NaN,0.47722818688196,1,0,0,0.52277181311804,2825114.18988923,0.10617177668988,0.519160728299538,0.95066093423876,9.95028672016049,1.01298010019227,0.907716528126942,0.535758276071047,-2.24269696170956,0.0128965806434492,-0.0968231428162353
AUS,01-Jan-2003,373942,248409,81648,9373.58419102267,NaN,NaN,NaN,66515,94926,53217,0,0,248409,81648,4499320.41169088,0,0,0,373942,202726,0.48026400165741,202726,206893,NaN,0.48026400165741,1,0,0,0.51973599834259,2864996.47704089,0.105056923718301,0.519160728299538,0.95066093423876,9.95028672016049,1.00562249714875,0.986699623472013,0.526552767099911,-2.25325294507386,0.00560674990995261,-0.0133896187224004
AUS,01-Apr-2003,375461,250117,82781,9358.10521700039,NaN,NaN,NaN,66793,90885,53875,0,0,250117,82781,4491890.50416019,0,0,0,375461,204699,0.485141598151432,204699,210723,NaN,0.485141598151432,1,0,0,0.514858401848568,2903669.52988528,0.104835234480133,0.519160728299538,0.95066093423876,9.95028672016049,1.0028123692416,0.959607707388964,0.442346956052918,-2.25536535672856,0.00280842193035726,-0.0412307161720667
AUS,01-Jul-2003,381826,253563,86878,9365.30273999547,NaN,NaN,NaN,67799,91855,55575,0,27.63003,253563,86878,4495345.31519783,0,0,0,381826,209422,0.479944800450764,209422,213021,NaN,0.479944800450764,1,0,0,0.520055199549236,2942895.486937,0.105833192634792,0.519160728299538,0.95066093423876,9.95028672016049,1.00595296952674,1.05001743317202,0.442470459190025,-2.24589107875342,0.00593532061131696,0.048806767052575
AUS,01-Oct-2003,388299,258636,88569,9412.39408045229,NaN,NaN,NaN,68478,94786,58135,0,42.6864,258636,88569,4517949.1586171,0,0,0,388299,214673,0.476734382060157,214673,217132,NaN,0.476734382060157,1,0,0,0.523265617939843,2985630.05463294,0.106567486564066,0.519160728299538,0.95066093423876,9.95028672016049,1.00294093573414,1.13183795907762,0.480977528813349,-2.23897681786304,0.00293661964280168,0.123842823843519
AUS,01-Jan-2004,391260,262619,92250,9434.92937102485,NaN,NaN,NaN,68585,95531,61764,0,0,262619,92250,4528766.09809193,0,0,0,391260,218833,0.477510247540362,218833,221233,NaN,0.477510247540362,1,0,0,0.522489752459638,3029414.60381345,0.106449105594063,0.519160728299538,0.95066093423876,9.95028672016049,0.995261874514936,1.07694313975321,0.493457806280792,-2.24008828980042,-0.00474938598480718,0.0741266017510245
AUS,01-Apr-2004,394177,265339,90124,9509.10083212794,NaN,NaN,NaN,70318,97625,62907,0,0,265339,90124,4564368.39942141,0,0,0,394177,222270,0.477369865478922,222270,224563,NaN,0.477369865478922,1,0,0,0.522630134521078,3076223.38475625,0.10599257343857,0.519160728299538,0.95066093423876,9.95028672016049,0.992403420266896,1.01619960774603,0.512899717249542,-2.2443862492248,-0.00762558071043833,0.0160697941766669
AUS,01-Jul-2004,396780,267576,93379,9499.32829487492,NaN,NaN,NaN,70177,96377,63831,0,0,267576,93379,4559677.58153996,0,0,0,396780,225361,0.480149626599101,225361,229049,NaN,0.480149626599101,1,0,0,0.519850373400899,3120204.0339849,0.105961466605693,0.519160728299538,0.95066093423876,9.95028672016049,0.990605366720571,0.997292977143018,0.522548043939586,-2.24467977354822,-0.00943904119622709,-0.00271069346913961
AUS,01-Oct-2004,399816,270682,94237,9640.47632476548,NaN,NaN,NaN,70508,97309,66629,0,0,270682,94237,4627428.63588743,0,0,0,399816,229295,0.482012254955407,229295,233973,NaN,0.482012254955407,1,0,0,0.517987745044593,3166779.97347513,0.105205283380318,0.519160728299538,0.95066093423876,9.95028672016049,0.98673118443759,1.04880149374774,0.495434632391279,-2.25184175769325,-0.0133576328372565,0.0476480777109418
AUS,01-Jan-2005,403116,270368,97809,9746.1316556359,NaN,NaN,NaN,70907,99477,67842,0,0,270368,97809,4678143.19470523,0,0,0,403116,233631,0.481087698122253,233631,237811,NaN,0.481087698122253,1,0,0,0.518912301877747,3213515.273873,0.104719625302507,0.519160728299538,0.95066093423876,9.95028672016049,0.996030891587429,0.876362550981454,0.478354746495088,-2.25646873547601,-0.0039770062284854,-0.131975402683323
AUS,01-Apr-2005,404914,275010,97256,9824.11525863865,NaN,NaN,NaN,71989,99772,69877,0,0,275010,97256,4715575.32414655,0,0,0,404914,238560,0.476823440643863,238560,240798,NaN,0.476823440643863,1,0,0,0.523176559356137,3263121.54476491,0.103954346418717,0.519160728299538,0.95066093423876,9.95028672016049,0.983586065338974,1.14601055247426,0.485078557812897,-2.26380345296236,-0.0165501357402752,0.136286826342872
AUS,01-Jul-2005,409258,275916,100314,9905.59921618623,NaN,NaN,NaN,71623,98889,69719,0,0,275916,100314,4754687.62376939,0,0,0,409258,244095,0.476650484442533,244095,246041,NaN,0.476650484442533,1,0,0,0.523349515557467,3311430.72159344,0.103857680090499,0.519160728299538,0.95066093423876,9.95028672016049,0.990873817186519,0.952971055560982,0.476445025528148,-2.26473377770646,-0.00916808153157804,-0.0481707477083923
AUS,01-Oct-2005,412675,277856,103141,9936.06422536806,NaN,NaN,NaN,73155,101674,71578,0,0,277856,103141,4769310.82817667,0,0,0,412675,249501,0.472659428218725,249501,249276,0.999098200007214,0.472659428218725,1,0,0,0.527340571781275,3362073.26076953,0.10374956557882,0.519160728299538,0.95066093423876,9.95028672016049,0.992170799480734,1.01313372905553,0.465318539957296,-2.26577530707219,-0.00786000962210312,0.0130482294415954
AUS,01-Jan-2006,412947,280316,100904,9962.43493916209,NaN,NaN,NaN,73229,101063,73263,0,0,280316,100904,4781968.7707978,0,0,0,412947,252482,0.476418120895747,252482,254024,NaN,0.476418120895747,1,0,0,0.523581879104253,3414783.16185799,0.102851709834341,0.519160728299538,0.95066093423876,9.95028672016049,0.984111911902112,1.05487261895093,0.442958429051728,-2.27446703847745,-0.0160156567889951,0.0534200193074536
AUS,01-Apr-2006,413958,284789,99715,10053.5873972617,NaN,NaN,NaN,74478,103050,76310,0,0,284789,99715,4825721.95068562,0,0,0,413958,255786,0.477367799645016,255786,257894,NaN,0.477367799645016,1,0,0,0.522632200354984,3464465.41443012,0.101886054730656,0.519160728299538,0.95066093423876,9.95028672016049,0.971026606658386,1.17227806867263,0.392707437502917,-2.28390020061463,-0.0294014097702517,0.158948922972707
AUS,01-Jul-2006,420229,287476,101750,10141.296516718,NaN,NaN,NaN,74751,104083,74918,0,0,287476,101750,4867822.32802464,0,0,0,420229,263275,0.472764219922135,263275,262729,0.99792612287532,0.472764219922135,1,0,0,0.527235780077865,3512213.43321367,0.10226907247576,0.519160728299538,0.95066093423876,9.95028672016049,0.97652302319264,1.07472681446154,0.479143548906837,-2.28014797357309,-0.0237569516851346,0.0720665032018359
