code,year,informal_rate
AFG,2021,86.135
AGO,2004,79.162
AGO,2011,84.316
AGO,2019,88.056
AGO,2020,89.104
AGO,2021,89.395
AGO,2022,92.135
AGO,2023,95.188
AGO,2024,95.276
AGO,2025,94.488
ARG,2004,60.403
ARG,2005,58.812
ARG,2006,56.024
ARG,2008,51.14
ARG,2009,50.513
ARG,2010,49.336
ARG,2011,48.498
ARG,2012,48.474
ARG,2013,48.05
ARG,2014,47.444
ARG,2017,48.563
ARG,2018,48.73
ARG,2019,49.918
ARG,2020,46.981
ARG,2021,49.143
ARG,2022,51.196
ARG,2023,50.445
ARG,2024,51.576
ARG,2025,52.818
ARM,2008,51.211
ARM,2014,80.198
ARM,2015,79.237
ARM,2016,77.243
ARM,2017,76.143
ATG,2018,12.762
ATG,2023,19.01
AUT,2007,3.41
AUT,2008,2.601
AUT,2009,1.845
AUT,2010,2.177
AUT,2011,1.759
AUT,2012,2.528
AUT,2013,2.242
AUT,2014,1.577
AUT,2015,1.949
AUT,2016,2.368
AUT,2017,1.713
AUT,2018,2.298
AUT,2019,2.577
AUT,2020,1.927
AUT,2021,5.519
AUT,2022,5.477
AUT,2023,3.928
AUT,2024,3.38
AUT,2025,5.495
BDI,2014,98.044
BEL,2007,4.654
BEL,2008,3.46
BEL,2009,4.35
BEL,2010,3.921
BEL,2011,4.325
BEL,2012,4.398
BEL,2013,4.198
BEL,2014,4.757
BEL,2015,2.679
BEL,2016,2.478
BEL,2017,3.573
BEL,2018,3.72
BEL,2019,3.049
BEL,2020,2.464
BEL,2021,3.0
BEL,2022,2.678
BEL,2023,3.277
BEL,2024,3.313
BEL,2025,2.449
BEN,2011,96.823
BEN,2022,96.347
BFA,2018,95.575
BFA,2022,95.964
BFA,2023,95.093
BFA,2024,93.752
BFA,2025,94.73
BGD,2010,86.404
BGD,2013,89.306
BGD,2017,94.364
BGD,2022,84.87
BGD,2023,84.141
BGD,2024,84.037
BGR,2007,10.876
BGR,2008,12.674
BGR,2009,9.712
BGR,2010,9.325
BGR,2011,7.843
BGR,2012,6.949
BGR,2013,8.347
BGR,2014,7.762
BGR,2015,6.855
BGR,2016,7.795
BGR,2017,3.908
BGR,2018,4.252
BGR,2019,3.475
BGR,2020,3.831
BGR,2021,6.453
BGR,2022,5.844
BGR,2023,6.303
BGR,2024,4.146
BGR,2025,3.579
BHS,2019,18.252
BIH,2006,37.96
BIH,2007,37.057
BIH,2008,35.577
BIH,2009,33.794
BIH,2010,32.358
BIH,2011,30.885
BIH,2012,33.687
BIH,2013,31.507
BIH,2014,29.278
BIH,2015,30.131
BIH,2016,30.479
BIH,2017,24.824
BIH,2018,22.146
BIH,2019,23.125
BIH,2020,14.083
BIH,2021,19.49
BIH,2022,18.752
BIH,2023,18.527
BIH,2024,16.567
BOL,1999,84.228
BOL,2000,68.115
BOL,2001,73.484
BOL,2002,75.767
BOL,2004,87.722
BOL,2005,95.818
BOL,2006,96.148
BOL,2007,84.26
BOL,2008,85.941
BOL,2009,84.162
BOL,2011,83.356
BOL,2012,82.126
BOL,2013,80.434
