code,quarter,status,informal_rate
AGO,2020-Q1,EES,56.43
AGO,2020-Q1,SLF,98.773
AGO,2020-Q1,TOTAL,88.924
AGO,2020-Q2,EES,51.437
AGO,2020-Q2,SLF,98.747
AGO,2020-Q2,TOTAL,88.937
AGO,2020-Q3,EES,54.164
AGO,2020-Q3,SLF,98.626
AGO,2020-Q3,TOTAL,88.713
AGO,2020-Q4,EES,57.426
AGO,2020-Q4,SLF,98.824
AGO,2020-Q4,TOTAL,89.8
AGO,2021-Q1,EES,58.753
AGO,2021-Q1,SLF,99.158
AGO,2021-Q1,TOTAL,90.203
AGO,2021-Q2,EES,58.597
AGO,2021-Q2,SLF,98.723
AGO,2021-Q2,TOTAL,89.595
AGO,2021-Q3,EES,57.86
AGO,2021-Q3,SLF,98.743
AGO,2021-Q3,TOTAL,89.541
AGO,2021-Q4,EES,54.164
AGO,2021-Q4,SLF,98.15
AGO,2021-Q4,TOTAL,88.249
AGO,2022-Q1,EES,51.236
AGO,2022-Q1,SLF,98.266
AGO,2022-Q1,TOTAL,87.567
AGO,2022-Q2,EES,69.728
AGO,2022-Q2,SLF,97.723
AGO,2022-Q2,TOTAL,90.963
AGO,2022-Q3,EES,86.093
AGO,2022-Q3,SLF,97.733
AGO,2022-Q3,TOTAL,94.909
AGO,2022-Q4,EES,85.978
AGO,2022-Q4,SLF,97.692
AGO,2022-Q4,TOTAL,94.872
AGO,2024-Q1,EES,86.546
AGO,2024-Q1,SLF,98.335
AGO,2024-Q1,TOTAL,95.268
AGO,2024-Q2,EES,87.865
AGO,2024-Q2,SLF,97.916
AGO,2024-Q2,TOTAL,95.034
AGO,2024-Q3,EES,87.287
AGO,2024-Q3,SLF,98.505
AGO,2024-Q3,TOTAL,95.733
AGO,2024-Q4,EES,85.701
AGO,2024-Q4,SLF,98.312
AGO,2024-Q4,TOTAL,95.064
AGO,2025-Q1,EES,85.515
AGO,2025-Q1,SLF,98.192
AGO,2025-Q1,TOTAL,95.087
AGO,2025-Q2,EES,85.976
AGO,2025-Q2,SLF,98.155
AGO,2025-Q2,TOTAL,94.91
AGO,2025-Q3,EES,81.913
AGO,2025-Q3,SLF,98.484
AGO,2025-Q3,TOTAL,93.576
AGO,2025-Q4,EES,52.325
AGO,2025-Q4,SLF,98.506
AGO,2025-Q4,TOTAL,87.132
ARG,2003-Q3,EES,49.351
ARG,2003-Q3,SLF,96.336
ARG,2003-Q3,TOTAL,61.655
ARG,2003-Q4,EES,49.317
