code,periodo,valor,variable,price_base
ARG,2004-Q1,75306.4,conh_vol,Q
ARG,2004-Q2,76310.4,conh_vol,Q
ARG,2004-Q3,79328.1,conh_vol,Q
ARG,2004-Q4,81137.0,conh_vol,Q
ARG,2005-Q1,80425.6,conh_vol,Q
ARG,2005-Q2,85770.3,conh_vol,Q
ARG,2005-Q3,82982.3,conh_vol,Q
ARG,2005-Q4,85974.6,conh_vol,Q
ARG,2006-Q1,88341.3,conh_vol,Q
ARG,2006-Q2,93150.8,conh_vol,Q
ARG,2006-Q3,95221.8,conh_vol,Q
ARG,2006-Q4,95159.0,conh_vol,Q
ARG,2007-Q1,97876.2,conh_vol,Q
ARG,2007-Q2,100873.3,conh_vol,Q
ARG,2007-Q3,103029.9,conh_vol,Q
ARG,2007-Q4,104822.2,conh_vol,Q
ARG,2008-Q1,109654.0,conh_vol,Q
ARG,2008-Q2,110159.0,conh_vol,Q
ARG,2008-Q3,108942.0,conh_vol,Q
ARG,2008-Q4,107303.4,conh_vol,Q
ARG,2009-Q1,101960.5,conh_vol,Q
ARG,2009-Q2,98804.9,conh_vol,Q
ARG,2009-Q3,106790.3,conh_vol,Q
ARG,2009-Q4,104965.8,conh_vol,Q
ARG,2010-Q1,109343.1,conh_vol,Q
ARG,2010-Q2,114193.0,conh_vol,Q
ARG,2010-Q3,115747.2,conh_vol,Q
ARG,2010-Q4,119391.9,conh_vol,Q
ARG,2011-Q1,122782.5,conh_vol,Q
ARG,2011-Q2,123713.2,conh_vol,Q
ARG,2011-Q3,127136.5,conh_vol,Q
ARG,2011-Q4,128015.0,conh_vol,Q
ARG,2012-Q1,124290.8,conh_vol,Q
ARG,2012-Q2,123984.1,conh_vol,Q
ARG,2012-Q3,128740.8,conh_vol,Q
ARG,2012-Q4,130201.2,conh_vol,Q
ARG,2013-Q1,130207.8,conh_vol,Q
ARG,2013-Q2,128814.0,conh_vol,Q
ARG,2013-Q3,133698.5,conh_vol,Q
ARG,2013-Q4,132954.2,conh_vol,Q
ARG,2014-Q1,129676.8,conh_vol,Q
ARG,2014-Q2,124950.6,conh_vol,Q
ARG,2014-Q3,122725.7,conh_vol,Q
ARG,2014-Q4,125411.4,conh_vol,Q
ARG,2015-Q1,127883.7,conh_vol,Q
ARG,2015-Q2,131805.8,conh_vol,Q
ARG,2015-Q3,130842.2,conh_vol,Q
ARG,2015-Q4,130614.8,conh_vol,Q
ARG,2016-Q1,130287.1,conh_vol,Q
ARG,2016-Q2,128037.2,conh_vol,Q
ARG,2016-Q3,128995.0,conh_vol,Q
ARG,2016-Q4,129760.9,conh_vol,Q
ARG,2017-Q1,132495.0,conh_vol,Q
ARG,2017-Q2,133986.7,conh_vol,Q
ARG,2017-Q3,134766.7,conh_vol,Q
ARG,2017-Q4,137334.2,conh_vol,Q
ARG,2018-Q1,138139.3,conh_vol,Q
ARG,2018-Q2,134918.6,conh_vol,Q
ARG,2018-Q3,130830.3,conh_vol,Q
ARG,2018-Q4,122599.4,conh_vol,Q
ARG,2019-Q1,123534.8,conh_vol,Q
ARG,2019-Q2,126306.9,conh_vol,Q
ARG,2019-Q3,125269.3,conh_vol,Q
ARG,2019-Q4,119119.1,conh_vol,Q
ARG,2020-Q1,116156.6,conh_vol,Q
ARG,2020-Q2,97860.3,conh_vol,Q
ARG,2020-Q3,106539.0,conh_vol,Q
ARG,2020-Q4,113519.6,conh_vol,Q
ARG,2021-Q1,115829.3,conh_vol,Q
ARG,2021-Q2,116562.9,conh_vol,Q
ARG,2021-Q3,118710.1,conh_vol,Q
ARG,2021-Q4,124063.8,conh_vol,Q
ARG,2022-Q1,127199.9,conh_vol,Q
ARG,2022-Q2,131001.0,conh_vol,Q
ARG,2022-Q3,131287.5,conh_vol,Q
ARG,2022-Q4,130658.0,conh_vol,Q
ARG,2023-Q1,132112.8,conh_vol,Q
ARG,2023-Q2,133459.2,conh_vol,Q
ARG,2023-Q3,131794.6,conh_vol,Q
ARG,2023-Q4,127914.2,conh_vol,Q
ARG,2024-Q1,125211.6,conh_vol,Q
ARG,2024-Q2,122363.9,conh_vol,Q
ARG,2024-Q3,128957.9,conh_vol,Q
ARG,2024-Q4,133690.4,conh_vol,Q
ARG,2025-Q1,136667.5,conh_vol,Q
ARG,2025-Q2,138081.6,conh_vol,Q
ARG,2025-Q3,138853.0,conh_vol,Q
ARG,2025-Q4,140331.6,conh_vol,Q
ARG,2026-Q1,141496.0,conh_vol,Q
ARG,2004-Q1,118884.9,gdp_vol,Q
ARG,2004-Q2,117588.5,gdp_vol,Q
