code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,inv_equip,inv_struct,inv_dwell,inv_ipp,cons_dur,cons_semidur,cons_nondur,cons_serv,gdp_output,va_total,va_agri,va_ind,va_mfg,va_constr,va_trade,va_ict,va_fin,va_realest,va_prof,va_public,va_other,va_services,taxes_prod,chainlink_disc,gdp_income,comp_emp,surplus_mixed,taxes_prod_imp_net,taxes_prod_imp,subsidies,emp,emp_employees,emp_selfemp,hours,hours_employees,hours_selfemp,gdp_defl,cons_hh_defl,cons_gov_defl,inv_defl,capform_defl,exports_defl,imports_defl,inv_equip_defl,inv_struct_defl,inv_dwell_defl,inv_ipp_defl,cons_dur_defl,cons_semidur_defl,cons_nondur_defl,cons_serv_defl,gdp_output_defl,va_total_defl,va_agri_defl,va_ind_defl,va_mfg_defl,va_constr_defl,va_trade_defl,va_ict_defl,va_fin_defl,va_realest_defl,va_prof_defl,va_public_defl,va_other_defl,va_services_defl,taxes_prod_defl,chainlink_disc_defl
ARG,2004-01-01,114664.4,74124.0,12330.1,17066.7,19237.8,27175.1,18407.5,5185.227504440634,,10286.355598432778,98.74099692315328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.44992761906686,98.42988112564139,93.72724301232203,91.61607214751591,92.3261444274456,98.00952140512858,95.96536227804017,90.67501281979159,,92.03972399929772,98.70419293516395,,,,,,,,,,,,,,,,,,,,
ARG,2004-04-01,120882.9,76408.3,12981.0,19056.7,20659.5,28494.5,19512.0,5914.257761899753,,11256.781477656355,103.27126311950298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.80163451357913,100.12829181867741,98.19510423916003,99.17100333055787,99.5981453383274,99.50447681971197,96.79867839442782,98.27206631846279,,97.5434698644398,101.65008666215874,,,,,,,,,,,,,,,,,,,,
ARG,2004-07-01,122542.7,79082.1,13914.8,20048.7,21912.2,29416.4,21047.8,6171.292129300696,,12017.972622840152,107.18391932575996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.265609444525,99.6898955099139,102.20273376962005,103.08397904251653,102.23058638013428,100.3044965236931,102.2437687932031,103.9185402840184,,102.61774201818923,101.88900436908294,,,,,,,,,,,,,,,,,,,,
ARG,2004-10-01,127025.2,82467.5,14692.9,20931.2,23334.4,30602.5,22750.5,6239.875005680743,,12753.522849938272,106.5692112642032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.46390558539849,101.63981907144706,105.4834842164964,105.66083453644157,107.46767355811986,102.01513434228949,104.39265458950499,107.00284175775019,,107.37356721790398,98.16376888981554,,,,,,,,,,,,,,,,,,,,
ARG,2005-01-01,133429.6,83552.1,15934.3,22967.0,25684.5,31545.7,23347.1,6642.783296858846,,13815.208971171174,106.17973693391022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.57712027883544,103.88744379898938,110.79874559323567,107.86528463341209,108.56445254574555,97.82522405184979,104.90626909666055,105.01150722646209,,112.7953651700896,101.80999793993033,,,,,,,,,,,,,,,,,,,,
ARG,2005-04-01,143850.0,91716.3,17066.3,24834.9,25983.9,33112.2,25760.4,7441.805263643638,,14633.10855358474,118.32434274382196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.26865580943121,106.93246963109607,115.74610365828846,112.87103063687059,109.43266230550971,100.01902984060241,104.7456014442958,104.33334778713888,,116.27037490870275,106.88756891220496,,,,,,,,,,,,,,,,,,,,
ARG,2005-07-01,148112.0,92749.5,18202.6,25185.7,27806.6,34782.7,24519.8,7718.221553008139,,14739.59366037782,123.5280005347066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.77741117019428,111.77022087842829,121.73779284792305,114.19393158982915,115.31350391247021,104.9391171075497,105.40891426213159,107.99475720917361,,119.0736597896306,113.96068079984771,,,,,,,,,,,,,,,,,,,,
ARG,2005-10-01,157146.6,99152.3,19527.8,28089.5,30556.4,35975.5,27183.3,8568.23277629272,,16110.383886366957,130.93747449911555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.33569069657086,115.32743391652883,128.8580949552938,117.24965563300914,119.40334862930963,112.07844603330373,110.68839989575868,112.59123318480248,,122.38612062082984,122.26110233827475,,,,,,,,,,,,,,,,,,,,
ARG,2006-01-01,168020.8,106183.2,20401.9,30230.7,31532.0,38609.9,29516.7,9251.365398945829,,17696.753545524167,140.2536158342797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.21226112237316,120.19655585779245,134.8386713018651,124.07224999384373,122.81682914538733,112.92812476235602,116.61793872922807,116.63148655814626,,129.28213854068105,127.4159159555118,,,,,,,,,,,,,,,,,,,,
ARG,2006-04-01,173053.1,109068.9,21630.3,31422.0,31164.7,40162.4,29922.3,9478.586580956551,,18700.219702565017,136.1652876982782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.29346168067956,117.08852742005436,142.4733236727704,124.77316316765476,126.39251270508723,118.9355665981604,115.66096008225522,116.05302123524072,,133.52188069628326,123.49865946071259,,,,,,,,,,,,,,,,,,,,
