serie,edicion,periodo,valor
B1GQ_Q,199902,1993-Q1,1255635000000
B1GQ_Q,199902,1993-Q2,1244134000000
B1GQ_Q,199902,1993-Q3,1262294000000
B1GQ_Q,199902,1993-Q4,1262226000000
B1GQ_Q,199902,1994-Q1,1281778000000
B1GQ_Q,199902,1994-Q2,1319568000000
B1GQ_Q,199902,1994-Q3,1321695000000
B1GQ_Q,199902,1994-Q4,1325186000000
B1GQ_Q,199902,1995-Q1,1273735000000
B1GQ_Q,199902,1995-Q2,1201486000000
B1GQ_Q,199902,1995-Q3,1216942000000
B1GQ_Q,199902,1995-Q4,1229402000000
B1GQ_Q,199902,1996-Q1,1274154000000
B1GQ_Q,199902,1996-Q2,1281090000000
B1GQ_Q,199902,1996-Q3,1304828000000
B1GQ_Q,199902,1996-Q4,1315299000000
B1GQ_Q,199902,1997-Q1,1335793000000
B1GQ_Q,199902,1997-Q2,1391778000000
B1GQ_Q,199902,1997-Q3,1408499000000
B1GQ_Q,199902,1997-Q4,1402346000000
B1GQ_Q,199902,1998-Q1,1423551000000
B1GQ_Q,199902,1998-Q2,1450576000000
B1GQ_Q,199902,1998-Q3,1479217000000
B1GQ_Q,199903,1993-Q1,1255635000000
B1GQ_Q,199903,1993-Q2,1244134000000
B1GQ_Q,199903,1993-Q3,1262294000000
B1GQ_Q,199903,1993-Q4,1262226000000
B1GQ_Q,199903,1994-Q1,1281778000000
B1GQ_Q,199903,1994-Q2,1319568000000
B1GQ_Q,199903,1994-Q3,1321695000000
B1GQ_Q,199903,1994-Q4,1325186000000
B1GQ_Q,199903,1995-Q1,1273735000000
B1GQ_Q,199903,1995-Q2,1201486000000
B1GQ_Q,199903,1995-Q3,1216942000000
B1GQ_Q,199903,1995-Q4,1229402000000
B1GQ_Q,199903,1996-Q1,1274154000000
B1GQ_Q,199903,1996-Q2,1281090000000
B1GQ_Q,199903,1996-Q3,1304828000000
B1GQ_Q,199903,1996-Q4,1315299000000
B1GQ_Q,199903,1997-Q1,1335793000000
B1GQ_Q,199903,1997-Q2,1391778000000
B1GQ_Q,199903,1997-Q3,1408499000000
B1GQ_Q,199903,1997-Q4,1402346000000
B1GQ_Q,199903,1998-Q1,1423551000000
B1GQ_Q,199903,1998-Q2,1450576000000
B1GQ_Q,199903,1998-Q3,1479217000000
B1GQ_Q,199904,1993-Q1,1255635000000
B1GQ_Q,199904,1993-Q2,1244134000000
B1GQ_Q,199904,1993-Q3,1262294000000
B1GQ_Q,199904,1993-Q4,1262226000000
