code,series_id,date,urate
AUS,LRHUTTTTAUQ156S,1966-07-01,1.8
AUS,LRHUTTTTAUQ156S,1966-10-01,1.7
AUS,LRHUTTTTAUQ156S,1967-01-01,1.8
AUS,LRHUTTTTAUQ156S,1967-04-01,2.0
AUS,LRHUTTTTAUQ156S,1967-07-01,1.9
AUS,LRHUTTTTAUQ156S,1967-10-01,1.8
AUS,LRHUTTTTAUQ156S,1968-01-01,1.9
AUS,LRHUTTTTAUQ156S,1968-04-01,1.9
AUS,LRHUTTTTAUQ156S,1968-07-01,1.8
AUS,LRHUTTTTAUQ156S,1968-10-01,1.7
AUS,LRHUTTTTAUQ156S,1969-01-01,1.8
AUS,LRHUTTTTAUQ156S,1969-04-01,1.8
AUS,LRHUTTTTAUQ156S,1969-07-01,1.7
AUS,LRHUTTTTAUQ156S,1969-10-01,1.9
AUS,LRHUTTTTAUQ156S,1970-01-01,1.6
AUS,LRHUTTTTAUQ156S,1970-04-01,1.7
AUS,LRHUTTTTAUQ156S,1970-07-01,1.7
AUS,LRHUTTTTAUQ156S,1970-10-01,1.6
AUS,LRHUTTTTAUQ156S,1971-01-01,1.7
AUS,LRHUTTTTAUQ156S,1971-04-01,1.9
AUS,LRHUTTTTAUQ156S,1971-07-01,1.9
AUS,LRHUTTTTAUQ156S,1971-10-01,2.2
AUS,LRHUTTTTAUQ156S,1972-01-01,2.4
AUS,LRHUTTTTAUQ156S,1972-04-01,2.4
AUS,LRHUTTTTAUQ156S,1972-07-01,2.9
AUS,LRHUTTTTAUQ156S,1972-10-01,2.8
AUS,LRHUTTTTAUQ156S,1973-01-01,2.6
AUS,LRHUTTTTAUQ156S,1973-04-01,2.3
AUS,LRHUTTTTAUQ156S,1973-07-01,2.1
AUS,LRHUTTTTAUQ156S,1973-10-01,2.1
AUS,LRHUTTTTAUQ156S,1974-01-01,2.1
AUS,LRHUTTTTAUQ156S,1974-04-01,2.1
AUS,LRHUTTTTAUQ156S,1974-07-01,2.7
AUS,LRHUTTTTAUQ156S,1974-10-01,4.0
AUS,LRHUTTTTAUQ156S,1975-01-01,4.8
AUS,LRHUTTTTAUQ156S,1975-04-01,4.8
AUS,LRHUTTTTAUQ156S,1975-07-01,4.7
AUS,LRHUTTTTAUQ156S,1975-10-01,5.4
AUS,LRHUTTTTAUQ156S,1976-01-01,4.9
AUS,LRHUTTTTAUQ156S,1976-04-01,4.5
AUS,LRHUTTTTAUQ156S,1976-07-01,4.8
AUS,LRHUTTTTAUQ156S,1976-10-01,4.9
