code,date,gdp_income,comp_emp,surplus_mixed,taxes_prod_imp_net,taxes_prod_imp,subsidies
AUS,1995-01-01,124763.0,61314.0,50979.0,13149.0,,
AUS,1995-04-01,126466.0,61870.0,50643.0,13482.0,,
AUS,1995-07-01,129185.0,63323.0,52368.0,13838.0,,
AUS,1995-10-01,131785.0,64810.0,53118.0,14073.0,,
AUS,1996-01-01,133409.0,65357.0,54019.0,14491.0,,
AUS,1996-04-01,135523.0,66412.0,54331.0,14690.0,,
AUS,1996-07-01,136171.0,67924.0,54105.0,14521.0,,
AUS,1996-10-01,138135.0,69018.0,54467.0,14665.0,,
AUS,1997-01-01,139429.0,69439.0,54824.0,15083.0,,
AUS,1997-04-01,142988.0,71245.0,56961.0,15576.0,,
AUS,1997-07-01,143892.0,71062.0,58315.0,15169.0,,
AUS,1997-10-01,147721.0,71882.0,59222.0,15751.0,,
AUS,1998-01-01,148837.0,72611.0,60182.0,15938.0,,
AUS,1998-04-01,150050.0,73708.0,60611.0,15878.0,,
AUS,1998-07-01,152688.0,75944.0,60716.0,16824.0,,
AUS,1998-10-01,155604.0,76419.0,62373.0,16466.0,,
AUS,1999-01-01,157062.0,77067.0,63190.0,16640.0,,
AUS,1999-04-01,157994.0,78326.0,61794.0,17123.0,,
AUS,1999-07-01,160793.0,78586.0,63507.0,18135.0,,
AUS,1999-10-01,163672.0,80787.0,65795.0,17587.0,,
AUS,2000-01-01,168608.0,82184.0,68808.0,18028.0,,
AUS,2000-04-01,170857.0,83142.0,69861.0,17942.0,,
AUS,2000-07-01,175080.0,84693.0,71063.0,18985.0,,
AUS,2000-10-01,174197.0,85807.0,68968.0,20321.0,,
AUS,2001-01-01,179072.0,87438.0,70690.0,20854.0,,
AUS,2001-04-01,180917.0,88648.0,70054.0,21324.0,,
AUS,2001-07-01,184647.0,89586.0,73986.0,20666.0,,
AUS,2001-10-01,187133.0,90624.0,76963.0,20934.0,,
AUS,2002-01-01,191286.0,91812.0,77460.0,21327.0,,
AUS,2002-04-01,194598.0,93223.0,79968.0,21889.0,,
AUS,2002-07-01,197262.0,94978.0,79784.0,22894.0,,
AUS,2002-10-01,200533.0,95700.0,81310.0,23022.0,,
AUS,2003-01-01,202726.0,97362.0,81358.0,23092.0,,
AUS,2003-04-01,204700.0,99308.0,81875.0,23991.0,,
AUS,2003-07-01,209422.0,100511.0,85061.0,24458.0,,
AUS,2003-10-01,214673.0,102342.0,88084.0,24980.0,,
AUS,2004-01-01,218833.0,104495.0,88848.0,24775.0,,
AUS,2004-04-01,222271.0,106105.0,90818.0,25527.0,,
AUS,2004-07-01,225362.0,108207.0,91774.0,25652.0,,
AUS,2004-10-01,229295.0,110523.0,94491.0,25384.0,,
AUS,2005-01-01,233631.0,112397.0,97021.0,25313.0,,
AUS,2005-04-01,238560.0,113751.0,97381.0,25458.0,,
AUS,2005-07-01,244095.0,116348.0,101562.0,26522.0,,
AUS,2005-10-01,249501.0,117929.0,104120.0,27317.0,,
AUS,2006-01-01,252482.0,120287.0,105113.0,27438.0,,
AUS,2006-04-01,255787.0,122104.0,105475.0,27257.0,,
AUS,2006-07-01,263275.0,124467.0,110386.0,27850.0,,
AUS,2006-10-01,270302.0,128936.0,112340.0,28684.0,,
AUS,2007-01-01,277175.0,132013.0,115687.0,28976.0,,
AUS,2007-04-01,281231.0,135589.0,115838.0,30775.0,,
AUS,2007-07-01,285703.0,137793.0,117240.0,30251.0,,
AUS,2007-10-01,291102.0,139993.0,120113.0,30866.0,,
AUS,2008-01-01,298851.0,142827.0,124462.0,31177.0,,
AUS,2008-04-01,306615.0,146655.0,130232.0,31254.0,,
AUS,2008-07-01,316397.0,147529.0,138755.0,29928.0,,
AUS,2008-10-01,316940.0,147920.0,138648.0,29679.0,,
AUS,2009-01-01,318421.0,147384.0,140902.0,30197.0,,
AUS,2009-04-01,313814.0,147051.0,136438.0,30409.0,,
AUS,2009-07-01,314857.0,149031.0,134428.0,31322.0,,
AUS,2009-10-01,321978.0,151419.0,139618.0,32426.0,,
AUS,2010-01-01,329458.0,154215.0,142441.0,32522.0,,
AUS,2010-04-01,341052.0,158457.0,150122.0,33230.0,,
AUS,2010-07-01,346004.0,162042.0,151023.0,33783.0,,
AUS,2010-10-01,352107.0,165581.0,154732.0,33943.0,,
AUS,2011-01-01,358017.0,168909.0,152681.0,34664.0,,
AUS,2011-04-01,366941.0,171891.0,159594.0,34096.0,,
AUS,2011-07-01,373550.0,174763.0,164924.0,34247.0,,
AUS,2011-10-01,374487.0,176570.0,164615.0,34676.0,,
AUS,2012-01-01,375468.0,180657.0,160390.0,35345.0,,
AUS,2012-04-01,380785.0,182074.0,161436.0,35326.0,,
AUS,2012-07-01,381809.0,181709.0,162083.0,36721.0,,
AUS,2012-10-01,383401.0,184175.0,162432.0,37242.0,,
AUS,2013-01-01,387295.0,185198.0,164600.0,37315.0,,
AUS,2013-04-01,391610.0,186760.0,167298.0,38456.0,,
AUS,2013-07-01,395715.0,188038.0,167826.0,39270.0,,
AUS,2013-10-01,401762.0,190577.0,171813.0,39609.0,,
AUS,2014-01-01,405004.0,192016.0,171995.0,40339.0,,
AUS,2014-04-01,404524.0,193535.0,170729.0,40453.0,,
AUS,2014-07-01,404381.0,195020.0,168942.0,39646.0,,
AUS,2014-10-01,406897.0,196068.0,170973.0,40287.0,,
AUS,2015-01-01,409875.0,196718.0,171325.0,41253.0,,
AUS,2015-04-01,408977.0,198674.0,170634.0,41115.0,,
AUS,2015-07-01,413525.0,200544.0,171268.0,42946.0,,
AUS,2015-10-01,413706.0,202170.0,169368.0,43084.0,,
AUS,2016-01-01,416081.0,204181.0,167167.0,43261.0,,
AUS,2016-04-01,420973.0,204669.0,171337.0,43771.0,,
AUS,2016-07-01,426421.0,206839.0,175023.0,43504.0,,
AUS,2016-10-01,440621.0,206399.0,189647.0,44551.0,,
AUS,2017-01-01,448531.0,208489.0,195744.0,45909.0,,
AUS,2017-04-01,448464.0,211150.0,192124.0,46119.0,,
AUS,2017-07-01,454276.0,213921.0,192535.0,46579.0,,
AUS,2017-10-01,456786.0,217300.0,193099.0,47585.0,,
AUS,2018-01-01,465769.0,219952.0,199153.0,47902.0,,
AUS,2018-04-01,472054.0,222118.0,201114.0,48510.0,,
AUS,2018-07-01,479421.0,225066.0,204183.0,48858.0,,
AUS,2018-10-01,484269.0,227986.0,208059.0,48985.0,,
