date,rr_exog,mtr_u,mtr_a
1945Q1,0.0,0.0,0.0
1945Q2,0.0,0.0,0.0
1945Q3,0.0,0.0,0.0
1945Q4,0.0,0.0,0.0
1946Q1,0.0,0.0,0.0
1946Q2,0.0,0.0,0.0
1946Q3,0.0,0.0,0.0
1946Q4,0.0,0.0,0.0
1947Q1,0.0,0.0,0.0
1947Q2,0.0,0.0,0.0
1947Q3,0.0,0.0,0.27
1947Q4,0.0,0.0,0.0
1948Q1,0.0,0.0,0.0
1948Q2,-1.870557,-3.741115,0.0
1948Q3,0.0,1.825484,0.0
1948Q4,0.0,0.0,0.0
1949Q1,0.0,0.0,0.0
1949Q2,0.0,0.0,0.0
1949Q3,0.0,0.0,0.0
1949Q4,0.0,0.0,0.0
1950Q1,0.272529,0.0,0.0
1950Q2,0.0,0.0,0.0
1950Q3,0.0,0.0,0.35
1950Q4,0.0,0.0,0.0
1951Q1,0.0,0.0,0.0
1951Q2,0.0,0.0,0.0
1951Q3,0.0,0.0,0.0
1951Q4,0.0,0.0,-0.35
1952Q1,0.0,0.0,0.0
1952Q2,0.0,0.0,0.0
1952Q3,0.0,0.0,0.0
1952Q4,0.0,0.0,0.0
1953Q1,0.0,0.0,0.0
1953Q2,0.0,0.0,0.0
1953Q3,0.0,0.0,0.0
1953Q4,0.0,0.0,0.0
1954Q1,0.0,0.0,0.0
1954Q2,0.0,0.0,0.0
1954Q3,-0.367647,-1.129202,0.0
1954Q4,0.0,0.71887,0.0
1955Q1,0.0,0.0,0.0
1955Q2,0.0,0.0,0.0
1955Q3,0.0,0.0,0.0
1955Q4,0.0,0.0,0.0
1956Q1,0.0,0.0,0.0
1956Q2,0.0,0.0,0.0
1956Q3,0.0,0.0,0.0
1956Q4,0.0,0.0,0.0
1957Q1,0.0,0.0,0.0
1957Q2,0.0,0.0,0.0
1957Q3,0.0,0.0,0.0
1957Q4,0.0,0.0,0.0
1958Q1,0.0,0.0,0.0
1958Q2,0.0,0.0,0.0
1958Q3,-0.106,-0.106,0.36
1958Q4,0.0,0.0,0.0
1959Q1,0.0,0.0,0.0
1959Q2,0.0,0.0,0.0
1959Q3,0.0,0.0,0.0
1959Q4,0.116913,0.116913,0.0
1960Q1,0.3606,0.0,0.0
1960Q2,0.0,0.0,0.0
1960Q3,0.0,0.0,0.0
1960Q4,0.0,0.0,0.0
1961Q1,0.0,0.0,0.0
1961Q2,0.0,0.0,0.33
1961Q3,0.0,0.0,0.0
1961Q4,0.0,0.0,0.0
1962Q1,0.0,0.0,0.0
1962Q2,0.0,0.0,0.0
1962Q3,-0.228814,-0.686441,0.0
1962Q4,-0.151694,-0.15169,0.0
1963Q1,0.431607,0.54781,0.0
1963Q2,0.0,0.0,0.0
1963Q3,0.0,0.0,0.0
1963Q4,0.0,0.0,0.0
1964Q1,0.0,0.0,0.6
1964Q2,-1.275046,-2.550091,0.0
1964Q3,0.0,0.0,0.0
1964Q4,0.0,0.0,0.0
1965Q1,-0.646831,0.0,0.0
1965Q2,0.0,0.0,-0.23
1965Q3,-0.241313,-0.241313,0.0
1965Q4,0.0,0.0,0.0
1966Q1,-0.227037,0.0,0.0
1966Q2,0.115399,0.115399,0.0
1966Q3,0.0,0.0,0.0
1966Q4,0.0,0.0,0.0
1967Q1,0.0,0.0,0.0
1967Q2,0.0,0.0,0.46
1967Q3,-0.191136,-0.65703,0.0
1967Q4,0.0,0.0,0.0
1968Q1,0.0,0.0,0.33
1968Q2,0.0,0.0,0.0
1968Q3,0.0,0.0,0.0
1968Q4,0.0,0.0,0.0
1969Q1,0.0,0.0,0.0
1969Q2,0.0,0.0,0.0
1969Q3,0.0,0.0,0.0
1969Q4,0.0,0.0,-0.18
1970Q1,0.0,0.0,0.0
1970Q2,0.0,0.0,0.0
1970Q3,0.0,0.0,0.0
1970Q4,0.0,0.0,0.0
1971Q1,-0.01821,-0.254939,0.0
1971Q2,0.0,0.0,0.0
1971Q3,0.0,0.0,0.0
1971Q4,0.0,0.0,0.55
1972Q1,-0.755921,-1.234672,0.0
1972Q2,0.0,0.0,0.0
1972Q3,0.0,0.0,0.0
1972Q4,0.0,0.0,0.13
1973Q1,0.0,0.0,0.0
1973Q2,0.0,0.0,0.0
1973Q3,0.0,0.0,0.0
1973Q4,0.0,0.0,0.0
1974Q1,0.0,0.0,0.0
1974Q2,0.0,0.0,0.0
1974Q3,0.0,0.0,0.0
1974Q4,0.0,0.0,0.0
1975Q1,0.0,0.0,0.0
1975Q2,0.0,0.0,0.0
1975Q3,0.0,0.0,0.0
1975Q4,0.0,0.0,0.0
1976Q1,0.0,0.0,0.0
1976Q2,0.0,0.0,0.0
1976Q3,0.0,0.0,0.0
1976Q4,0.127301,0.127301,0.0
1977Q1,-0.041252,-0.041252,0.0
1977Q2,0.0,0.0,0.66
1977Q3,-0.338688,-1.02,0.0
1977Q4,0.0,0.66,1.03
1978Q1,0.134884,0.0,0.0
1978Q2,0.0,0.0,0.0
1978Q3,0.0,0.0,0.0
1978Q4,0.0,0.0,0.0
1979Q1,-0.409836,-0.766921,0.0
