Area,ISO 3 code,Year,Area type,Electricity source,Is aggregated source,Generation (TWh),Generation YoY change (TWh),Generation YoY change (%),Share of generation (%),Share of generation YoY change (% points),Emissions (MtCO2e),Emissions YoY change (MtCO2e),Emissions YoY change (%),Share of emissions (%),Emissions intensity (gCO2e/kWh),Continent,Ember region,EU member,OECD member,G20 member,G7 member,ASEAN member
Austria,AUT,1990,Country or economy,Solar,False,0.0,,,0.0,,0.0,,,0.0,,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Onshore wind,False,0.0,,,0.0,,0.0,,,0.0,,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Hydro,False,31.51,,,63.954,,0.749,,,6.083,23.77,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Bioenergy,False,1.13,,,2.293,,0.244,,,1.981,215.929,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Other renewables,False,0.0,,,0.0,,0.0,,,0.0,,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Nuclear,False,0.0,,,0.0,,0.0,,,0.0,,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Lignite,False,2.38,,,4.831,,2.417,,,19.628,1015.546,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Gas,False,7.72,,,15.669,,3.453,,,28.041,447.28,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Other fossil,False,2.72,,,5.521,,1.79,,,14.536,658.088,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Net imports,False,-0.46,,,-0.934,,0.0,,,0.0,0.0,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Wind,True,0.0,,,0.0,,0.0,,,0.0,,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Coal,True,6.19,,,12.563,,6.078,,,49.359,981.906,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Wind and solar,True,0.0,,,0.0,,0.0,,,0.0,,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,"Hydro, bioenergy and other renewables",True,32.64,,,66.247,,0.993,,,8.064,30.423,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Renewables,True,32.64,,,66.247,,0.993,,,8.064,30.423,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Clean,True,32.64,,,66.247,,0.993,,,8.064,30.423,Europe,Europe,True,True,False,False,False
Austria,AUT,1990,Country or economy,Fossil,True,16.63,,,33.753,,11.321,,,91.936,680.758,Europe,Europe,True,True,False,False,False
