beta,psik,ok,n_stable,margin,robust
0.85,0.25,True,12,0.1000000019284335,True
0.85725,0.25,True,12,0.1000000009154508,True
0.8644999999999999,0.25,True,12,0.10000000966297351,True
0.87175,0.25,True,12,0.10000001163367034,True
0.879,0.25,True,12,0.10000000740033665,True
0.88625,0.25,True,12,0.10000000617054827,True
0.8935,0.25,True,12,0.10000002620871629,True
0.9007499999999999,0.25,True,12,0.10000000517453689,True
0.908,0.25,True,12,0.10000001499020406,True
0.91525,0.25,True,12,0.10000000348138871,True
0.9225,0.25,True,12,0.10000001999776909,True
0.92975,0.25,True,12,0.10000002359861715,True
0.937,0.25,True,12,0.09999997293922158,True
0.94425,0.25,True,12,0.10000001902888545,True
0.9515,0.25,True,12,0.09595753498399184,True
0.95875,0.25,True,12,0.08444697524290012,True
0.966,0.25,True,12,0.07264549460159497,True
0.97325,0.25,True,12,0.06060614689296351,True
0.9805,0.25,True,12,0.04849776162493147,True
0.98775,0.25,True,12,0.036749274780750185,True
0.995,0.25,True,12,0.026320058444418426,True
0.85,0.7375,True,12,0.10000000833759226,True
0.85725,0.7375,True,12,0.10000000768605344,True
0.8644999999999999,0.7375,True,12,0.09999999643092061,True
0.87175,0.7375,True,12,0.10000000055163016,True
0.879,0.7375,True,12,0.10000000544213505,True
0.88625,0.7375,True,12,0.10000001819107285,True
0.8935,0.7375,True,12,0.10000002189206314,True
0.9007499999999999,0.7375,True,12,0.1000000102924995,True
0.908,0.7375,True,12,0.1000000326710293,True
0.91525,0.7375,True,12,0.10000001531521197,True
0.9225,0.7375,True,12,0.09999999437962614,True
0.92975,0.7375,True,12,0.10000016121900845,True
0.937,0.7375,True,12,0.10000016229252773,True
0.94425,0.7375,True,12,0.09710111491068818,True
0.9515,0.7375,True,12,0.08782260402628395,True
0.95875,0.7375,True,12,0.07810917059635258,True
0.966,0.7375,True,12,0.067945016553696,True
0.97325,0.7375,True,12,0.057355610809123325,True
0.9805,0.7375,True,12,0.04646982736309735,True
0.98775,0.7375,True,12,0.03566570498863997,True
0.995,0.7375,True,12,0.025856415138031386,True
0.85,1.225,True,12,0.10000001511497136,True
0.85725,1.225,True,12,0.10000000059281577,True
0.8644999999999999,1.225,True,12,0.10000001077258658,True
0.87175,1.225,True,12,0.1000000148022051,True
0.879,1.225,True,12,0.10000004858796752,True
0.88625,1.225,True,12,0.0999999961583159,True
0.8935,1.225,True,12,0.10000004293966547,True
0.9007499999999999,1.225,True,12,0.10000000231961126,True
0.908,1.225,True,12,0.09999999224056189,True
0.91525,1.225,True,12,0.09999998607134619,True
0.9225,1.225,True,12,0.10000007077758966,True
0.92975,1.225,True,12,0.09999994099143428,True
0.937,1.225,True,12,0.09664824085669188,True
0.94425,1.225,True,12,0.0891911154114935,True
0.9515,1.225,True,12,0.08128885670214847,True
0.95875,1.225,True,12,0.07289749620944141,True
0.966,1.225,True,12,0.06398269330177853,True
0.97325,1.225,True,12,0.054542176275694354,True
0.9805,1.225,True,12,0.04466412870387437,True
0.98775,1.225,True,12,0.034671381684375446,True
0.995,1.225,True,12,0.02541799878586226,True
0.85,1.7125,True,12,0.10000003357786047,True
0.85725,1.7125,True,12,0.10000001962614236,True
0.8644999999999999,1.7125,True,12,0.10000001595220342,True
0.87175,1.7125,True,12,0.1000000193438988,True
0.879,1.7125,True,12,0.10000004398009876,True
0.88625,1.7125,True,12,0.09999999911982294,True
0.8935,1.7125,True,12,0.10000000741769033,True
0.9007499999999999,1.7125,True,12,0.10000006550164109,True
0.908,1.7125,True,12,0.1000001581247123,True
0.91525,1.7125,True,12,0.10000018419939538,True
0.9225,1.7125,True,12,0.10000084782210616,True
0.92975,1.7125,True,12,0.09519321521787438,True
0.937,1.7125,True,12,0.08917473779334628,True
0.94425,1.7125,True,12,0.0827550452276603,True
0.9515,1.7125,True,12,0.0758840445754726,True
0.95875,1.7125,True,12,0.06850897035932313,True
0.966,1.7125,True,12,0.06058075594457002,True
0.97325,1.7125,True,12,0.05207413190641219,True
0.9805,1.7125,True,12,0.0430417859574983,True
0.98775,1.7125,True,12,0.033754240087676024,True
0.995,1.7125,True,12,0.025002537347488474,True
0.85,2.2,True,12,0.10000000790534791,True
0.85725,2.2,True,12,0.10000004015975117,True
0.8644999999999999,2.2,True,12,0.10000001045150475,True
0.87175,2.2,True,12,0.10000006698955766,True
0.879,2.2,True,12,0.10000003191054718,True
0.88625,2.2,True,12,0.09999989804029263,True
0.8935,2.2,True,12,0.10000001957891358,True
0.9007499999999999,2.2,True,12,0.09999990107353662,True
0.908,2.2,True,12,0.10000054952791337,True
0.91525,2.2,True,12,0.09772636032674364,True
0.9225,2.2,True,12,0.09313555648725547,True
0.92975,2.2,True,12,0.08824198059709332,True
0.937,2.2,True,12,0.08300552432132435,True
0.94425,2.2,True,12,0.07738029221263931,True
0.9515,2.2,True,12,0.07131315247480219,True
0.95875,2.2,True,12,0.06474512183323122,True
0.966,2.2,True,12,0.057616694854289885,True
0.97325,2.2,True,12,0.04988499428650983,True
0.9805,2.2,True,12,0.04157303762108755,True
0.98775,2.2,True,12,0.03290447822476983,True
0.995,2.2,True,12,0.02460793889862689,True
0.85,2.6875,True,12,0.10000002582082856,True
0.85725,2.6875,True,12,0.1000000614691654,True
0.8644999999999999,2.6875,True,12,0.10000003803523949,True
0.87175,2.6875,True,12,0.10000008072136479,True
0.879,2.6875,True,12,0.09999997897652857,True
0.88625,2.6875,True,12,0.09999998070704896,True
0.8935,2.6875,True,12,0.10000014785513278,True
0.9007499999999999,2.6875,True,12,0.09803272847794686,True
0.908,2.6875,True,12,0.09449619764196748,True
0.91525,2.6875,True,12,0.09073515769015728,True
0.9225,2.6875,True,12,0.08672153693457418,True
0.92975,2.6875,True,12,0.08242221699088292,True
0.937,2.6875,True,12,0.07779790522875207,True
0.94425,2.6875,True,12,0.07280209097841717,True
0.9515,2.6875,True,12,0.06738009979692483,True
0.95875,2.6875,True,12,0.06146927293650839,True
0.966,2.6875,True,12,0.05500301640239713,True
0.97325,2.6875,True,12,0.04792507662553125,True
0.9805,2.6875,True,12,0.04023454770061319,True
0.98775,2.6875,True,12,0.03211393946072061,True
0.995,2.6875,True,12,0.02423246597565154,True
0.85,3.175,True,12,0.10000005982777171,True
0.85725,3.175,True,12,0.09999992917668721,True
0.8644999999999999,3.175,True,12,0.10000006544959161,True
0.87175,3.175,True,12,0.09999976123374743,True
0.879,3.175,True,12,0.09956508780511697,True
0.88625,3.175,True,12,0.09695331309205735,True
0.8935,3.175,True,12,0.09419468790523033,True
0.9007499999999999,3.175,True,12,0.09126906258738299,True
0.908,3.175,True,12,0.08815749226280356,True
0.91525,3.175,True,12,0.08483717110444822,True
0.9225,3.175,True,12,0.08128071164346462,True
0.92975,3.175,True,12,0.07745618929708387,True
0.937,3.175,True,12,0.07332486436087471,True
0.94425,3.175,True,12,0.06884066409334955,True
0.9515,3.175,True,12,0.0639484487349482,True
0.95875,3.175,True,12,0.0585836742137652,True
0.966,3.175,True,12,0.052675057633843836,True
0.97325,3.175,True,12,0.04615648607367684,True
