param,value,n_stable
beta,0.8,11
beta,0.81,11
beta,0.8200000000000001,11
beta,0.8300000000000001,11
beta,0.8400000000000001,11
beta,0.85,11
beta,0.86,11
beta,0.87,11
beta,0.88,11
beta,0.89,11
beta,0.9,11
beta,0.91,11
beta,0.92,11
beta,0.9299999999999999,11
beta,0.94,11
beta,0.95,11
beta,0.96,11
beta,0.97,11
beta,0.98,11
beta,0.99,11
omega,1.2,11
omega,1.3210526315789473,11
omega,1.4421052631578948,11
omega,1.563157894736842,11
omega,1.6842105263157894,11
omega,1.8052631578947367,11
omega,1.926315789473684,11
omega,2.0473684210526315,11
omega,2.1684210526315786,11
omega,2.289473684210526,11
omega,2.4105263157894736,11
omega,2.5315789473684207,11
omega,2.6526315789473682,11
omega,2.7736842105263158,11
omega,2.894736842105263,11
omega,3.0157894736842104,11
omega,3.136842105263158,11
omega,3.257894736842105,11
omega,3.378947368421052,11
omega,3.5,11
psik,0.25,11
psik,0.7631578947368421,11
psik,1.2763157894736843,11
psik,1.7894736842105265,11
psik,2.3026315789473686,11
psik,2.8157894736842106,11
psik,3.328947368421053,11
psik,3.842105263157895,11
psik,4.355263157894737,11
psik,4.86842105263158,11
psik,5.381578947368421,11
psik,5.894736842105264,11
psik,6.407894736842106,11
psik,6.921052631578948,11
psik,7.43421052631579,11
psik,7.947368421052632,11
psik,8.460526315789474,11
psik,8.973684210526317,11
psik,9.48684210526316,11
psik,10.0,11
psin,0.25,11
psin,0.7631578947368421,11
psin,1.2763157894736843,11
psin,1.7894736842105265,11
psin,2.3026315789473686,11
psin,2.8157894736842106,11
psin,3.328947368421053,11
psin,3.842105263157895,11
psin,4.355263157894737,11
psin,4.86842105263158,11
psin,5.381578947368421,11
psin,5.894736842105264,11
psin,6.407894736842106,11
psin,6.921052631578948,11
psin,7.43421052631579,11
psin,7.947368421052632,11
psin,8.460526315789474,11
psin,8.973684210526317,11
psin,9.48684210526316,11
psin,10.0,11
