state,mfg,mfg_series_id,mining,mining_series_id,construction,construction_series_id,trade_transport,trade_transport_series_id,information,information_series_id,financial,financial_series_id,prof_business,prof_business_series_id,education_health,education_health_series_id,leisure_hosp,leisure_hosp_series_id,other_services,other_services_series_id,government,government_series_id,share_sum
AK,0.06095472883154199,AKMFG,0.05764194003288877,AKNRMN,0.04143385208079797,AKCONS,0.19923286899791068,AKTRAD,0.02317220061405794,AKINFO,0.035814916015697584,AKFIRE,0.08395145373869164,AKPBSV,0.07526693221351526,AKEDUH,0.08749015079451541,AKLEIH,0.03885007355899581,AKSRVO,0.29619088312138664,AKGOVT,0.9999999999999998
AL,0.21793499141292,ALMFGN,0.011343947620486792,ALNRMNN,0.050065258589635356,ALCONS,0.19365682569863432,ALTRAD,0.017837618197951696,ALINFO,0.04821631460395512,ALFIRE,0.07263885766470723,ALPBSV,0.08322063369741636,ALEDUH,0.06532034079077384,ALLEIH,0.03788318359540195,ALSRVO,0.20187055210227933,ALGOVT,0.9999885239741622
AR,0.23715370638209712,ARMFG,0.007820680542814271,ARNRMN,0.04035692178897607,ARCONS,0.2115571031651761,ARTRAD,0.019570707365435785,ARINFO,0.04304836071442844,ARFIRE,0.062206571166352996,ARPBSV,0.10191934602883534,AREDUH,0.07073733779737093,ARLEIH,0.03679521436197783,ARSRVO,0.16883405068653515,ARGOVT,1.0
AZ,0.11675882648106908,AZMFG,0.00870098755331695,AZNRMN,0.055202076837419595,AZCONS,0.2071468819119512,AZTRAD,0.021484470566092335,AZINFO,0.06570789564773186,AZFIRE,0.09768777831602962,AZPBSV,0.09362430981915126,AZEDUH,0.1074770624734403,AZLEIH,0.038792627947908886,AZSRVO,0.1874170824458889,AZGOVT,1.0
CA,0.1547296991327226,CAMFG,0.002605113213108838,CANRMN,0.048408068660001094,CACONS,0.190860002894139,CATRAD,0.03173047466869092,CAINFON,0.06530473194048034,CAFIRE,0.12155559064587187,CAPBSV,0.0949998594704598,CAEDUH,0.08936739027246322,CALEIH,0.03345495349312115,CASRVO,0.1669859274562604,CAGOVT,1.0000018118473193
CO,0.10935741336311132,COMFG,0.010568692855916322,CONRMN,0.042498418033692184,COCONS,0.1989877940538675,COTRAD,0.03330570259483179,COINFO,0.06824422220382786,COFIRE,0.12109204816465488,COPBSV,0.08666178703680577,COEDUH,0.10969630350919496,COLEIH,0.03683915808912264,COSRVO,0.18274846009497442,COGOVT,0.9999999999999996
CT,0.18271013423846522,CTMFG,0.0005446814675706951,CTNRMNN,0.0357296574960736,CTCONS,0.18989862982043273,CTTRAD,0.025826378579490526,CTINFO,0.09476592804075598,CTFIRE,0.10719066882333456,CTPBSV,0.12768395260514892,CTEDUH,0.06551602943873114,CTLEIH,0.0338648487909972,CTSRVO,0.13626412208128122,CTGOVT,0.9999950313822819
DC,0.009892089467446052,DCMFGN,,,,,0.06408287816621794,DCTRADN,0.03750230763586826,DCINFO,0.043349314965092284,DCFIREN,0.16015856965371889,DCPBSV,0.11367846188286172,DCEDUHN,0.06777668422030023,DCLEIH,0.07509570653728759,DCSRVO,0.41051712575691124,DCGOVT,0.9820531382857042
DE,0.13324034047557626,DEMFG,,,,,0.19265528108700236,DETRAD,0.01358111414117116,DEINFO,0.1065547678762936,DEFIRE,0.14392703362266146,DEPBSV,0.09729933362447052,DEEDUH,0.08206341671667489,DELEIH,0.03241032198605926,DESRVO,0.1391813040044917,DEGOVT,0.9409129135344012
FL,0.09239583312942287,FLMFG,,,0.06813130367747278,FLCONS,0.22497741783326128,FLTRAD,0.02433709101140926,FLINFO,0.06971272421755245,FLFIRE,0.0702502597856443,FLPBSV,0.11428229281995353,FLEDUH,0.1306526148406581,FLLEIH,0.043593328469424285,FLSRVO,0.1596397150781807,FLGOVT,0.9979725808629798
