state,county_fips,county_name,district,assignment
CT,09001,Fairfield County,New York,listed
CT,09003,Hartford County,Boston,complement
CT,09005,Litchfield County,Boston,complement
CT,09007,Middlesex County,Boston,complement
CT,09009,New Haven County,Boston,complement
CT,09011,New London County,Boston,complement
CT,09013,Tolland County,Boston,complement
CT,09015,Windham County,Boston,complement
IL,17001,Adams County,St. Louis,listed
IL,17003,Alexander County,St. Louis,listed
IL,17005,Bond County,St. Louis,listed
IL,17007,Boone County,Chicago,complement
IL,17009,Brown County,St. Louis,listed
IL,17011,Bureau County,Chicago,complement
IL,17013,Calhoun County,St. Louis,listed
IL,17015,Carroll County,Chicago,complement
IL,17017,Cass County,Chicago,complement
IL,17019,Champaign County,Chicago,complement
IL,17021,Christian County,Chicago,complement
IL,17023,Clark County,Chicago,complement
IL,17025,Clay County,St. Louis,listed
IL,17027,Clinton County,St. Louis,listed
IL,17029,Coles County,Chicago,complement
IL,17031,Cook County,Chicago,complement
IL,17033,Crawford County,St. Louis,listed
IL,17035,Cumberland County,Chicago,complement
IL,17037,DeKalb County,Chicago,complement
IL,17039,De Witt County,Chicago,complement
IL,17041,Douglas County,Chicago,complement
IL,17043,DuPage County,Chicago,complement
IL,17045,Edgar County,Chicago,complement
IL,17047,Edwards County,St. Louis,listed
IL,17049,Effingham County,St. Louis,listed
IL,17051,Fayette County,St. Louis,listed
IL,17053,Ford County,Chicago,complement
IL,17055,Franklin County,St. Louis,listed
IL,17057,Fulton County,Chicago,complement
IL,17059,Gallatin County,St. Louis,listed
IL,17061,Greene County,St. Louis,listed
IL,17063,Grundy County,Chicago,complement
IL,17065,Hamilton County,St. Louis,listed
IL,17067,Hancock County,Chicago,complement
IL,17069,Hardin County,St. Louis,listed
IL,17071,Henderson County,Chicago,complement
IL,17073,Henry County,Chicago,complement
IL,17075,Iroquois County,Chicago,complement
IL,17077,Jackson County,St. Louis,listed
IL,17079,Jasper County,St. Louis,listed
IL,17081,Jefferson County,St. Louis,listed
IL,17083,Jersey County,St. Louis,listed
IL,17085,Jo Daviess County,Chicago,complement
IL,17087,Johnson County,St. Louis,listed
IL,17089,Kane County,Chicago,complement
IL,17091,Kankakee County,Chicago,complement
IL,17093,Kendall County,Chicago,complement
IL,17095,Knox County,Chicago,complement
IL,17097,Lake County,Chicago,complement
IL,17099,LaSalle County,Chicago,complement
IL,17101,Lawrence County,St. Louis,listed
IL,17103,Lee County,Chicago,complement
IL,17105,Livingston County,Chicago,complement
IL,17107,Logan County,Chicago,complement
IL,17109,McDonough County,Chicago,complement
IL,17111,McHenry County,Chicago,complement
IL,17113,McLean County,Chicago,complement
IL,17115,Macon County,Chicago,complement
IL,17117,Macoupin County,St. Louis,listed
IL,17119,Madison County,St. Louis,listed
IL,17121,Marion County,St. Louis,listed
IL,17123,Marshall County,Chicago,complement
IL,17125,Mason County,Chicago,complement
IL,17127,Massac County,St. Louis,listed
IL,17129,Menard County,Chicago,complement
IL,17131,Mercer County,Chicago,complement
IL,17133,Monroe County,St. Louis,listed
IL,17135,Montgomery County,St. Louis,listed
IL,17137,Morgan County,St. Louis,listed
IL,17139,Moultrie County,Chicago,complement
IL,17141,Ogle County,Chicago,complement
IL,17143,Peoria County,Chicago,complement
IL,17145,Perry County,St. Louis,listed
IL,17147,Piatt County,Chicago,complement
IL,17149,Pike County,St. Louis,listed
IL,17151,Pope County,St. Louis,listed
IL,17153,Pulaski County,St. Louis,listed
IL,17155,Putnam County,Chicago,complement
IL,17157,Randolph County,St. Louis,listed
IL,17159,Richland County,St. Louis,listed
IL,17161,Rock Island County,Chicago,complement
IL,17163,St. Clair County,St. Louis,listed
IL,17165,Saline County,St. Louis,listed
IL,17167,Sangamon County,Chicago,complement
IL,17169,Schuyler County,Chicago,complement
IL,17171,Scott County,St. Louis,listed
IL,17173,Shelby County,Chicago,complement
IL,17175,Stark County,Chicago,complement
IL,17177,Stephenson County,Chicago,complement
IL,17179,Tazewell County,Chicago,complement
IL,17181,Union County,St. Louis,listed
IL,17183,Vermilion County,Chicago,complement
IL,17185,Wabash County,St. Louis,listed
IL,17187,Warren County,Chicago,complement
IL,17189,Washington County,St. Louis,listed
