state,district,mfg_share_9091,mfg_series_id,mining_share_9091,mining_series_id,mfg_z,mining_z
AK,San Francisco,0.06095472883154199,AKMFG,0.05764194003288877,AKNRMN,-1.475822128447075,2.7128043368504593
AL,Atlanta,0.21793499141292,ALMFGN,0.011343947620486792,ALNRMNN,1.1799741148669836,-0.0683602139802714
AR,St. Louis,0.23715370638209712,ARMFG,0.007820680542814271,ARNRMN,1.5051168441321026,-0.28000622688399657
AZ,San Francisco,0.11675882648106908,AZMFG,0.00870098755331695,AZNRMN,-0.5317269252535118,-0.2271253453621879
CA,San Francisco,0.1547296991327226,CAMFG,0.002605113213108838,CANRMN,0.11066530473362649,-0.5933103295897989
CO,Kansas City,0.10935741336311132,COMFG,0.010568692855916322,CONRMN,-0.6569442285670267,-0.11493050691825316
CT,Boston,0.18271013423846522,CTMFG,0.0005446814675706951,CTNRMNN,0.5840390475097401,-0.717082429231898
DC,Richmond,0.009892089467446052,DCMFGN,,,-2.3397012146893075,
DE,Philadelphia,0.13324034047557626,DEMFG,,,-0.25289223463086613,
FL,Atlanta,0.09239583312942287,FLMFG,,,-0.94390069254891,
GA,Atlanta,0.16971512209328093,GAMFG,0.005130731517762208,GANRMNN,0.36418908758812246,-0.4415940297713735
HI,San Francisco,0.03792336202166541,HIMFG,,,-1.8654674026123526,
IA,Chicago,0.17679283334134935,IAMFG,0.0016093406977622166,IANRMN,0.4839299940867179,-0.653127334087638
ID,San Francisco,0.1380277751962023,IDMFG,0.01601132717047032,IDNRMN,-0.17189828713024452,0.2120137260830409
IL,Chicago,0.1706640440340072,ILMFG,0.003452946906354803,ILNRMNN,0.3802429741337171,-0.5423801511999484
IN,Chicago,0.23704670398575056,INMFG,0.0032252288505140885,INNRMNN,1.5033065747544763,-0.5560593919507556
KS,Kansas City,0.1605621149388683,KSMFG,0.008372307421695787,KSNRMN,0.20933826993762744,-0.24686947427569758
KY,St. Louis,0.18460799507247314,KYMFG,0.022512189969554897,KYNRMN,0.6161471074047109,0.6025267532048201
LA,Atlanta,0.11088451971364849,LAMFG,0.03503757337298363,LANRMNN,-0.6311086028507352,1.3549384776027915
MA,Boston,0.1595072332201214,MAMFG,0.0004840283495768577,MANRMN,0.19149175305888044,-0.7207259198644773
MD,Richmond,0.09036282663167984,MDMFG,,,-0.9782951503651597,
ME,Boston,0.17226968858990982,MEMFG,0.0061599629751753655,MENRMN,0.4074073112901368,-0.3797671147194252
MI,Chicago,0.2060592255987761,MIMFG,0.0028831741070666425,MINRMN,0.9790595940409602,-0.5766069465497906
MN,Minneapolis,0.1591345503431016,MNMFG,0.003947288184912233,MNNRMN,0.18518669426702386,-0.5126845992267709
MO,St. Louis,0.16464852231673127,MOMFG,0.0023417561204434646,MONRMNN,0.2784722182717587,-0.6091304412656257
MS,Atlanta,0.24523062052070882,MSMFG,0.010874181514486271,MSNRMNN,1.6417622916180576,-0.09657951190474176
MT,Minneapolis,0.06430646373781532,MTMFG,0.025521927433888494,MTNRMN,-1.419117388460729,0.783324552568352
NC,Richmond,0.2610398753955286,NCMFG,0.002490903339149783,NCNRMNN,1.9092236846347457,-0.60017102562129
ND,Minneapolis,0.05890547978000209,NDMFG,0.013398757309391983,NDNRMN,-1.5104913782189897,0.055074163359075376
NE,Kansas City,0.13189715822070286,NEMFG,,,-0.275616227621575,
NH,Boston,0.1930928309119604,NHMFG,0.00190986494128871,NHNRMNN,0.7596937850385643,-0.6350745562195158
NJ,New York,0.14294749691107939,NJMFG,0.0007699615824359983,NJNRMNN,-0.08866630475444795,-0.7035496379201386
NM,Kansas City,0.06494717545458764,NMMFG,0.02595555876940685,NMNRMN,-1.4082778106534928,0.8093732003742984
NV,San Francisco,0.03907932222915819,NVMFG,0.02107702650331853,NVNRMN,-1.8459108371817883,0.5163151153136977
NY,New York,0.11749197521093357,NYMFG,0.0007792158921025897,NYNRMN,-0.5193234956086212,-0.702993722714186
OH,Cleveland,0.21422396193449333,OHMFG,0.003519443034100949,OHNRMN,1.1171908197853864,-0.5383856654000511
OK,Kansas City,0.13268315569019024,OKMFG,0.030979370488174375,OKNRMN,-0.262318701598921,1.1111583606859474
OR,San Francisco,0.15958898249846368,ORMFG,0.009772348255112206,ORNRMN,0.19287478951674422,-0.1627676864286239
PA,Philadelphia,0.18171863377635467,PAMFG,0.005165997336876935,PANRMN,0.5672648164107681,-0.4394755783900645
RI,Boston,0.20634021081800757,RIMFG,0.00042401441154691467,RINRMNN,0.9838133094277903,-0.724331014347147
SC,Richmond,0.2253745489002034,SCMFG,0.0038249218534160247,SCNRMNN,1.3058367456318147,-0.520035261439962
SD,Minneapolis,0.11567476447009531,SDMFG,0.0044443982421705905,SDNRMN,-0.550067115089614,-0.4828227240769095
TN,Atlanta,0.22431462929049578,TNMFG,0.0028201775634604056,TNNRMNN,1.2879049975802588,-0.5803912089934381
TX,Dallas,0.13108421534576897,TXMFG,0.023331922867523107,TXNRMN,-0.28936961672779543,0.651768890027328
UT,San Francisco,0.14047248748699181,UTMFG,0.010796679933735592,UTNRMN,-0.13053857979444655,-0.1012351057606731
VA,Richmond,0.13339035720880543,VAMFG,0.005605401906602715,VANRMN,-0.2503542475617099,-0.4130801269003145
VT,Boston,0.16338208104486546,VTMFG,0.0044526545890531295,VTNRMNN,0.2570465312656898,-0.48232675744698433
WA,San Francisco,0.15357587487099966,WAMFG,0.005583709828526898,WANRMN,0.09114487529021231,-0.4143831907144196
WI,Chicago,0.2260342512358723,WIMFG,0.001632854134324797,WINRMN,1.3169976072329144,-0.6517148595325094
WV,Richmond,0.1320094820170653,WVMFG,0.05459413595081217,WVNRMN,-0.2737159306574295,2.5297198394613667
WY,Kansas City,0.04546979541212037,WYMFG,0.08156791842677888,WYNRMN,-1.7377966424847824,4.150060673157697
