h,beta,se,t,lo,hi,district,n_quarters
0,0.25521003792920727,0.1315478402276318,1.9400549449355389,0.03883309581315436,0.4715869800452602,Atlanta,200
1,0.3403362397144947,0.11995601481268445,2.8371752783379955,0.1430261536752062,0.5376463257537832,Atlanta,200
2,0.3500630134901989,0.10425084577268436,3.3578913523013534,0.17858563170824052,0.5215403952721573,Atlanta,200
3,0.32425111701105885,0.12048981888508846,2.6911080123732134,0.12606300140719515,0.5224392326149225,Atlanta,200
4,0.365447840575812,0.11951046361271316,3.057873173014256,0.16887062104378883,0.5620250601078352,Atlanta,200
5,0.37539052231121,0.1128613498503915,3.3261211460683926,0.18975012166715458,0.5610309229552655,Atlanta,200
6,0.3690314960827631,0.1001415235432466,3.6850996771922993,0.2043133478742077,0.5337496442913184,Atlanta,200
7,0.281124445961894,0.0984927315158129,2.854265910137336,0.11911831929975161,0.44313057262403643,Atlanta,200
8,0.22418135689798666,0.09783553930677515,2.2914102430103536,0.06325621522448427,0.38510649857148904,Atlanta,200
9,0.20561331202304636,0.09218321128999123,2.2304854554938984,0.05398542258867042,0.35724120145742233,Atlanta,200
10,0.18237546278430045,0.09792370410442452,1.862424062204772,0.021305302923615016,0.3434456226449859,Atlanta,200
11,0.18947855034641914,0.10351665910491985,1.8304160121161963,0.019208798167792612,0.35974830252504564,Atlanta,200
12,0.1732727660252221,0.11062566875665042,1.5662980208181165,-0.008690266463086488,0.3552357985135307,Atlanta,200
0,0.12353873109340367,0.08375023884240086,1.4750851197675485,-0.014218153024571425,0.2612956152113788,Boston,200
1,0.10702489933843937,0.0726459667659806,1.473239384138227,-0.01246708257997993,0.22651688125685865,Boston,200
2,0.04565671718839459,0.06858596465671091,0.6656860104967152,-0.06715715553516181,0.158470589911951,Boston,200
3,0.06105627729043656,0.06831306067309273,0.893771654919943,-0.05130870832585598,0.1734212629067291,Boston,200
4,0.09243603057877933,0.08001058677907597,1.155297496242745,-0.039169673279299266,0.22404173443685793,Boston,200
5,0.0868568668678298,0.09572457520069308,0.9073622597512548,-0.07059604783941915,0.24430978157507877,Boston,200
6,0.04918688347328133,0.09527576232504446,0.5162580941150017,-0.10752779974763448,0.20590156669419712,Boston,200
7,0.046358458974695566,0.11066594967873271,0.41890445172409274,-0.135670829734397,0.22838774768378814,Boston,200
8,-0.02902945322962695,0.10726939773078856,-0.27062194664764944,-0.2054719111480145,0.14741300468876062,Boston,200
9,-0.040068896432936506,0.10882624151077701,-0.3681914938592132,-0.2190721344894349,0.13893434162356189,Boston,200
10,-0.08583852300729093,0.1311363696179159,-0.6545744956749485,-0.3015386561985687,0.12986161018398684,Boston,200
11,-0.07449996817268718,0.12371249292738495,-0.6022024648425454,-0.27798891086350463,0.1289889745181303,Boston,200
12,-0.03436097672267112,0.1128660882827217,-0.30444021978151015,-0.22000917139433096,0.1512872179489887,Boston,200
0,0.21009412396179833,0.11956354258065699,1.7571754686013075,0.01342959729683793,0.40675865062675876,Chicago,200
1,0.18086056471123094,0.08722376147033935,2.073524022152301,0.0373902443003932,0.32433088512206865,Chicago,200
2,0.1847272355202831,0.09736950472705055,1.8971775201909127,0.024568652515525508,0.34488581852504074,Chicago,200
3,0.20198626409472248,0.13125429071202016,1.5388926563771734,-0.013907832035886775,0.4178803602253317,Chicago,200
4,0.21213057818898717,0.1483521579452349,1.4299123189518852,-0.031887006873310086,0.45614816325128443,Chicago,200
5,0.24499259531373224,0.13124240492018283,1.8667182719085986,0.029118049570935806,0.4608671410565287,Chicago,200
6,0.2690172415889914,0.13232428426394668,2.0330149003669185,0.051363162683681074,0.4866713204943017,Chicago,200
7,0.2529910443785334,0.13696420219555452,1.8471326107337032,0.027704979634660815,0.47827710912240606,Chicago,200
8,0.15555956656680758,0.13281620648704773,1.1712393440628632,-0.06290365239134849,0.37402278552496365,Chicago,200
9,0.11451566356339501,0.12768923714379557,0.8968309790623519,-0.09551444127524375,0.32454576840203375,Chicago,200
10,0.054080805458715284,0.13237804550151472,0.40853304076087504,-0.1636617028131982,0.27182331373062874,Chicago,200
11,0.09141452938176095,0.14197180634919665,0.6438921341672301,-0.14210831121656717,0.32493736998008904,Chicago,200
12,-0.013841848181624906,0.12853326313964686,-0.10769078636544244,-0.22526025224078097,0.19757655587753117,Chicago,200
0,0.11060027776633444,0.08610916132607942,1.2844194051259157,-0.03103668855461672,0.2522372440872856,Cleveland,200
1,0.11588061467987992,0.08029924437506551,1.443109652920509,-0.016199888671909163,0.247961118031669,Cleveland,200
2,0.11357552457180364,0.09072184279487851,1.2519093646344592,-0.03564862759307352,0.2627996767366808,Cleveland,200
3,0.09270155823302101,0.10436554522619579,0.8882391025898927,-0.07896448736105502,0.264367603827097,Cleveland,200
4,0.14202994214825682,0.13495752184852813,1.052404787838847,-0.0799554271486772,0.36401531144519084,Cleveland,200
5,0.09655807249348725,0.12479827762138888,0.773713182055474,-0.10871682708935099,0.3018329720763255,Cleveland,200
6,0.027047100292292278,0.1111885700139857,0.24325432271401815,-0.15584182237075977,0.20993602295534436,Cleveland,200
7,-0.005726139476802765,0.11271000994864594,-0.05080417861210167,-0.19111760813456952,0.179665329180964,Cleveland,200
8,0.033188862213158414,0.12244582372214804,0.2710493604785575,-0.16821659504127737,0.2345943194675942,Cleveland,200
9,0.054252954617157484,0.13457390507685038,0.40314617151204424,-0.16710142124152297,0.27560733047583796,Cleveland,200
10,-0.0007715458225380354,0.14723457494400283,-0.0052402489213656134,-0.24295087043183938,0.24140777878676334,Cleveland,200
11,-0.01009328540801701,0.15493546863294824,-0.06514509232181451,-0.26493945293234794,0.2447528821163139,Cleveland,200
12,-0.022535026985358877,0.1663171400866487,-0.13549431509956503,-0.29610237808107903,0.2510323241103613,Cleveland,200
0,0.08174682312964208,0.05271581897385091,1.5507076380657518,-0.004962982907213809,0.16845662916649798,Dallas,200
1,0.12558968035571577,0.07861097512617288,1.5976100048897843,-0.003713867198761628,0.2548932279101932,Dallas,200
2,0.09781393022007893,0.09779775625950402,1.000165381714198,-0.06304906387108226,0.2586769243112401,Dallas,200
3,0.05634045078137075,0.1416041345241692,0.3978729220773881,-0.1765776234820331,0.2892585250447746,Dallas,200
4,0.06252195613494468,0.13579690923759932,0.4604077993082457,-0.16084408255332042,0.2858879948232098,Dallas,200
5,0.10676313844499866,0.12177815467465435,0.8767018906652824,-0.09354410095506391,0.3070703778450612,Dallas,200
6,0.04080249429452137,0.11549355534427833,0.3532880615969605,-0.1491674991030354,0.23077248769207814,Dallas,200
7,-0.00908478998482846,0.11246339944013072,-0.08077996957280932,-0.1940706204532196,0.1759010404835627,Dallas,200
8,-0.07312864841985255,0.105630544501408,-0.6923058928175626,-0.24687543265985235,0.10061813582014727,Dallas,200
9,-0.03987878376495314,0.10581486195123734,-0.3768731823638392,-0.21392874323081518,0.13417117570090892,Dallas,200
10,-0.04923485175819386,0.10317155366814003,-0.47721343730619675,-0.21893695600745244,0.12046725249106471,Dallas,200
11,-0.09561034939705479,0.11133713965607486,-0.8587462341173773,-0.2787436473747521,0.0875229485806425,Dallas,200
12,-0.1289837859875334,0.1276791451396512,-1.0102181201671991,-0.33899729095655207,0.08102971898148528,Dallas,200
0,0.13245133453812283,0.11869354463029193,1.115910178187734,-0.06278217284273926,0.32768484191898495,Kansas City,200
1,-0.009774848423731913,0.05908428633917129,-0.16543905375482978,-0.10695985110455711,0.08741015425709328,Kansas City,200
2,0.022884252506155583,0.049863874710230426,0.4589345019644149,-0.05913452266482071,0.10490302767713187,Kansas City,200
3,-0.0007815304892703545,0.05279448046056335,-0.014803261296493779,-0.0876207231578466,0.0860576621793059,Kansas City,200
4,-0.037778135661876454,0.05644178004642455,-0.6693292740023994,-0.1306166022828351,0.055060330959082186,Kansas City,200
5,-0.08500272110256299,0.06232965290937645,-1.3637605398854349,-0.1875258767571772,0.017520434552051226,Kansas City,200
6,-0.08182024795777862,0.06478651341347196,-1.262920994614978,-0.18838457952346815,0.024744083607910916,Kansas City,200
