beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,spec,h
0.010499556376738255,0.007100898817252098,-0.0011803827974342755,0.022179495550910786,0.5187989270411595,0.673,6732,51,12,urate_mfg,0
0.003302947756053918,0.01851976118949573,-0.02715934860676324,0.03376524411887108,0.30167178370606323,0.738,6681,51,12,urate_mfg,1
0.01731771128679505,0.014515468289427284,-0.006558109375968499,0.0411935319495586,2.428149497131041,0.166,6630,51,12,urate_mfg,2
0.023138952487961113,0.015514775412424619,-0.0023805821205030407,0.04865848709642527,3.013366760002153,0.137,6579,51,12,urate_mfg,3
0.023913980986895712,0.015491464777475388,-0.0015672110391256565,0.049395173012917085,4.21879628037039,0.092,6528,51,12,urate_mfg,4
0.029606521493667992,0.016538785570127303,0.002402640063271431,0.05681040292406456,3.99490694047603,0.139,6477,51,12,urate_mfg,5
0.02155712017338351,0.015267018239094533,-0.003554890149925407,0.046669130496692426,3.2364406561961734,0.159,6426,51,12,urate_mfg,6
0.019174634844904413,0.014474220975460247,-0.0046333400238784475,0.042982609713687274,2.2015411294248,0.184,6375,51,12,urate_mfg,7
0.025833609393867932,0.013307200629367504,0.003945212174081881,0.047722006613653986,3.3528994609151446,0.172,6324,51,12,urate_mfg,8
0.041524424778504494,0.019265748267865715,0.009835088864171532,0.07321376069283746,4.614577173773453,0.158,6273,51,12,urate_mfg,9
0.029199497335666378,0.012181678914596495,0.009162418590634061,0.049236576080698695,5.3716655426195725,0.102,6222,51,12,urate_mfg,10
0.027914783561025468,0.011096936449670145,0.009661947393735538,0.0461676197283154,5.752920931830566,0.087,6171,51,12,urate_mfg,11
0.02594555440727133,0.011880896861661789,0.006403218112930577,0.045487890701612084,5.791837808792244,0.082,6120,51,12,urate_mfg,12
0.026083627559795722,0.029535021769039896,-0.022497160119100232,0.07466441523869168,0.8890086964180017,0.649,6732,51,12,emp_mfg,0
0.027838422670510076,0.042831822114998176,-0.04261365528428494,0.0982905006253051,0.8466327441889362,0.559,6681,51,12,emp_mfg,1
0.02262515651029224,0.03971664175486752,-0.042702905730533876,0.08795321875111836,1.1159382617902769,0.485,6630,51,12,emp_mfg,2
0.0014419861012163603,0.04037802773294262,-0.06497395926446142,0.06785793146689414,0.0585815344990765,0.97,6579,51,12,emp_mfg,3
-0.027911709846769505,0.03464750315331626,-0.08490178107331431,0.029078361379775302,-1.1949089935727166,0.557,6528,51,12,emp_mfg,4
-0.053851263739481486,0.031728720163115384,-0.10604036417831013,-0.0016621633006528441,-2.2636259320702115,0.24,6477,51,12,emp_mfg,5
-0.07336105699550162,0.0322136234420999,-0.1263477523514886,-0.020374361639514636,-2.526467072560857,0.188,6426,51,12,emp_mfg,6
-0.07211351823728396,0.03473080250064296,-0.12924060469740178,-0.014986431777166132,-2.8828479768292987,0.168,6375,51,12,emp_mfg,7
-0.07474787112753284,0.035714709707452344,-0.13349334092535478,-0.016002401329710904,-2.617364396029117,0.225,6324,51,12,emp_mfg,8
-0.08293065411044022,0.042976382518111055,-0.15362051276860902,-0.012240795452271414,-3.5491357583114094,0.199,6273,51,12,emp_mfg,9
-0.08361240806056632,0.04273898328838319,-0.15391177973468173,-0.013313036386450885,-3.578581259791441,0.178,6222,51,12,emp_mfg,10
-0.09804550667517242,0.04170971593415154,-0.16665188420857718,-0.02943912914176766,-3.4325371624181384,0.162,6171,51,12,emp_mfg,11
-0.11671392730643095,0.041294634458709734,-0.1846375565694749,-0.04879029804338701,-4.333873490486744,0.146,6120,51,12,emp_mfg,12
-0.03007982417073565,0.016291578466572424,-0.0568770861002418,-0.0032825622412294975,-5.484246965740712,0.058,5940,45,12,urate_mining,0
-0.02066118902876247,0.007382418654604739,-0.03280418712846328,-0.00851819092906166,-2.522630997067149,0.035,5895,45,12,urate_mining,1
-0.03269353521156427,0.009114499576300925,-0.0476855528974905,-0.01770151752563804,-4.821828305343429,0.031,5850,45,12,urate_mining,2
-0.0336667473033929,0.008930432624192764,-0.048356001795542114,-0.01897749281124368,-5.506348729317273,0.023,5805,45,12,urate_mining,3
-0.03457261700006726,0.009334155502190017,-0.049925936532373545,-0.019219297467760972,-6.949668263210679,0.024,5760,45,12,urate_mining,4
-0.03181645050790869,0.009562935301945906,-0.04754607932361668,-0.016086821692200697,-6.348251638252832,0.007,5715,45,12,urate_mining,5
-0.035101143456819285,0.009534720711320093,-0.05078436340080346,-0.01941792351283511,-6.431586671212054,0.007,5670,45,12,urate_mining,6
-0.032799822296126865,0.00916036123849057,-0.047867275703443755,-0.017732368888809975,-7.7595265980217345,0.033,5625,45,12,urate_mining,7
-0.03808843144574645,0.009717015524083958,-0.054071499673679704,-0.022105363217813197,-14.233106924292196,0.052,5580,45,12,urate_mining,8
-0.03712950432522192,0.00990369754738291,-0.0534196371562651,-0.020839371494178742,-18.73864214047781,0.043,5535,45,12,urate_mining,9
-0.03461070098028369,0.010290487200430411,-0.05153704617500935,-0.017684355785558027,-5.49898426366475,0.103,5490,45,12,urate_mining,10
-0.03319301834297079,0.01132814999110337,-0.051826166942487456,-0.014559869743454124,-4.411698755076996,0.103,5445,45,12,urate_mining,11
-0.03528813972716273,0.01306454580807979,-0.05677740528405642,-0.013798874170269038,-6.209808612569222,0.07,5400,45,12,urate_mining,12
0.012837803849085514,0.009137440604452615,-0.0021919484702020205,0.027867556168373046,1.1361983742958683,0.67,2907,51,12,mls_mfg,0
-0.01937526570641189,0.009370170227762025,-0.03478782419069896,-0.003962707222124823,-4.369798670067741,0.052,2856,51,12,mls_mfg,1
-0.006844268898066902,0.00940489202397753,-0.02231393965479331,0.00862540185865951,-0.9499114673602207,0.324,2805,51,12,mls_mfg,2
0.012115125918649251,0.012408346315111356,-0.008294787522231596,0.0325250393595301,2.475585740578141,0.29,2754,51,12,mls_mfg,3
-0.010581195294845847,0.012440784732753916,-0.031044465184638624,0.00988207459494693,-1.6739885784949755,0.134,2703,51,12,mls_mfg,4
-0.011636312356738468,0.014878081435252195,-0.036108578567592406,0.012835953854115466,-2.018352465729763,0.12,2652,51,12,mls_mfg,5
-0.0006870122612389895,0.007778746765351032,-0.013481912091363665,0.012107887568885686,-0.09817777482119427,0.941,2601,51,12,mls_mfg,6
0.01035909908887274,0.007284975247545913,-0.0016236188693048523,0.022341817047050336,1.5104701884387572,0.356,2550,51,12,mls_mfg,7
0.0032760383844784836,0.009779191528617823,-0.012809300270021652,0.019361377038978618,0.6387027983267763,0.548,2499,51,12,mls_mfg,8
-0.21957783407817405,0.046591049508587445,-0.2962132908458497,-0.14294237731049841,-3.005456976239446,0.269,408,17,8,warn_mfg_FRAGILE,0
-0.18067055236767002,0.04808905838649706,-0.2597700144713808,-0.10157109026395923,-2.1474881940080706,0.537,391,17,8,warn_mfg_FRAGILE,1
-0.07064588458800614,0.05593437559815453,-0.1626497451618965,0.02135797598588425,-1.7160821706376748,0.432,374,17,8,warn_mfg_FRAGILE,2
-0.056650633560959895,0.0650047642516491,-0.1635739558094103,0.050272688687490505,-1.2707684561480121,0.199,357,17,8,warn_mfg_FRAGILE,3
-0.06704879276178687,0.08858255041907565,-0.2127541221032151,0.07865653657964135,-1.3463408605490266,0.569,340,17,8,warn_mfg_FRAGILE,4
0.013865648631692226,0.08673526638646763,-0.12880116886869114,0.1565324661320756,0.8981686108821,0.413,323,17,8,warn_mfg_FRAGILE,5
0.054348254204818,0.04030077402597889,-0.011940620120765057,0.12063712853040107,1.1802046294503195,0.399,306,17,8,warn_mfg_FRAGILE,6
-0.1134723685970783,0.03620094830133083,-0.17301762970960505,-0.05392710748455155,-0.5351959591465331,0.9,289,17,8,warn_mfg_FRAGILE,7
-0.012838944006409787,0.11951089442399128,-0.20941687215992627,0.1837389841471067,-0.06401404480018164,0.983,272,17,8,warn_mfg_FRAGILE,8
