beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,spec,h
0.010499556376738233,0.0071008988172521,-0.0011803827974343015,0.02217949555091077,0.5187989270411586,0.673,6732,51,12,urate_full,0
0.0033029477560539036,0.01851976118949573,-0.027159348606763254,0.03376524411887106,0.301671783706062,0.736,6681,51,12,urate_full,1
0.01731771128679503,0.014515468289427277,-0.006558109375968506,0.04119353194955857,2.4281494971310384,0.166,6630,51,12,urate_full,2
0.02313895248796104,0.015514775412424641,-0.0023805821205031483,0.04865848709642523,3.0133667600021425,0.139,6579,51,12,urate_full,3
0.02391398098689568,0.015491464777475391,-0.0015672110391256946,0.04939517301291706,4.218796280370388,0.092,6528,51,12,urate_full,4
0.02960652149366796,0.0165387855701273,0.002402640063271403,0.056810402924064515,3.994906940476029,0.141,6477,51,12,urate_full,5
0.02155712017338347,0.015267018239094533,-0.0035548901499254486,0.046669130496692385,3.236440656196169,0.159,6426,51,12,urate_full,6
0.019174634844904344,0.014474220975460259,-0.004633340023878534,0.042982609713687225,2.2015411294247884,0.186,6375,51,12,urate_full,7
0.025833609393867862,0.013307200629367523,0.00394521217408178,0.047722006613653944,3.3528994609151246,0.172,6324,51,12,urate_full,8
0.04152442477850455,0.019265748267865753,0.009835088864171525,0.07321376069283758,4.614577173773458,0.158,6273,51,12,urate_full,9
0.029199497335666274,0.012181678914596497,0.009162418590633957,0.04923657608069859,5.371665542619527,0.102,6222,51,12,urate_full,10
0.027914783561025443,0.01109693644967015,0.009661947393735507,0.04616761972831538,5.75292093183057,0.087,6171,51,12,urate_full,11
0.02594555440727133,0.01188089686166178,0.006403218112930591,0.04548789070161207,5.791837808792253,0.082,6120,51,12,urate_full,12
0.006261910693755951,0.005719873855693356,-0.0031464445634861657,0.015670265950998068,0.909809373778503,0.34,6732,51,12,urate_unc,0
0.0026183403540450435,0.009180726222041642,-0.012482610470328637,0.017719291178418722,0.5593753820005184,0.592,6681,51,12,urate_unc,1
0.0116389928420098,0.010552840729439558,-0.005718885506450076,0.028996871190469675,3.588411829603694,0.092,6630,51,12,urate_unc,2
0.016315729792106944,0.012725769752958837,-0.0046162987417967365,0.03724775832601063,3.5964609865068287,0.059,6579,51,12,urate_unc,3
0.017429000491973417,0.01248424521200145,-0.003105755524738716,0.03796375650868555,6.294210711073879,0.009,6528,51,12,urate_unc,4
0.017930253474043704,0.013019705643738071,-0.0034852565758994106,0.03934576352398682,3.839261254694685,0.041,6477,51,12,urate_unc,5
0.012980026271580113,0.013264108768940464,-0.008837491145290434,0.03479754368845066,2.442726424429649,0.11,6426,51,12,urate_unc,6
0.02395825028907929,0.018859483199160625,-0.007062839053490415,0.05497933963164899,3.2258415966007106,0.069,6375,51,12,urate_unc,7
0.011450614960134982,0.014574842266631473,-0.012522867204379411,0.035424097124649376,1.2896967864281972,0.311,6324,51,12,urate_unc,8
0.006665867894073348,0.013495986474725913,-0.01553305440816758,0.02886479019631428,0.49448893222305773,0.557,6273,51,12,urate_unc,9
0.008871451081327735,0.014373352668294903,-0.014770610186569753,0.032513512349225226,0.7937388372396199,0.596,6222,51,12,urate_unc,10
0.013012633576284276,0.01606018478512739,-0.013404019617043354,0.03942928676961191,1.0373750541672346,0.497,6171,51,12,urate_unc,11
0.008660522209302706,0.016596778896838166,-0.018638749754873202,0.03595979417347861,0.9783103633947332,0.503,6120,51,12,urate_unc,12
0.011879599054256448,0.006118665758683661,0.0018152894889818475,0.02194390861953105,0.6059754068781293,0.597,6732,51,12,urate_sent,0
0.004667349922624469,0.017667802151194463,-0.024393598526028765,0.0337282983712777,0.38663296807444975,0.745,6681,51,12,urate_sent,1
0.01581100664481007,0.015189997478178334,-0.009174315800555277,0.040796329090175415,2.21906968579475,0.155,6630,51,12,urate_sent,2
0.02025621248959092,0.01575445541636182,-0.005657560642657083,0.046169985621838924,2.809955116395657,0.141,6579,51,12,urate_sent,3
0.022205460664387437,0.015258169743483345,-0.002891995178822354,0.04730291650759723,3.9719503397343954,0.102,6528,51,12,urate_sent,4
0.028016678348110648,0.016681099334934005,0.0005787116055066613,0.055454645090714634,3.761201750325108,0.135,6477,51,12,urate_sent,5
0.020994216128082437,0.015523116982396173,-0.004539039142003896,0.04652747139816877,3.270084403536015,0.159,6426,51,12,urate_sent,6
0.01609134851069933,0.013487366886972274,-0.006093395831362199,0.03827609285276086,1.927988772196943,0.199,6375,51,12,urate_sent,7
