beta,se_dk,lo_dk,hi_dk,p_wc,n_obs,n_clusters,spec,h,cluster
-0.0006493788692186241,0.013653475402869944,-0.02310734740612196,0.021808589667684713,0.976,6732,12,loo_alone_dist,0,district
-0.001153502777713622,0.020782554733967888,-0.03533776330919819,0.03303075775377094,0.976,6681,12,loo_alone_dist,1,district
0.00045664746485378174,0.02192525309733526,-0.03560718461412711,0.03652047954383468,0.954,6630,12,loo_alone_dist,2,district
0.008983316078524466,0.02099293943708901,-0.02554699649494398,0.04351362865199292,0.487,6579,12,loo_alone_dist,3,district
0.01324448189860889,0.01952450091605945,-0.018870464247588835,0.04535942804480662,0.413,6528,12,loo_alone_dist,4,district
0.012307128982079335,0.017025666315881906,-0.015697600008864523,0.040311857973023196,0.414,6477,12,loo_alone_dist,5,district
0.007999354407912123,0.015743896582470336,-0.017897050988113096,0.03389575980393734,0.535,6426,12,loo_alone_dist,6,district
0.008093823257145069,0.014495803986659343,-0.015749652505889156,0.03193729902017929,0.497,6375,12,loo_alone_dist,7,district
0.024997997040871918,0.014464522809863429,0.0012059742349457593,0.04879001984679808,0.291,6324,12,loo_alone_dist,8,district
0.03244143702056259,0.01529694268236333,0.007280205368208489,0.05760266867291669,0.111,6273,12,loo_alone_dist,9,district
0.03373366815180652,0.016483579754380463,0.006620592207669963,0.06084674409594308,0.079,6222,12,loo_alone_dist,10,district
0.034096091388092,0.017724582752872167,0.004941747160828708,0.06325043561535529,0.006,6171,12,loo_alone_dist,11,district
0.03538062918288414,0.018328461828364513,0.0052329922680571656,0.06552826609771112,0.008,6120,12,loo_alone_dist,12,district
-0.0006493788692186241,0.013653475402869944,-0.02310734740612196,0.021808589667684713,0.991,6732,132,loo_alone_quarter,0,quarter
-0.001153502777713622,0.020782554733967888,-0.03533776330919819,0.03303075775377094,0.985,6681,131,loo_alone_quarter,1,quarter
0.00045664746485378174,0.02192525309733526,-0.03560718461412711,0.03652047954383468,0.991,6630,130,loo_alone_quarter,2,quarter
0.008983316078524466,0.02099293943708901,-0.02554699649494398,0.04351362865199292,0.742,6579,129,loo_alone_quarter,3,quarter
0.01324448189860889,0.01952450091605945,-0.018870464247588835,0.04535942804480662,0.583,6528,128,loo_alone_quarter,4,quarter
0.012307128982079335,0.017025666315881906,-0.015697600008864523,0.040311857973023196,0.543,6477,127,loo_alone_quarter,5,quarter
0.007999354407912123,0.015743896582470336,-0.017897050988113096,0.03389575980393734,0.681,6426,126,loo_alone_quarter,6,quarter
0.008093823257145069,0.014495803986659343,-0.015749652505889156,0.03193729902017929,0.73,6375,125,loo_alone_quarter,7,quarter
0.024997997040871918,0.014464522809863429,0.0012059742349457593,0.04879001984679808,0.426,6324,124,loo_alone_quarter,8,quarter
0.03244143702056259,0.01529694268236333,0.007280205368208489,0.05760266867291669,0.312,6273,123,loo_alone_quarter,9,quarter
0.03373366815180652,0.016483579754380463,0.006620592207669963,0.06084674409594308,0.246,6222,122,loo_alone_quarter,10,quarter
0.034096091388092,0.017724582752872167,0.004941747160828708,0.06325043561535529,0.227,6171,121,loo_alone_quarter,11,quarter
0.03538062918288414,0.018328461828364513,0.0052329922680571656,0.06552826609771112,0.194,6120,120,loo_alone_quarter,12,quarter
0.010499556376738257,0.0071008988172521,-0.0011803827974342773,0.02217949555091079,0.673,6732,12,own_alone_dist,0,district
0.003302947756053906,0.018519761189495734,-0.027159348606763258,0.03376524411887107,0.738,6681,12,own_alone_dist,1,district
