h,beta,se,t,lo,hi,outcome,supt_lo,supt_hi,supt_crit,boot_draws
0,0.0007762680612857356,0.00806832127612509,0.09621184317272848,-0.012494939453158348,0.014047475575729818,urate,-0.01747805405011556,0.019030590172687035,2.0332771634605566,300
1,0.018281464156961674,0.005658463763380534,3.2308175719481476,0.008974119512791727,0.02758880880113162,urate,0.002622491084844327,0.033940437229079023,2.0332771634605566,300
2,0.021123814440557886,0.006435451115902699,3.2824139380623443,0.010538439331496435,0.031709189549619335,urate,-0.0003687408617635904,0.04261636974287936,2.0332771634605566,300
3,0.02791104144861609,0.00795115938953015,3.510310896970386,0.01483254808827817,0.04098953480895401,urate,-0.0014285176505893261,0.05725060054782151,2.0332771634605566,300
4,0.0373954481837737,0.010174688670758667,3.6753407788530734,0.02065957462057426,0.054131321746973146,urate,0.002728106757932093,0.07206278960961532,2.0332771634605566,300
5,0.04453715549456104,0.013188152204649176,3.377058044481812,0.02284457550795579,0.06622973548116629,urate,0.004714867379276143,0.08435944360984593,2.0332771634605566,300
6,0.047940696000024347,0.015569316174402865,3.0791780103253656,0.022331449821403577,0.07354994217864512,urate,0.0052695507158841345,0.09061184128416455,2.0332771634605566,300
7,0.05347995968840245,0.017328593391891686,3.086226243465701,0.024976959997782096,0.0819829593790228,urate,0.0074835722628923615,0.09947634711391254,2.0332771634605566,300
8,0.05766795794852185,0.017781826444820195,3.243084062679084,0.028419456226937753,0.08691645967010594,urate,0.007840013452203365,0.10749590244484034,2.0332771634605566,300
9,0.05127323804846663,0.016890710302528013,3.035588032126312,0.023490491945566835,0.07905598415136643,urate,-0.006550539782102863,0.10909701587903613,2.0332771634605566,300
10,0.05632516399985213,0.016580392557509482,3.3970947192285688,0.029052845165353464,0.0835974828343508,urate,-0.004854055614545709,0.11750438361424997,2.0332771634605566,300
11,0.05908019063601494,0.018119997940534677,3.260496542543847,0.029275446303173275,0.0888849349688566,urate,-0.006135275776451149,0.12429565704848103,2.0332771634605566,300
12,0.054207011599124735,0.0165986912463925,3.265740099292822,0.026904594099848383,0.08150942909840109,urate,-0.018942971828875776,0.12735699502712525,2.0332771634605566,300
0,0.012777077726309509,0.017127565260320714,0.7459949813129632,-0.01539526011297705,0.040949415565596066,emp100,-0.02009898475868599,0.04565314021130501,2.2216986614323315,300
1,-0.00243401024872955,0.01119589082741915,-0.21740210638429672,-0.020849611883162658,0.015981591385703556,emp100,-0.027311607538399337,0.022443587040940235,2.2216986614323315,300
2,-0.0042819707421448755,0.012812392318115871,-0.3342054033180403,-0.025356480716522946,0.016792539232233193,emp100,-0.041925725038997004,0.03336178355470725,2.2216986614323315,300
3,-0.0016213075159655207,0.0165628796474876,-0.09788802131466641,-0.028864820176896216,0.025622205144965177,emp100,-0.0456647771154781,0.04242216208354706,2.2216986614323315,300
4,-0.015326465880064201,0.023199936113620003,-0.6606253484925108,-0.0534869649415945,0.022834033181466103,emp100,-0.06996126313645723,0.03930833137632883,2.2216986614323315,300
5,-0.015434797399973494,0.03072307115629116,-0.5023845865361318,-0.06596975242248716,0.03510015762254018,emp100,-0.07570834308443566,0.04483874828448868,2.2216986614323315,300
6,-0.01496673999348602,0.033969621255675694,-0.4405919006525678,-0.070841794722052,0.040908314735079956,emp100,-0.07905511826803925,0.049121638281067206,2.2216986614323315,300
7,-0.030549264090167165,0.03748741196785395,-0.8149205956485779,-0.09221056963051574,0.03111204145018142,emp100,-0.11463275058210923,0.05353422240177489,2.2216986614323315,300
8,-0.03316088493468851,0.04008460310812838,-0.8272723780060112,-0.09909418974200372,0.032772419872626704,emp100,-0.12739631780969946,0.061074547940322424,2.2216986614323315,300
9,-0.03603813124896367,0.039854895125662156,-0.9042334984281288,-0.1015936000481796,0.029517337550252265,emp100,-0.1415139722278111,0.06943770972988375,2.2216986614323315,300
10,-0.043574678183685586,0.04032594366748463,-1.0805618969016328,-0.10990495288538843,0.022755596518017257,emp100,-0.15710600464665578,0.0699566482792846,2.2216986614323315,300
11,-0.0534745012430646,0.04422339457701634,-1.2091903336352252,-0.12621551220917598,0.019266509723046783,emp100,-0.174222594082207,0.06727359159607782,2.2216986614323315,300
12,-0.055884354305247026,0.04113697515227451,-1.3584944954844866,-0.12354865708627832,0.011779948475784278,emp100,-0.19348608112723362,0.08171737251673958,2.2216986614323315,300
