dropped_district,beta,se_dk
Boston,0.041887377152270526,0.019925735277313242
New York,0.041648741514891674,0.01913359847939509
Philadelphia,0.04304919364751186,0.01906102836284238
Cleveland,0.04152442477850448,0.019265748267865722
Richmond,0.03933896819605676,0.025210561303015206
Atlanta,0.04551798388005259,0.019686801102782838
Chicago,0.04320581672297183,0.019732005539192375
St. Louis,0.044304113219827204,0.019812347166434426
Minneapolis,0.04226563375064715,0.019630081967125814
Kansas City,0.035722672742812656,0.020503895931146147
Dallas,0.04152442477850448,0.019265748267865705
San Francisco,0.034993862948832256,0.015077484622557539
