state,date,layoff_events
AK,1998-01-01,9.0
AK,1998-04-01,14.0
AK,1998-07-01,0.0
AK,1998-10-01,11.0
AK,1999-01-01,9.0
AK,1999-04-01,15.0
AK,1999-07-01,0.0
AK,1999-10-01,8.0
AK,2000-01-01,3.0
AK,2000-04-01,5.0
AK,2000-07-01,3.0
AK,2000-10-01,13.0
AK,2001-01-01,5.0
AK,2001-04-01,7.0
AK,2001-07-01,0.0
AK,2001-10-01,13.0
AK,2002-01-01,7.0
AK,2002-04-01,8.0
AK,2002-07-01,0.0
AK,2002-10-01,14.0
AK,2003-01-01,7.0
AK,2003-04-01,10.0
AK,2003-07-01,3.0
AK,2003-10-01,12.0
AK,2004-01-01,6.0
AK,2004-04-01,9.0
AK,2004-07-01,0.0
AK,2004-10-01,12.0
AK,2005-01-01,3.0
AK,2005-04-01,5.0
AK,2005-07-01,3.0
AK,2005-10-01,8.0
AK,2006-01-01,0.0
AK,2006-04-01,9.0
AK,2006-07-01,3.0
AK,2006-10-01,13.0
AK,2007-01-01,0.0
AK,2007-04-01,5.0
AK,2007-07-01,0.0
AK,2007-10-01,8.0
AK,2008-01-01,0.0
AK,2008-04-01,4.0
AK,2008-07-01,3.0
AK,2008-10-01,13.0
AK,2009-01-01,17.0
AK,2009-04-01,23.0
AK,2009-07-01,11.0
AK,2009-10-01,18.0
AK,2010-01-01,12.0
AK,2010-04-01,22.0
AK,2010-07-01,14.0
AK,2010-10-01,18.0
AK,2011-01-01,4.0
AK,2011-04-01,15.0
AK,2011-07-01,10.0
AK,2011-10-01,17.0
AK,2012-01-01,8.0
AK,2012-04-01,16.0
AK,2012-07-01,8.0
AK,2012-10-01,18.0
AK,2013-01-01,11.0
AL,1998-01-01,23.0
AL,1998-04-01,22.0
AL,1998-07-01,18.0
AL,1998-10-01,27.0
AL,1999-01-01,19.0
AL,1999-04-01,39.0
AL,1999-07-01,23.0
AL,1999-10-01,24.0
AL,2000-01-01,20.0
AL,2000-04-01,43.0
AL,2000-07-01,19.0
AL,2000-10-01,37.0
AL,2001-01-01,40.0
AL,2001-04-01,50.0
AL,2001-07-01,35.0
AL,2001-10-01,44.0
AL,2002-01-01,194.0
AL,2002-04-01,87.0
AL,2002-07-01,77.0
AL,2002-10-01,70.0
AL,2003-01-01,139.0
AL,2003-04-01,66.0
AL,2003-07-01,77.0
AL,2003-10-01,50.0
AL,2004-01-01,112.0
AL,2004-04-01,34.0
AL,2004-07-01,76.0
AL,2004-10-01,43.0
AL,2005-01-01,100.0
AL,2005-04-01,27.0
AL,2005-07-01,83.0
AL,2005-10-01,34.0
AL,2006-01-01,23.0
AL,2006-04-01,37.0
AL,2006-07-01,31.0
AL,2006-10-01,47.0
AL,2007-01-01,61.0
AL,2007-04-01,50.0
AL,2007-07-01,93.0
AL,2007-10-01,72.0
AL,2008-01-01,110.0
AL,2008-04-01,69.0
AL,2008-07-01,103.0
AL,2008-10-01,162.0
AL,2009-01-01,178.0
AL,2009-04-01,116.0
AL,2009-07-01,120.0
AL,2009-10-01,79.0
AL,2010-01-01,128.0
AL,2010-04-01,73.0
AL,2010-07-01,84.0
AL,2010-10-01,80.0
AL,2011-01-01,100.0
AL,2011-04-01,85.0
AL,2011-07-01,88.0
AL,2011-10-01,72.0
AL,2012-01-01,80.0
AL,2012-04-01,56.0
AL,2012-07-01,77.0
AL,2012-10-01,60.0
AL,2013-01-01,103.0
