date,district,value,n_docs,n_sections
1970-04-01,Atlanta,0.02886178861788618,2,1
1970-04-01,Boston,0.09317073170731707,2,1
1970-04-01,Chicago,0.047619047619047616,2,1
1970-04-01,Cleveland,0.0967741935483871,1,1
1970-04-01,Dallas,0.08465818759936408,2,1
1970-04-01,Kansas City,0.031818181818181815,2,1
1970-04-01,Minneapolis,0.02702702702702703,1,1
1970-04-01,New York,0.013513513513513514,2,1
1970-04-01,Philadelphia,0.06363636363636364,3,2
1970-04-01,Richmond,0.10795454545454546,2,1
1970-04-01,San Francisco,0.10472049689440995,5,1
1970-04-01,St. Louis,0.1169642857142857,3,2
1970-07-01,Atlanta,0.13552900587784308,4,2
1970-07-01,Boston,0.11125,2,1
1970-07-01,Chicago,0.059642401021711366,3,1
1970-07-01,Cleveland,0.08448275862068966,2,1
1970-07-01,Dallas,0.016760946993505135,3,1
1970-07-01,Kansas City,0.030303030303030304,3,1
1970-07-01,Minneapolis,0.08208571281576375,3,1
1970-07-01,New York,0.029012345679012345,3,1
1970-07-01,Philadelphia,0.055963225371120105,4,2
1970-07-01,Richmond,0.12290249433106576,3,1
1970-07-01,San Francisco,0.1158488698460648,7,2
1970-07-01,St. Louis,0.11060606060606061,2,1
1970-10-01,Atlanta,0.157010857010857,3,1
1970-10-01,Boston,0.04840628507295174,3,2
1970-10-01,Chicago,0.052096052096052094,3,1
1970-10-01,Cleveland,0.09762618690654673,3,1
1970-10-01,Dallas,0.050505050505050504,4,2
1970-10-01,Kansas City,0.03809523809523809,3,1
1970-10-01,Minneapolis,0.0614500442086649,3,1
1970-10-01,New York,0.10317460317460317,2,1
1970-10-01,Philadelphia,0.13333333333333333,3,1
1970-10-01,Richmond,0.12777777777777777,3,1
1970-10-01,San Francisco,0.09771058403191854,5,1
1970-10-01,St. Louis,0.08115079365079365,3,1
1971-01-01,Atlanta,0.04487179487179487,3,1
1971-01-01,Boston,0.04047619047619047,2,1
1971-01-01,Chicago,0.05185185185185185,3,1
1971-01-01,Cleveland,0.040945165945165944,3,1
1971-01-01,Dallas,0.0843058968058968,3,1
1971-01-01,Kansas City,0.030769230769230767,3,1
1971-01-01,Minneapolis,0.02666666666666667,3,1
1971-01-01,New York,0.11379495437466453,3,1
1971-01-01,Philadelphia,0.041707396546106223,3,1
1971-01-01,Richmond,0.07676381589425067,3,1
1971-01-01,San Francisco,0.07122890619662499,6,1
1971-01-01,St. Louis,0.06167861409796893,3,1
1971-04-01,Atlanta,0.08585339317285462,4,1
1971-04-01,Boston,0.021778584392014518,4,1
1971-04-01,Chicago,0.031524122807017545,4,1
1971-04-01,Cleveland,0.12083333333333333,4,1
1971-04-01,Dallas,0.10202919653524492,4,1
1971-04-01,Kansas City,0.050516461555046036,4,1
1971-04-01,Minneapolis,0.008064516129032258,4,1
1971-04-01,New York,0.1422748447204969,4,1
1971-04-01,Philadelphia,0.04019458329803158,4,1
1971-04-01,Richmond,0.062779374201788,4,1
1971-04-01,San Francisco,0.05587269872984159,7,1
1971-04-01,St. Louis,0.0393939393939394,4,1
1971-07-01,Atlanta,0.07549019607843137,3,1
1971-07-01,Boston,0.015503875968992248,3,1
1971-07-01,Chicago,0.050671550671550665,3,1
1971-07-01,Cleveland,0.11733664185277089,3,1
1971-07-01,Dallas,0.010101010101010102,3,1
1971-07-01,Kansas City,0.061342592592592594,3,1
1971-07-01,Minneapolis,0.03598484848484849,3,1
1971-07-01,New York,0.10349206349206348,3,1
1971-07-01,Philadelphia,0.0,3,1
1971-07-01,Richmond,0.02782608695652174,3,1
1971-07-01,San Francisco,0.05206020634713334,6,1
1971-07-01,St. Louis,0.06705516705516705,3,1
1971-10-01,Atlanta,0.0727994227994228,3,1
1971-10-01,Boston,0.03508771929824561,3,1
1971-10-01,Chicago,0.06993006993006994,3,1
1971-10-01,Cleveland,0.1956717501815541,3,1
1971-10-01,Dallas,0.0728110599078341,3,1
1971-10-01,Kansas City,0.009009009009009009,3,1
1971-10-01,Minneapolis,0.013333333333333334,3,1
1971-10-01,New York,0.1423486251861538,3,1
1971-10-01,Philadelphia,0.0,3,1
1971-10-01,Richmond,0.03422619047619047,3,1
1971-10-01,San Francisco,0.055546780667903695,6,1
1971-10-01,St. Louis,0.011494252873563218,3,1
1972-01-01,Atlanta,0.0,1,1
1972-01-01,Boston,0.08541244083840434,3,2
1972-01-01,Chicago,0.0,2,1
1972-01-01,Cleveland,0.10714285714285714,1,1
1972-01-01,Dallas,0.0975609756097561,2,1
1972-01-01,Kansas City,0.0,1,1
1972-01-01,Minneapolis,0.0,1,1
1972-01-01,New York,0.07692307692307693,1,1
1972-01-01,Philadelphia,0.047619047619047616,3,2
1972-01-01,Richmond,0.022222222222222223,3,2
1972-01-01,San Francisco,0.056606386445096114,3,1
1972-01-01,St. Louis,0.007352941176470588,4,2
1972-04-01,Atlanta,0.0633406798904695,3,1
1972-04-01,Boston,0.0,3,1
1972-04-01,Chicago,0.02941176470588235,3,1
1972-04-01,Cleveland,0.04318104412981074,3,1
1972-04-01,Dallas,0.05754141238012206,3,1
1972-04-01,Kansas City,0.0,3,1
1972-04-01,Minneapolis,0.08133443617314585,3,1
1972-04-01,New York,0.06896551724137932,3,1
1972-04-01,Philadelphia,0.0,3,1
1972-04-01,Richmond,0.012820512820512822,3,1
1972-04-01,San Francisco,0.051674324700640484,8,2
1972-04-01,St. Louis,0.02921102921102921,3,1
1972-07-01,Atlanta,0.017543859649122806,3,1
1972-07-01,Boston,0.030012771392081736,3,1
1972-07-01,Chicago,0.025925925925925925,3,1
1972-07-01,Cleveland,0.060010960906101564,3,1
1972-07-01,Dallas,0.12271718723331626,3,1
1972-07-01,Kansas City,0.0,3,1
1972-07-01,Minneapolis,0.05555555555555555,3,1
1972-07-01,New York,0.10806451612903226,4,2
1972-07-01,Philadelphia,0.0,2,1
1972-07-01,Richmond,0.012820512820512822,3,1
1972-07-01,San Francisco,0.054681798277623705,6,1
1972-07-01,St. Louis,0.039536565427906685,3,1
1972-10-01,Atlanta,0.09444444444444444,3,1
1972-10-01,Boston,0.017780938833570414,3,1
1972-10-01,Chicago,0.04350657502432289,3,1
1972-10-01,Cleveland,0.09094982078853046,3,1
1972-10-01,Dallas,0.07005568956788469,3,1
1972-10-01,Kansas City,0.018518518518518517,3,1
