date,district,value,n_docs,n_sections
1970-04-01,Atlanta,0.0,2,1
1970-04-01,Boston,0.0,2,1
1970-04-01,Chicago,0.0,2,1
1970-04-01,Cleveland,0.0,1,1
1970-04-01,Dallas,0.0,2,1
1970-04-01,Kansas City,0.0,2,1
1970-04-01,Minneapolis,0.0,1,1
1970-04-01,New York,0.013513513513513514,2,1
1970-04-01,Philadelphia,0.0,3,2
1970-04-01,Richmond,0.015151515151515152,2,1
1970-04-01,San Francisco,0.0,5,1
1970-04-01,St. Louis,0.0,3,2
1970-07-01,Atlanta,0.0,4,2
1970-07-01,Boston,0.0,2,1
1970-07-01,Chicago,0.0,3,1
1970-07-01,Cleveland,0.0,2,1
1970-07-01,Dallas,0.0,3,1
1970-07-01,Kansas City,0.0,3,1
1970-07-01,Minneapolis,0.0,3,1
1970-07-01,New York,0.0,3,1
1970-07-01,Philadelphia,0.0,4,2
1970-07-01,Richmond,0.0,3,1
1970-07-01,San Francisco,0.004608294930875576,7,2
1970-07-01,St. Louis,0.0,2,1
1970-10-01,Atlanta,0.0,3,1
1970-10-01,Boston,0.007575757575757576,3,2
1970-10-01,Chicago,0.0,3,1
1970-10-01,Cleveland,0.0,3,1
1970-10-01,Dallas,0.0,4,2
1970-10-01,Kansas City,0.0,3,1
1970-10-01,Minneapolis,0.0,3,1
1970-10-01,New York,0.0,2,1
1970-10-01,Philadelphia,0.0,3,1
1970-10-01,Richmond,0.0,3,1
1970-10-01,San Francisco,0.0,5,1
1970-10-01,St. Louis,0.0,3,1
1971-01-01,Atlanta,0.0,3,1
1971-01-01,Boston,0.0,2,1
1971-01-01,Chicago,0.0,3,1
1971-01-01,Cleveland,0.0,3,1
1971-01-01,Dallas,0.009009009009009009,3,1
1971-01-01,Kansas City,0.0,3,1
1971-01-01,Minneapolis,0.0,3,1
1971-01-01,New York,0.0,3,1
1971-01-01,Philadelphia,0.0,3,1
1971-01-01,Richmond,0.0,3,1
1971-01-01,San Francisco,0.0,6,1
1971-01-01,St. Louis,0.0,3,1
1971-04-01,Atlanta,0.0,4,1
1971-04-01,Boston,0.0,4,1
1971-04-01,Chicago,0.0,4,1
1971-04-01,Cleveland,0.0,4,1
1971-04-01,Dallas,0.0,4,1
1971-04-01,Kansas City,0.0,4,1
1971-04-01,Minneapolis,0.0,4,1
1971-04-01,New York,0.0,4,1
1971-04-01,Philadelphia,0.0,4,1
1971-04-01,Richmond,0.0,4,1
1971-04-01,San Francisco,0.0,7,1
1971-04-01,St. Louis,0.0,4,1
1971-07-01,Atlanta,0.0,3,1
1971-07-01,Boston,0.0,3,1
1971-07-01,Chicago,0.0,3,1
1971-07-01,Cleveland,0.0,3,1
1971-07-01,Dallas,0.0,3,1
1971-07-01,Kansas City,0.0,3,1
1971-07-01,Minneapolis,0.0,3,1
1971-07-01,New York,0.0,3,1
1971-07-01,Philadelphia,0.0,3,1
1971-07-01,Richmond,0.0,3,1
1971-07-01,San Francisco,0.0,6,1
1971-07-01,St. Louis,0.0,3,1
1971-10-01,Atlanta,0.011111111111111112,3,1
1971-10-01,Boston,0.008771929824561403,3,1
1971-10-01,Chicago,0.008547008547008546,3,1
1971-10-01,Cleveland,0.0,3,1
1971-10-01,Dallas,0.0,3,1
1971-10-01,Kansas City,0.0,3,1
1971-10-01,Minneapolis,0.0,3,1
1971-10-01,New York,0.030365769496204276,3,1
1971-10-01,Philadelphia,0.0,3,1
1971-10-01,Richmond,0.0,3,1
1971-10-01,San Francisco,0.005376344086021505,6,1
1971-10-01,St. Louis,0.0,3,1
