state,urate_archive_start,urate_kept_share,urate_first_kept,emp_archive_start,emp_kept_share,emp_first_kept
AK,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
AL,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
AR,2005-07-22,1.0,2005-06-01,2005-07-22,1.0,2005-06-01
AZ,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
CA,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
CO,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
CT,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
DC,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
DE,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
FL,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
GA,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
HI,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
IA,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
ID,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
IL,2005-07-22,1.0,2005-06-01,2005-07-22,1.0,2005-06-01
IN,2005-07-22,1.0,2005-06-01,2005-07-22,1.0,2005-06-01
KS,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
KY,2005-07-22,1.0,2005-06-01,2005-07-22,1.0,2005-06-01
LA,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
MA,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
MD,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
ME,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
MI,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
MN,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
MO,2005-07-22,1.0,2005-06-01,2005-07-22,1.0,2005-06-01
MS,2005-07-22,1.0,2005-06-01,2005-07-22,1.0,2005-06-01
MT,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
NC,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
ND,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
NE,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
NH,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
NJ,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
NM,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
NV,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
NY,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
OH,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
OK,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
OR,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
PA,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
RI,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
SC,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
SD,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
TN,2005-07-22,1.0,2005-06-01,2005-07-22,1.0,2005-06-01
TX,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
UT,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
VA,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
VT,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
WA,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
WI,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
WV,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
WY,2007-07-20,1.0,2007-06-01,2007-07-20,1.0,2007-06-01
