wald,df,p_wald_dk,betas,n_obs,h
27.344663224411732,10,0.002296446892172896,"[0.17812793324427018, 0.05647086464028721, 0.004614971430546042, 0.036954812092466933, 0.02184352012874725, 0.010979330976987273, 0.08850332750480096, 0.0738544961729238, 0.13092000631664918, 0.05911816877147067]",5940,0
66.11185964779376,10,2.4824650094692836e-10,"[0.13725755065914852, 0.05979052546135923, 0.029676616214216498, 0.028533919669101827, 0.009487998550890376, 0.006693871625358713, 0.08652517656043547, 0.0631519766144752, 0.0678297450468268, 0.024384900572514506]",5895,1
64.88688118224874,10,4.260341076408365e-10,"[0.11881512556880323, 0.04296487912605605, 0.011039011072770243, 0.02734555424277296, 0.014138624417836216, 0.018166815520023933, 0.06734040157307265, 0.042284060246714605, 0.05185247916403431, 0.018627198897976975]",5850,2
76.28972622431925,10,2.6677238873604065e-12,"[0.07112302374956327, 0.02613801216871543, -0.0031140924689399864, 0.0018205189076309321, 0.013057603931324196, 0.008829771860081437, 0.039873973111617306, 0.019410294875244656, 0.029930920171607228, -0.01665574887805291]",5805,3
50.4995486210525,10,2.1598184796585347e-07,"[0.07295668457104251, 0.01869177805951687, -0.014554243738525074, -0.010895028651330319, 0.016150894655071246, 0.011653692705174279, 0.03897846837070522, 0.008481645813136195, 0.03315983090632355, 0.008994141005514635]",5760,4
67.81550972079903,10,1.168806598155228e-10,"[0.16313948439708606, 0.04479299516757699, -0.000982816493188654, 0.030939432116518135, 0.01757305810982027, 0.03327940984899319, 0.09158005954274949, 0.031445875862521004, 0.07604477658479127, 0.0967612565891489]",5715,5
80.95475442748618,10,3.2620768572918484e-13,"[0.2523610337722338, 0.06307376911068377, 0.011069331822431604, 0.08001685722184437, 0.022699621519581752, 0.06549087604213488, 0.13090262004546113, 0.050698227377976225, 0.13802142893079528, 0.17850607337338578]",5670,6
115.56670432684776,10,4.0048477021577544e-20,"[0.2338884378260014, 0.05793448305177048, 0.012067419585085835, 0.08800442395054817, 0.010653895636945365, 0.064213250887577, 0.12650565755603035, 0.04700587121286611, 0.1321745614233665, 0.16337748909261215]",5625,7
99.80528030369565,10,5.961288069122373e-17,"[0.1916213560578163, 0.03807008695162076, -0.0012174425830051745, 0.07322287874432673, 0.006600126982060681, 0.06961291822218882, 0.08495305003018834, 0.02271795163939781, 0.1094393218718403, 0.12587572695012414]",5580,8
53.86401260741453,10,5.143600376427291e-08,"[0.16330988579916136, 0.02996107583616803, -0.0039408241971841725, 0.061612636439163815, 0.005749323529004947, 0.058010275217278404, 0.06220450408520832, 0.017331796840315262, 0.07207076229405114, 0.09803192793025935]",5535,9
44.36412382381902,10,2.83113714695146e-06,"[0.16141549039034814, 0.021917227699995986, 0.00965285578256562, 0.04081798651672026, 0.013216536877142812, 0.057373150222606355, 0.04443612774058711, 0.010832672388252066, 0.07631898837461976, 0.1004323585905708]",5490,10
27.465300332918247,10,0.0021972374072662484,"[0.22028210751574231, 0.039198166854913466, 0.028631143423527423, 0.05426426733559224, 0.02386528300933787, 0.04917556584973881, 0.07535710853038372, 0.03291620224356343, 0.1030113199959896, 0.13952582099764452]",5445,11
16.426981897437905,10,0.08804460145574064,"[0.09173653020678789, 0.0027946951824216622, 0.0034867302344760544, 0.009236345276595026, 0.019694942367782235, 0.017411355340259685, 0.014179330144584097, -0.009811496657107644, 0.02776149936982867, 0.03196455155988467]",5400,12
