state,n_filings,first_q,last_q,in_warn_lp
AK,53,2006Q1,2021Q3,False
AL,861,1999Q1,2022Q1,True
AR,0,,,False
AZ,737,2010Q2,2026Q2,True
CA,13141,2008Q3,2026Q2,True
CO,131,2023Q4,2026Q1,False
CT,299,2015Q2,2022Q1,False
DC,67,2018Q1,2022Q1,False
DE,95,2007Q1,2021Q2,False
FL,1960,2017Q1,2026Q2,False
GA,4197,1989Q3,2026Q2,True
HI,438,2019Q1,2026Q2,False
IA,524,2011Q1,2022Q1,True
ID,110,2009Q1,2021Q3,False
IL,1229,2018Q1,2026Q2,False
IN,1031,2008Q3,2026Q2,True
KS,2011,1998Q2,2021Q4,True
KY,762,1998Q4,2016Q4,False
LA,312,2007Q1,2018Q2,False
MA,169,2024Q1,2026Q2,False
MD,1366,2010Q1,2026Q2,True
ME,327,2012Q1,2022Q1,True
MI,819,2016Q1,2026Q1,False
MN,0,,,False
MO,321,2015Q2,2023Q4,False
MS,0,,,False
MT,23,2015Q1,2021Q3,False
NC,159,2024Q1,2026Q2,False
ND,0,,,False
NE,903,2010Q1,2020Q3,False
NH,0,,,False
NJ,1369,2007Q1,2024Q3,True
NM,34,2020Q1,2021Q4,False
NV,46,2024Q2,2026Q1,False
NY,767,2023Q1,2026Q2,False
OH,786,2017Q1,2026Q2,False
OK,732,1999Q4,2022Q1,True
OR,945,1988Q4,2021Q3,False
PA,198,2023Q1,2026Q3,False
RI,82,2009Q1,2022Q1,True
SC,302,2013Q1,2025Q4,True
SD,53,2007Q2,2021Q2,False
TN,592,2017Q4,2026Q2,False
TX,6508,1999Q1,2026Q2,True
UT,56,2013Q1,2021Q3,False
VA,1104,2010Q3,2026Q2,True
VT,304,2003Q3,2022Q1,True
WA,876,2014Q3,2026Q2,True
WI,758,2020Q1,2026Q2,False
WV,65,2021Q4,2026Q1,False
WY,0,,,False
