state,date,n_notices,workers_affected
AK,2006-01-01,1,100.0
AK,2006-04-01,3,424.0
AK,2006-07-01,0,0.0
AK,2006-10-01,0,0.0
AK,2007-01-01,0,0.0
AK,2007-04-01,0,0.0
AK,2007-07-01,1,140.0
AK,2007-10-01,0,0.0
AK,2008-01-01,0,0.0
AK,2008-04-01,0,0.0
AK,2008-07-01,0,0.0
AK,2008-10-01,1,130.0
AK,2009-01-01,0,0.0
AK,2009-04-01,0,0.0
AK,2009-07-01,0,0.0
AK,2009-10-01,0,0.0
AK,2010-01-01,1,109.0
AK,2010-04-01,0,0.0
AK,2010-07-01,0,0.0
AK,2010-10-01,0,0.0
AK,2011-01-01,0,0.0
AK,2011-04-01,0,0.0
AK,2011-07-01,0,0.0
AK,2011-10-01,0,0.0
AK,2012-01-01,0,0.0
AK,2012-04-01,2,180.0
AK,2012-07-01,0,0.0
AK,2012-10-01,2,411.0
AK,2013-01-01,0,0.0
AK,2013-04-01,1,75.0
AK,2013-07-01,0,0.0
AK,2013-10-01,0,0.0
AK,2014-01-01,0,0.0
AK,2014-04-01,0,0.0
AK,2014-07-01,0,0.0
AK,2014-10-01,0,0.0
AK,2015-01-01,0,0.0
AK,2015-04-01,0,0.0
AK,2015-07-01,0,0.0
AK,2015-10-01,1,134.0
AK,2016-01-01,4,356.0
AK,2016-04-01,0,0.0
AK,2016-07-01,0,0.0
AK,2016-10-01,0,0.0
AK,2017-01-01,0,0.0
AK,2017-04-01,2,296.0
AK,2017-07-01,0,0.0
AK,2017-10-01,2,217.0
AK,2018-01-01,3,505.0
AK,2018-04-01,1,101.0
AK,2018-07-01,1,74.0
AK,2018-10-01,0,0.0
AK,2019-01-01,0,0.0
AK,2019-04-01,1,173.0
AK,2019-07-01,0,0.0
AK,2019-10-01,2,505.0
AK,2020-01-01,3,674.0
AK,2020-04-01,13,1228.0
AK,2020-07-01,4,537.0
AK,2020-10-01,0,0.0
AK,2021-01-01,0,0.0
AK,2021-04-01,2,244.0
AK,2021-07-01,2,174.0
AL,1999-01-01,15,1793.0
AL,1999-04-01,13,3023.0
AL,1999-07-01,13,2492.0
AL,1999-10-01,6,1211.0
AL,2000-01-01,17,2455.0
AL,2000-04-01,13,1546.0
AL,2000-07-01,10,2847.0
AL,2000-10-01,19,4469.0
AL,2001-01-01,26,3477.0
AL,2001-04-01,18,2511.0
AL,2001-07-01,14,2834.0
AL,2001-10-01,23,5434.0
AL,2002-01-01,18,2974.0
AL,2002-04-01,9,1339.0
AL,2002-07-01,13,1658.0
AL,2002-10-01,9,1511.0
AL,2003-01-01,12,1207.0
AL,2003-04-01,12,1515.0
AL,2003-07-01,15,6729.0
AL,2003-10-01,14,3253.0
AL,2004-01-01,11,2683.0
AL,2004-04-01,7,1567.0
AL,2004-07-01,10,2145.0
AL,2004-10-01,8,2516.0
AL,2005-01-01,12,1818.0
AL,2005-04-01,8,730.0
AL,2005-07-01,8,1014.0
AL,2005-10-01,8,1661.0
AL,2006-01-01,10,1522.0
AL,2006-04-01,8,2452.0
AL,2006-07-01,10,3145.0
AL,2006-10-01,15,2411.0
AL,2007-01-01,11,1934.0
AL,2007-04-01,12,2107.0
AL,2007-07-01,9,2052.0
AL,2007-10-01,15,4249.0
AL,2008-01-01,10,1748.0
AL,2008-04-01,9,1676.0
AL,2008-07-01,4,634.0
AL,2008-10-01,14,3298.0
AL,2009-01-01,26,3147.0
AL,2009-04-01,18,3605.0
AL,2009-07-01,19,3688.0
AL,2009-10-01,7,959.0
AL,2010-01-01,9,1431.0
AL,2010-04-01,6,513.0
AL,2010-07-01,7,1572.0
AL,2010-10-01,11,866.0
AL,2011-01-01,13,3123.0
AL,2011-04-01,13,1121.0
AL,2011-07-01,5,819.0
AL,2011-10-01,5,952.0
AL,2012-01-01,9,2124.0
AL,2012-04-01,10,939.0
AL,2012-07-01,3,456.0
AL,2012-10-01,7,938.0
AL,2013-01-01,11,1580.0
AL,2013-04-01,13,1875.0
AL,2013-07-01,11,3107.0
AL,2013-10-01,5,1410.0
AL,2014-01-01,2,381.0
AL,2014-04-01,6,2100.0
AL,2014-07-01,4,387.0
AL,2014-10-01,4,432.0
