h,gk_lo,gk_med,gk_hi,sign_lo,sign_med,sign_hi,narr_lo,narr_med,narr_hi
0,-0.9377459261600637,-0.4484224521169936,-0.006008145028834134,-0.8302398394971101,-0.4161942851942557,-0.04516192573056443,-0.785721974481316,-0.3863278630744685,-0.04623258892852732
1,-1.1995747415118705,-0.6314347650052617,-0.036548429316272876,-1.0943511129137262,-0.5849328387640053,-0.14900604436525686,-1.0526450281938429,-0.5598205439678042,-0.15109607870575587
2,-1.2495047959197898,-0.6683294310211765,-0.003974679930476443,-1.159105924174602,-0.6159517891708159,-0.11726187135005883,-1.1012263738216206,-0.6121315464013043,-0.13143532014308057
3,-1.3351333800352947,-0.6885964017966638,0.12176376909304168,-1.2309687765782393,-0.6309052694655738,-0.04065192002429805,-1.1523511256911274,-0.6310237233098466,-0.08120531725212204
4,-1.4033499512384702,-0.7280075103834398,0.15265097524910598,-1.292636876913873,-0.6675426002728964,-0.04109007838838347,-1.2133432777366604,-0.6673039279689666,-0.09046882248330732
5,-1.409429835668586,-0.7258709429433517,0.1590593820300371,-1.3015803000181905,-0.6606895557782699,-0.03093501054181569,-1.2122045446660519,-0.6628180425565385,-0.08849084431881006
6,-1.4009012181428635,-0.7408857791490022,0.18209646915287234,-1.284326502334186,-0.675962608830892,-0.03635120862979243,-1.224013304254773,-0.678182154612525,-0.09594638813639712
7,-1.3939395664808967,-0.7506514206070225,0.20444015964592277,-1.280395013394163,-0.691136575035819,-0.040692214256057235,-1.2268524023175262,-0.6856092490967003,-0.10286585243832448
8,-1.3865416732927411,-0.7545973364682629,0.22974802863566676,-1.2834668462767889,-0.7020820442683744,-0.051490804746899745,-1.232325214326204,-0.6987747062831874,-0.11657224267680306
9,-1.3762076187041437,-0.7607731610979245,0.23873849046553727,-1.2734178540172638,-0.713343494460127,-0.06274476857898265,-1.2292812174906975,-0.7104188048614872,-0.1368384236199252
10,-1.368451905833814,-0.7677806061589909,0.24651335298729835,-1.271496311274692,-0.7222830479939214,-0.06317901303010992,-1.228983476590964,-0.717193274870894,-0.1467320852052357
11,-1.3625929609173366,-0.7731196299782147,0.2570099945052861,-1.2666008822237707,-0.7269679063025412,-0.06025440803944883,-1.2319781750340812,-0.7270409702128586,-0.15482236765192758
12,-1.3570773759045027,-0.7807671396246861,0.2644721389084788,-1.263800283025669,-0.7326923724507699,-0.06258499697350442,-1.2330232722264802,-0.7349111111867621,-0.16801540116797917
13,-1.353724520523031,-0.7931187105789033,0.2714661322086462,-1.2584577694762562,-0.7428949982802986,-0.06895583105365848,-1.2373454715057992,-0.7392997554253746,-0.17182944762065072
14,-1.3511207607853413,-0.7988535074608413,0.2776858323959443,-1.2562879535779117,-0.748851662808462,-0.06716557377265382,-1.240806985285927,-0.7469012716868086,-0.17947494970272576
15,-1.3486042208201872,-0.8034704100614576,0.2842610496956622,-1.2518117145555219,-0.759411000286774,-0.07296042399431725,-1.243393369477775,-0.7486297876022404,-0.18538773769185465
16,-1.347471546028178,-0.8116882804960849,0.2909305947994463,-1.2480305784902004,-0.7693936724883748,-0.08038663486095045,-1.243102801864775,-0.7576819531402634,-0.18776970616290187
17,-1.3461153979496872,-0.8159792036474013,0.2970397869772663,-1.2474889965531475,-0.7744795141079784,-0.08032630422663468,-1.246176096217011,-0.7691844122251278,-0.19250396900371028
18,-1.3445357109816019,-0.8157578195154491,0.3029342656838668,-1.2476885047244428,-0.7746246458807936,-0.08498540958546436,-1.2455089015556364,-0.778230840048493,-0.19813034545483393
19,-1.342718919545472,-0.8196472555368968,0.3086362744905561,-1.2485269714585772,-0.7823273003937892,-0.089564838305079,-1.2452741213474499,-0.7859232027345402,-0.20091898468530664
20,-1.3406949870295872,-0.8247239709801001,0.31420712765972786,-1.2488425676007682,-0.7818832995830919,-0.09407697595523201,-1.2470216649349384,-0.7922647653360366,-0.2033878964729401
21,-1.3384536140793428,-0.8215849742516648,0.31963432338808306,-1.2482163862063727,-0.7827780408167158,-0.09890580407539303,-1.2472275351862316,-0.8015212550210403,-0.19976541641879372
22,-1.3368375941087316,-0.8249349545078886,0.3248886240635548,-1.2449003855142735,-0.7857020425766236,-0.10066342627858543,-1.2492149040084053,-0.8096677356704274,-0.2012516732297904
23,-1.3350271442933068,-0.8302094029065199,0.3300103385766227,-1.239368719046558,-0.7862398552497494,-0.09863334880051065,-1.24786214697912,-0.8099107658458315,-0.20282113590558182
24,-1.334351842437736,-0.830675557891695,0.3349815939496577,-1.2396556887035226,-0.7903900146058344,-0.09735002941659636,-1.2480858199951692,-0.8103307408946442,-0.20509177983411048
