scheme,family,peak_h,peak,peak_lo,peak_hi,h12,h12_lo,h12_hi,diagnostics
chol_first,recursive,24,-1.2253287880104302,-1.7796406624546972,-0.3631296933531615,-0.8715264889489279,-1.3255669718089274,-0.3235241308944359,"{""n_fail"": 0}"
chol_last,recursive,24,-1.1097209890018624,-1.510765471563944,-0.35329696225584006,-0.73726761213548,-1.0493822088743108,-0.27887864474753177,"{""n_fail"": 0}"
sign,sign,24,-3.311528197504757,-5.193834300128557,-0.4078712553089948,-3.069790112008674,-5.294993858621936,-0.2622148286145364,"{""n_accepted"": 715}"
narrative,narrative-sign,24,-2.715919850854917,-4.18310806073212,-0.6873894917076179,-2.4631419922220115,-4.13262414049448,-0.5631235991092622,"{""n_trad"": 1436, ""n_narr"": 1087, ""ess"": 1087.0, ""events"": ""1987-10+2001-09+2008-09+2020-03""}"
proxy,proxy,24,-3.118007005852631,-2.2790279571007552,2.446879852343936,-2.9535743477432264,-2.5690849685964787,2.638589090417449,"{""first_stage_F"": 6.01}"
maxshare,max-share,24,-1.37067872974991,-1.8314295425696725,-0.5172788816462992,-1.0332152355216573,-1.4385796328768192,-0.4669884126071154,"{""fev_share"": 0.807}"
rigobon,heteroskedasticity,5,1.4328152417041928,-2.9119611446345393,1.885489004028643,0.9279470319154455,-3.2515821015010844,1.299642403599676,"{""u_col"": 1, ""var_ratio"": 1.77, ""n_fail"": 0}"
magmav,heteroskedasticity,24,-1.2457723369692197,-2.22696679026405,1.6077628189060795,-0.9011167989595724,-1.9806137784849613,1.289217892320513,"{""k_breaks"": 4, ""u_col"": 2}"
nongauss,non-Gaussian,24,-1.15412648181578,-1.563479694766537,-0.41645967510908466,-0.7970289653830152,-1.201676369234087,-0.3196566005508309,"{""u_col"": 2, ""kurt"": 25.13, ""n_fail"": 0}"
la_lp,local-projection,16,-0.7986379360564537,-1.4765841662122174,-0.12069170590069,-0.6574673314925336,-1.2071890424216618,-0.10774562056340542,"{""p_aug"": 30}"
narrative_t2,narrative-sign,24,-2.9038707227983287,-3.6581931463934496,-1.3895228213723962,-2.678604402329512,-3.656836360952913,-1.2011278456402543,"{""n_trad"": 1456, ""n_narr"": 463, ""ess"": 206.2, ""events"": ""1987-10+2001-09+2008-09+2020-03"", ""hd_events"": ""2008-09(II)+2020-03(II)""}"
narrative_t3,narrative-sign,24,-2.576158055022712,-3.4330629920834483,-1.3103993316082323,-2.451336639602952,-3.311345883304731,-1.0968395595104115,"{""n_trad"": 1426, ""n_narr"": 380, ""ess"": 181.2, ""events"": ""1987-10+2001-09+2008-09+2020-03"", ""hd_events"": ""2008-09(II)+2020-03(III)""}"
