scheme,p,peak,peak_h,h12,error
chol_first,3,-1.0495452464190582,24,-0.8951843597709249,
chol_last,3,-0.9604999842226555,24,-0.7940302778556089,
sign,3,-2.9934791614419956,17,-2.956889208280871,
proxy,3,-2.90574567693203,18,-2.864616375425451,
maxshare,3,-1.1919202659789527,24,-1.0519827712411183,
chol_first,6,-1.2253287880104302,24,-0.8715264889489279,
chol_last,6,-1.1097209890018624,24,-0.73726761213548,
sign,6,-3.318045449749856,24,-3.025893888576102,
proxy,6,-3.118007005852631,24,-2.9535743477432264,
maxshare,6,-1.37067872974991,24,-1.0332152355216573,
chol_first,12,-1.1707391813072046,24,-0.8156043854680366,
chol_last,12,-1.0593873949338464,24,-0.6603035173098237,
sign,12,-3.2984890991613662,11,-3.1797006936653167,
proxy,12,-2.397412429224949,24,-2.2697030358923627,
maxshare,12,-1.2700976478552997,24,-0.966906144460338,
