proxy,sample,detrend,scheme,family,sigma_hat,se,resp_h12,peak_h,n_obs,error,diag_n_fail,ci_lo,ci_hi,diag_n_accepted,diag_n_trad,diag_n_narr,diag_ess,diag_events,diag_first_stage_F,diag_fev_share,diag_u_col,diag_var_ratio,diag_k_breaks,diag_kurt,diag_p_aug,diag_hd_events
jln,pre2020,fd,proxy,proxy,-46.75623780391811,35.555641083144735,-46.7237596821137,14,714,,,-105.2400629981135,11.727587390277279,,,,,,12.81,,,,,,,
jln,pre2020,lt,proxy,proxy,-44.69052538386986,27.846557875447925,-43.03865938562639,8,714,,,-90.49403710341446,1.1129863356747407,,,,,,13.64,,,,,,,
jln,full,lt,proxy,proxy,-38.32812954218568,22.786111162255512,-33.31280532657279,4,786,,,-75.80794713154108,-0.8483119528302723,,,,,,3.89,,,,,,,
jln,full,fd,proxy,proxy,-36.777404356259574,32.090289338326876,-33.44657462525294,6,786,,,-89.5612331643287,16.00642445180955,,,,,,3.66,,,,,,,
jln,pre2020,fd,sign,sign,-17.960382773583127,9.859298544393178,-17.225992509543786,24,714,,,-34.17748574352562,-1.743279803640636,291.0,,,,,,,,,,,,
jln,post1985,fd,proxy,proxy,-16.068445078880014,16.622620828062864,-15.269851355995515,24,492,,,-43.410223237358295,11.27333307959827,,,,,,2.61,,,,,,,
jln,pre2020,fd,rigobon,heteroskedasticity,-15.264880780241295,6.115482969596261,-13.614329755806128,24,714,,0.0,-25.323955123341666,-5.205806437140925,,,,,,,,3.0,3.28,,,,
jln,pre2020,lt,sign,sign,-15.185142464060338,6.53182509590222,-15.181926453926119,13,714,,,-25.929038663667754,-4.441246264452923,328.0,,,,,,,,,,,,
wui,post1985,fd,proxy,proxy,-15.175771485248982,9.904621323170597,-11.45285080557204,1,475,,,-31.467423792247025,1.1158808217490641,,,,,,3.39,,,,,,,
wui,post1985,lt,proxy,proxy,-14.850683684378149,8.892964200867569,-10.335698802602014,1,475,,,-29.47830810452477,-0.22305926423152833,,,,,,3.29,,,,,,,
jln,full,lt,sign,sign,-14.666522245176465,6.190336204341596,-14.030296976102727,7,786,,,-24.84871920293675,-4.48432528741618,324.0,,,,,,,,,,,,
jln,full,fd,sign,sign,-14.584057773411196,9.98249050914388,-14.07898081090421,24,786,,,-31.003793493385153,1.835677946562761,220.0,,,,,,,,,,,,
jln,post1985,fd,rigobon,heteroskedasticity,-13.240432933894715,5.26136032888592,-12.848608128429683,24,492,,0.0,-21.89460055356131,-4.586265314228118,,,,,,,,2.0,5.32,,,,
jln,post1985,lt,proxy,proxy,-12.781423649348838,6.210563602152759,-12.601755505858913,17,492,,,-22.996891715762604,-2.5659555829350715,,,,,,2.71,,,,,,,
jln,post1985,lt,rigobon,heteroskedasticity,-12.640705981662283,3.9249990081855892,-12.640705981662283,12,492,,0.0,-19.09675483605728,-6.184657127267285,,,,,,,,2.0,5.24,,,,
jln,post1985,lt,sign,sign,-11.83019128756177,6.696749800476982,-11.83019128756177,12,492,,,-22.84536448566288,-0.8150180894606578,254.0,,,,,,,,,,,,
jln,pre2020,fd,maxshare,max-share,-11.811378594413364,4.250458123395768,-10.003875436425353,24,714,,,-18.802760054886242,-4.819997133940486,,,,,,,0.015,,,,,,
jln,pre2020,lt,rigobon,heteroskedasticity,-11.557324014432453,4.764378004892466,-11.480094324805268,10,714,,0.0,-19.394028455947645,-3.7206195729172613,,,,,,,,3.0,3.23,,,,
jln,post1985,fd,sign,sign,-11.218615449262726,7.5783653668363415,-10.683410896846778,24,492,,,-23.68391720926691,1.2466863107414543,132.0,,,,,,,,,,,,
jln,full,fd,rigobon,heteroskedasticity,-11.15680584082502,4.441506714157793,-10.87030797020406,24,786,,0.0,-18.462434268736782,-3.851177412913259,,,,,,,,2.0,5.21,,,,
wui,full,fd,proxy,proxy,-10.966958626001638,9.648105901836459,-10.508747640533027,7,841,,,-26.836680611849243,4.902763359845967,,,,,,4.13,,,,,,,
jln,pre2020,fd,chol_first,recursive,-10.911813439494484,3.9513710908701354,-9.230557019628895,24,714,,0.0,-17.411240509743422,-4.412386369245547,,,,,,,,,,,,,
jln,full,lt,rigobon,heteroskedasticity,-10.510646748319855,4.381170400621333,-10.496066284214285,14,786,,0.0,-17.71703077207429,-3.3042627245654224,,,,,,,,2.0,5.19,,,,
jln,post1985,lt,narrative_t3,narrative-sign,-10.214737360592853,1.1906366304188123,-10.202086456794415,10,492,,,-12.173160340518516,-8.25631438066719,,269.0,28.0,12.8,1987-10+2001-09+2008-09+2020-03,,,,,,,,2008-09(II)+2020-03(III)
wui,full,lt,proxy,proxy,-10.17197879096627,6.02892371138363,-9.787250920788818,6,841,,,-20.088675824249364,-0.25528175768317496,,,,,,4.41,,,,,,,
jln,post1985,lt,narrative_t2,narrative-sign,-9.36790384666073,1.1616250724665205,-9.331523721472356,9,492,,,-11.278607060265053,-7.457200633056406,,273.0,17.0,10.8,1987-10+2001-09+2008-09+2020-03,,,,,,,,2008-09(II)+2020-03(II)
jln,full,lt,magmav,heteroskedasticity,-9.349260852630843,,-9.252017044000707,16,786,,,,,,,,,,,,2.0,,4.0,,,
jln,full,lt,narrative_t2,narrative-sign,-9.262557808083368,1.4046802040018316,-9.221596861449742,13,786,,,-11.573051136342714,-6.952064479824022,,305.0,50.0,33.0,1987-10+2001-09+2008-09+2020-03,,,,,,,,2008-09(II)+2020-03(II)
epu,pre2020,fd,proxy,proxy,-9.190580000101331,7.578545022254267,-8.805898555321443,24,786,,,-21.656177266971287,3.275017266768625,,,,,,9.68,,,,,,,
jln,full,lt,narrative_t3,narrative-sign,-9.12487903531034,1.292715683630566,-9.058610507494725,14,786,,,-11.251207116147128,-6.998550954473551,,307.0,46.0,34.8,1987-10+2001-09+2008-09+2020-03,,,,,,,,2008-09(II)+2020-03(III)
jln,full,fd,maxshare,max-share,-9.05604716112236,5.02104763105611,-7.752115941873813,24,786,,,-17.314935568161097,-0.79715875408362,,,,,,,0.023,,,,,,
jln,pre2020,lt,narrative_t2,narrative-sign,-8.845612445911552,2.950526421122512,-8.705587792344176,10,714,,,-13.698796531111062,-3.992428360712042,,318.0,77.0,50.5,1987-10+2001-09+2008-09,,,,,,,,2008-09(II)
jln,full,fd,chol_first,recursive,-8.833839092821307,4.290756323210432,-7.772320773904882,24,786,,0.0,-15.891505193418949,-1.7761729922236658,,,,,,,,,,,,,
jln,pre2020,lt,narrative,narrative-sign,-8.81703541116718,3.835584340153555,-8.62766205811875,8,714,,,-15.126010224547024,-2.5080605977873347,,331.0,117.0,117.0,1987-10+2001-09+2008-09,,,,,,,,
jln,full,lt,narrative,narrative-sign,-8.7472402221246,2.988965052402257,-8.384747446083196,17,786,,,-13.66365022939965,-3.8308302148495494,,320.0,79.0,79.0,1987-10+2001-09+2008-09+2020-03,,,,,,,,
jln,post1985,lt,narrative,narrative-sign,-8.70604315402837,3.3331129163919955,-8.668783174545707,11,492,,,-14.188526023594543,-3.223560284462197,,256.0,59.0,59.0,1987-10+2001-09+2008-09+2020-03,,,,,,,,
jln,pre2020,fd,chol_last,recursive,-8.518584678670335,3.548505036381355,-6.888278214815632,24,714,,0.0,-14.355356058017772,-2.681813299322897,,,,,,,,,,,,,
jln,full,fd,nongauss,non-Gaussian,-8.37914912295845,3.2839958079236267,-7.708176663194981,24,786,,0.0,-13.780841538515059,-2.977456707401843,,,,,,,,2.0,,,16.6,,
jln,pre2020,lt,maxshare,max-share,-8.301014145917529,1.7968399929926575,-8.110247663927908,17,714,,,-11.25655292544296,-5.345475366392098,,,,,,,0.015,,,,,,
jln,post1985,fd,maxshare,max-share,-8.234086641116434,6.770364464438375,-7.595791346552555,24,492,,,-19.370345186231255,2.902171903998388,,,,,,,0.02,,,,,,
epu,pre2020,lt,proxy,proxy,-8.175751861385448,4.459021199070834,-8.12855066915841,15,786,,,-15.510189053330613,-0.8413146694402842,,,,,,9.54,,,,,,,
jln,post1985,fd,chol_first,recursive,-7.976553600368458,5.372776751095279,-7.453327037111352,24,492,,0.0,-16.813984926208075,0.860877725471159,,,,,,,,,,,,,
jln,full,lt,chol_first,recursive,-7.870532552562276,1.5564915964562154,-7.377285031937071,23,786,,0.0,-10.430733400312768,-5.310331704811783,,,,,,,,,,,,,
jln,full,lt,maxshare,max-share,-7.704489763221694,1.7479751869776199,-7.038621908384468,24,786,,,-10.57965308934301,-4.829326437100379,,,,,,,0.023,,,,,,
jln,pre2020,lt,chol_first,recursive,-7.610630843655524,1.4548438234364978,-7.475067033706759,17,714,,0.0,-10.003635983282994,-5.217625704028054,,,,,,,,,,,,,
jln,post1985,lt,maxshare,max-share,-7.416419784023522,2.112871554865691,-7.218929385642229,19,492,,,-10.891784224326951,-3.9410553437200937,,,,,,,0.019,,,,,,
jln,post1985,lt,chol_first,recursive,-7.218268926189905,1.933588811667324,-7.114486336291306,18,492,,0.0,-10.39873949609369,-4.03779835628612,,,,,,,,,,,,,
jln,pre2020,lt,la_lp,local-projection,-6.909381052296196,1.575587531858209,-6.609170837346385,13,714,,,-9.500991918652689,-4.317770185939702,,,,,,,,,,,,30.0,
jln,post1985,fd,nongauss,non-Gaussian,-6.856024815857869,2.0258639740274447,-6.56136123913917,24,492,,0.0,-10.188274521247234,-3.5237751104685033,,,,,,,,1.0,,,19.69,,
jln,post1985,lt,magmav,heteroskedasticity,-6.66299289550256,,-6.615718141886689,10,492,,,,,,,,,,,,2.0,,4.0,,,
vix,pre2020,lt,narrative_t2,narrative-sign,-6.661603168421804,1.7467883559173571,-6.661603168421804,12,360,,,-9.534814331169068,-3.78839200567454,,255.0,113.0,17.2,2001-09+2008-09,,,,,,,,2008-09(II)
jln,post1985,lt,nongauss,non-Gaussian,-6.520119200915699,2.2406364390213303,-6.483669578297439,10,492,,0.0,-10.205638174319565,-2.8346002275118334,,,,,,,,1.0,,,20.44,,
jln,full,lt,la_lp,local-projection,-6.458609496987717,1.6185239032638319,-6.262566355312355,13,786,,,-9.120844409578885,-3.796374584396549,,,,,,,,,,,,30.0,
jln,full,lt,chol_last,recursive,-6.291100864586159,1.4655037895488523,-5.362309088601647,24,786,,0.0,-8.701640088136717,-3.8805616410356025,,,,,,,,,,,,,
jln,full,fd,chol_last,recursive,-6.212888181223961,3.2643148080529403,-5.242937630014977,24,786,,0.0,-11.58220823276124,-0.843568129686683,,,,,,,,,,,,,
jln,post1985,lt,la_lp,local-projection,-5.946187011332381,1.7036277462075102,-5.163205622613868,5,492,,,-8.748405288656967,-3.143968734007796,,,,,,,,,,,,30.0,
vix,pre2020,fd,sign,sign,-5.758453958527231,2.4370275475301613,-5.541506900862836,18,360,,,-9.767007559062868,-1.749900357991594,183.0,,,,,,,,,,,,
jln,pre2020,lt,chol_last,recursive,-5.670460088073692,1.6706330147229522,-5.347540995204163,21,714,,0.0,-8.418406861645611,-2.9225133145017717,,,,,,,,,,,,,
epu,pre2020,fd,sign,sign,-5.496779930325806,3.504382695098931,-5.1636364579499325,24,786,,,-11.260976516585258,0.26741665593364594,280.0,,,,,,,,,,,,
jln,full,lt,nongauss,non-Gaussian,-5.20646927450507,2.1025417044647234,-4.0363523554089875,24,786,,0.0,-8.6648426229106,-1.748095926099539,,,,,,,,2.0,,,11.31,,
wui,full,lt,narrative_t2,narrative-sign,-4.80717197451162,0.7273589779312841,-4.741962096307051,8,841,,,-6.003571027457609,-3.6107729215656317,,272.0,27.0,13.4,1987-10+2001-09+2008-09+2020-03,,,,,,,,2008-09(II)+2020-03(II)
jln,post1985,fd,chol_last,recursive,-4.76827005156085,4.202499065288533,-4.437436251712088,24,492,,0.0,-11.680765881360866,2.144225778239165,,,,,,,,,,,,,
vix,pre2020,fd,rigobon,heteroskedasticity,-4.707602343690539,1.3581545640427053,-4.544517335574861,18,360,,0.0,-6.941567804316878,-2.4736368830641995,,,,,,,,2.0,3.47,,,,
jln,post1985,lt,chol_last,recursive,-4.428603013907064,0.6095301004388247,-4.284372627478069,3,492,,0.0,-5.4311908103499595,-3.426015217464168,,,,,,,,,,,,,
wui,full,lt,narrative_t3,narrative-sign,-4.188762944950335,0.4894698492292136,-4.131585857759685,8,841,,,-4.993869201738398,-3.383656688162273,,298.0,35.0,18.5,1987-10+2001-09+2008-09+2020-03,,,,,,,,2008-09(II)+2020-03(III)
wui,post1985,lt,narrative,narrative-sign,-4.171677979360667,1.25849972116873,-4.16988206939839,13,475,,,-6.241725810242469,-2.101630148478865,,247.0,109.0,109.0,1987-10+2001-09+2008-09+2020-03,,,,,,,,
epu,pre2020,lt,sign,sign,-4.118347115983409,1.784497101021345,-3.8341170639608797,19,786,,,-7.053583644882756,-1.1831105870840615,319.0,,,,,,,,,,,,
wui,full,lt,sign,sign,-3.975805880203976,1.5874465087683889,-3.8627797802449715,7,841,,,-6.586923027743113,-1.3646887326648396,267.0,,,,,,,,,,,,
vix,pre2020,lt,sign,sign,-3.9456326212084454,2.019238136455171,-3.9456326212084454,12,360,,,-7.266983793635465,-0.6242814487814261,266.0,,,,,,,,,,,,
wui,post1985,lt,narrative_t2,narrative-sign,-3.9226454484893396,0.47073333485424346,-3.9226454484893396,12,475,,,-4.696932881651303,-3.1483580153273754,,218.0,26.0,12.8,1987-10+2001-09+2008-09+2020-03,,,,,,,,2008-09(II)+2020-03(II)
epu,full,lt,sign,sign,-3.8515429340060208,1.513346218119125,-3.623076485498622,21,857,,,-6.340775949712557,-1.3623099182994842,313.0,,,,,,,,,,,,
epu,full,fd,sign,sign,-3.8196019532575605,2.561137485211891,-3.601855034548544,24,857,,,-8.032298234929712,0.39309432841459113,223.0,,,,,,,,,,,,
vix,pre2020,lt,narrative,narrative-sign,-3.8059850073440984,1.4968127516319345,-3.8059850073440984,12,360,,,-6.268022890733099,-1.3439471239550977,,269.0,222.0,222.0,2001-09+2008-09,,,,,,,,
wui,pre2020,fd,proxy,proxy,-3.713618729831772,3.1133403629940433,-3.704293080677305,14,786,,,-8.834607917836937,1.4073704581733928,,,,,,4.99,,,,,,,
vix,pre2020,lt,rigobon,heteroskedasticity,-3.569878322193682,0.987771696822293,-3.569878322193682,12,360,,0.0,-5.19461818031184,-1.9451384640755234,,,,,,,,2.0,3.25,,,,
wui,post1985,fd,sign,sign,-3.561928125292518,1.8666971183925627,-3.515160202902928,17,475,,,-6.632371650900387,-0.49148459968464975,95.0,,,,,,,,,,,,
jln,pre2020,fd,nongauss,non-Gaussian,-3.5511597092209892,5.595835491538033,-1.9372669431582992,24,714,,0.0,-12.755490013301097,5.653170594859118,,,,,,,,3.0,,,1.92,,
