code,date,variable,value,price_base
AUS,1994-01-01,conh_nom,67288.0,V
AUS,1994-04-01,conh_nom,68031.0,V
AUS,1994-07-01,conh_nom,69624.0,V
AUS,1994-10-01,conh_nom,70344.0,V
AUS,1995-01-01,conh_nom,71664.0,V
AUS,1995-04-01,conh_nom,73328.0,V
AUS,1995-07-01,conh_nom,74135.0,V
AUS,1995-10-01,conh_nom,75223.0,V
AUS,1996-01-01,conh_nom,76331.0,V
AUS,1996-04-01,conh_nom,77113.0,V
AUS,1996-07-01,conh_nom,77335.0,V
AUS,1996-10-01,conh_nom,78343.0,V
AUS,1997-01-01,conh_nom,79490.0,V
AUS,1997-04-01,conh_nom,80830.0,V
AUS,1997-07-01,conh_nom,82256.0,V
AUS,1997-10-01,conh_nom,83804.0,V
AUS,1998-01-01,conh_nom,84516.0,V
AUS,1998-04-01,conh_nom,86172.0,V
AUS,1998-07-01,conh_nom,87938.0,V
AUS,1998-10-01,conh_nom,88886.0,V
AUS,1999-01-01,conh_nom,90633.0,V
AUS,1999-04-01,conh_nom,91709.0,V
AUS,1999-07-01,conh_nom,93185.0,V
AUS,1999-10-01,conh_nom,94921.0,V
AUS,2000-01-01,conh_nom,95844.0,V
AUS,2000-04-01,conh_nom,97433.0,V
AUS,2000-07-01,conh_nom,100936.0,V
AUS,2000-10-01,conh_nom,101881.0,V
AUS,2001-01-01,conh_nom,103698.0,V
AUS,2001-04-01,conh_nom,105146.0,V
AUS,2001-07-01,conh_nom,105625.0,V
AUS,2001-10-01,conh_nom,107482.0,V
AUS,2002-01-01,conh_nom,109464.0,V
AUS,2002-04-01,conh_nom,111752.0,V
AUS,2002-07-01,conh_nom,114311.0,V
AUS,2002-10-01,conh_nom,115586.0,V
AUS,2003-01-01,conh_nom,117253.0,V
AUS,2003-04-01,conh_nom,118070.0,V
AUS,2003-07-01,conh_nom,119986.0,V
AUS,2003-10-01,conh_nom,123298.0,V
AUS,2004-01-01,conh_nom,126281.0,V
AUS,2004-04-01,conh_nom,127401.0,V
AUS,2004-07-01,conh_nom,129169.0,V
AUS,2004-10-01,conh_nom,131617.0,V
AUS,2005-01-01,conh_nom,131780.0,V
AUS,2005-04-01,conh_nom,134980.0,V
AUS,2005-07-01,conh_nom,136993.0,V
AUS,2005-10-01,conh_nom,138362.0,V
AUS,2006-01-01,conh_nom,141416.0,V
AUS,2006-04-01,conh_nom,145362.0,V
AUS,2006-07-01,conh_nom,148049.0,V
AUS,2006-10-01,conh_nom,150588.0,V
AUS,2007-01-01,conh_nom,154913.0,V
AUS,2007-04-01,conh_nom,158202.0,V
AUS,2007-07-01,conh_nom,161599.0,V
AUS,2007-10-01,conh_nom,164904.0,V
AUS,2008-01-01,conh_nom,167251.0,V
AUS,2008-04-01,conh_nom,167822.0,V
AUS,2008-07-01,conh_nom,168736.0,V
AUS,2008-10-01,conh_nom,169525.0,V
AUS,2009-01-01,conh_nom,171287.0,V
AUS,2009-04-01,conh_nom,174836.0,V
AUS,2009-07-01,conh_nom,176635.0,V
AUS,2009-10-01,conh_nom,180412.0,V
AUS,2010-01-01,conh_nom,182570.0,V
AUS,2010-04-01,conh_nom,186115.0,V
AUS,2010-07-01,conh_nom,188069.0,V
AUS,2010-10-01,conh_nom,190417.0,V
AUS,2011-01-01,conh_nom,193645.0,V
AUS,2011-04-01,conh_nom,196321.0,V
AUS,2011-07-01,conh_nom,198599.0,V
AUS,2011-10-01,conh_nom,200003.0,V
AUS,2012-01-01,conh_nom,203831.0,V
AUS,2012-04-01,conh_nom,206577.0,V
AUS,2012-07-01,conh_nom,208903.0,V
AUS,2012-10-01,conh_nom,210348.0,V
AUS,2013-01-01,conh_nom,212526.0,V
AUS,2013-04-01,conh_nom,213978.0,V
AUS,2013-07-01,conh_nom,217451.0,V
AUS,2013-10-01,conh_nom,219587.0,V
AUS,2014-01-01,conh_nom,222397.0,V
AUS,2014-04-01,conh_nom,224094.0,V
AUS,2014-07-01,conh_nom,226243.0,V
AUS,2014-10-01,conh_nom,228393.0,V
AUS,2015-01-01,conh_nom,230035.0,V
AUS,2015-04-01,conh_nom,232615.0,V
AUS,2015-07-01,conh_nom,235308.0,V
AUS,2015-10-01,conh_nom,237130.0,V
AUS,2016-01-01,conh_nom,238566.0,V
AUS,2016-04-01,conh_nom,240364.0,V
AUS,2016-07-01,conh_nom,242545.0,V
AUS,2016-10-01,conh_nom,244833.0,V
AUS,2017-01-01,conh_nom,246879.0,V
AUS,2017-04-01,conh_nom,249399.0,V
AUS,2017-07-01,conh_nom,251379.0,V
AUS,2017-10-01,conh_nom,255199.0,V
AUS,2018-01-01,conh_nom,258089.0,V
AUS,2018-04-01,conh_nom,260705.0,V
AUS,2018-07-01,conh_nom,262498.0,V
AUS,2018-10-01,conh_nom,264492.0,V
AUS,2019-01-01,conh_nom,265988.0,V
AUS,2019-04-01,conh_nom,268571.0,V
AUS,2019-07-01,conh_nom,269164.0,V
AUS,2019-10-01,conh_nom,271294.0,V
AUS,2020-01-01,conh_nom,268668.0,V
AUS,2020-04-01,conh_nom,233959.0,V
AUS,2020-07-01,conh_nom,252469.0,V
AUS,2020-10-01,conh_nom,265661.0,V
AUS,2021-01-01,conh_nom,270991.0,V
AUS,2021-04-01,conh_nom,276485.0,V
AUS,2021-07-01,conh_nom,263961.0,V
AUS,2021-10-01,conh_nom,283709.0,V
AUS,2022-01-01,conh_nom,294125.0,V
AUS,2022-04-01,conh_nom,305284.0,V
AUS,2022-07-01,conh_nom,315021.0,V
AUS,2022-10-01,conh_nom,323867.0,V
AUS,2023-01-01,conh_nom,328910.0,V
AUS,2023-04-01,conh_nom,334523.0,V
AUS,2023-07-01,conh_nom,339012.0,V
AUS,2023-10-01,conh_nom,342384.0,V
AUS,2024-01-01,conh_nom,347372.0,V
AUS,2024-04-01,conh_nom,349919.0,V
AUS,2024-07-01,conh_nom,353116.0,V
AUS,2024-10-01,conh_nom,358273.0,V
AUS,2025-01-01,conh_nom,362599.0,V
AUS,2025-04-01,conh_nom,368613.0,V
AUS,2025-07-01,conh_nom,374133.0,V
AUS,2025-10-01,conh_nom,378740.0,V
AUS,2026-01-01,conh_nom,382863.0,V
AUS,1994-01-01,conh_vol,135129.0,L
AUS,1994-04-01,conh_vol,135863.0,L
AUS,1994-07-01,conh_vol,138442.0,L
AUS,1994-10-01,conh_vol,139217.0,L
AUS,1995-01-01,conh_vol,140813.0,L
AUS,1995-04-01,conh_vol,142565.0,L
AUS,1995-07-01,conh_vol,142937.0,L
AUS,1995-10-01,conh_vol,144519.0,L
AUS,1996-01-01,conh_vol,145821.0,L
AUS,1996-04-01,conh_vol,146735.0,L
AUS,1996-07-01,conh_vol,146976.0,L
AUS,1996-10-01,conh_vol,148086.0,L
AUS,1997-01-01,conh_vol,149556.0,L
AUS,1997-04-01,conh_vol,152049.0,L
AUS,1997-07-01,conh_vol,154341.0,L
AUS,1997-10-01,conh_vol,156500.0,L
AUS,1998-01-01,conh_vol,156949.0,L
AUS,1998-04-01,conh_vol,159469.0,L
AUS,1998-07-01,conh_vol,162633.0,L
AUS,1998-10-01,conh_vol,164167.0,L
AUS,1999-01-01,conh_vol,167145.0,L
AUS,1999-04-01,conh_vol,168204.0,L
AUS,1999-07-01,conh_vol,170137.0,L
AUS,1999-10-01,conh_vol,172442.0,L
AUS,2000-01-01,conh_vol,172944.0,L
AUS,2000-04-01,conh_vol,174411.0,L
AUS,2000-07-01,conh_vol,176367.0,L
AUS,2000-10-01,conh_vol,177440.0,L
AUS,2001-01-01,conh_vol,179005.0,L
AUS,2001-04-01,conh_vol,180066.0,L
AUS,2001-07-01,conh_vol,180526.0,L
AUS,2001-10-01,conh_vol,181898.0,L
AUS,2002-01-01,conh_vol,184204.0,L
AUS,2002-04-01,conh_vol,187100.0,L
AUS,2002-07-01,conh_vol,189666.0,L
AUS,2002-10-01,conh_vol,190589.0,L
AUS,2003-01-01,conh_vol,191715.0,L
AUS,2003-04-01,conh_vol,193173.0,L
AUS,2003-07-01,conh_vol,195769.0,L
AUS,2003-10-01,conh_vol,200296.0,L
AUS,2004-01-01,conh_vol,204222.0,L
AUS,2004-04-01,conh_vol,205404.0,L
AUS,2004-07-01,conh_vol,207829.0,L
