h,y,c,invest,l
1,0.19825063776213,-0.031685890164361,0.946617672179758,0.213119647833275
2,0.213314406794769,-0.0240379445007138,0.985817483417022,0.178872524905932
3,0.214272637799258,-0.0190484104488658,0.973655161834243,0.148346959122815
4,0.248438168306644,-0.00833306754119361,1.08414326496109,0.125626217129377
5,0.249947427167609,-0.0031532264761681,1.07370599778112,0.103090377350555
6,0.247499321358109,0.00138310971738942,1.04852585284748,0.0844341029904946
7,0.256431267740836,0.00761733076844454,1.06623799924602,0.0702887087694471
8,0.260640249978989,0.0127270037302634,1.0675155323061,0.0580342870614621
9,0.252374210489611,0.0157291177008689,1.0225753955593,0.0471493237400079
10,0.242586997112694,0.0177529837867555,0.974347041096374,0.0387971668386561
11,0.24136886124927,0.0210403479509592,0.958464998959995,0.0331974497885481
12,0.236086761762143,0.0235730424969598,0.927748340258217,0.0286318944021727
13,0.222379266543525,0.0246317198225186,0.865981857386652,0.0246823345445608
14,0.218773735590375,0.026996640661909,0.842944488689353,0.0228503389350224
15,0.203922242095701,0.0272855077258195,0.778816149826022,0.0206135846914336
16,0.191618362101534,0.0278401769859124,0.724661962448768,0.0196824403500869
17,0.185437654215264,0.028933255069255,0.694807496920958,0.0199025448833041
18,0.176235404385895,0.0294434465538733,0.653994476203424,0.0200044776115376
19,0.168463748285222,0.0301533865627693,0.618618041580244,0.0205436526197772
20,0.158563931695067,0.0302047686820203,0.576330378073316,0.0208982156469121
21,0.146529348743659,0.029748585150105,0.526611950301743,0.0213322358411982
22,0.137242153763693,0.029584763816497,0.48763120405709,0.0222111518818954
23,0.127280355866694,0.029098305171198,0.446830323740952,0.0230679610697683
24,0.118795425804231,0.0291291724867484,0.41062930138574,0.0236314731389395
25,0.109940938513832,0.0288064302519252,0.37400681740849,0.0239769969502672
26,0.104579858354567,0.0288381042735828,0.351094113372352,0.0248048288644103
27,0.097803892248769,0.0286482436475871,0.322882561234494,0.0250143864298124
28,0.0927142799097376,0.0286646552723078,0.301174536649802,0.0251125266884731
29,0.0876998235479132,0.0287551955224575,0.279545011731164,0.0247951593100459
30,0.0805426191141716,0.0284189577869491,0.250187825998882,0.0239924050469416
31,0.0756914284655107,0.0282734479761832,0.230021207021684,0.0233270258863602
32,0.0709201905131668,0.0280900394666613,0.21031810789226,0.0225942067667793
33,0.0666014595364597,0.0278844143292425,0.192612583408004,0.0217274705845673
34,0.061946407197568,0.0276162054780043,0.173679812426868,0.0205765315007088
35,0.0580947822317182,0.0274837737233086,0.157723448736133,0.0192238449992981
36,0.0531222387055221,0.0271593053745046,0.137622964174977,0.0174344063740338
37,0.0499106852118342,0.0269720172845409,0.12456843117783,0.0159268046142268
38,0.046335928452758,0.0267081494161258,0.110217830655548,0.0142022833222726
39,0.0429188618887911,0.026468665534773,0.0964587877633788,0.0123007503558793
40,0.0389341111558716,0.0260363141069178,0.0809121570761438,0.0104342683991213
