code,date,Y,C,I,K,EMP,H,use_hours,alpha,alpha_c,logA,logS,logD
CAN,2000-01-01,378669.0,248350.3,100028.5,3764282.53619475,14646.9542941406,5306.44027204705,1,0.501115691822371,0.50435738845101,0.956941975000127,-0.069415223962643,
CAN,2000-04-01,383125.8,250562.3,100523.3,3807846.79815183,14734.780560489,5318.87987099215,1,0.498963116036411,0.50435738845101,0.961678908825121,-0.0556712271519985,-0.0323348881543694
CAN,2000-07-01,387053.0,252844.0,102246.0,3851252.39617955,14806.0551468624,5339.89008652845,1,0.501904137040814,0.50435738845101,0.964206514217486,-0.0518885953251145,-0.0275994126773292
CAN,2000-10-01,387818.5,254540.5,100250.8,3895729.61023686,14928.8045301885,5376.4395602822,1,0.50164183320387,0.50435738845101,0.957010074270711,-0.0522950010299712,-0.0622023151099749
CAN,2001-01-01,390001.5,256503.8,98950.5,3937544.46608331,14965.0180305461,5353.34040152635,1,0.503748073785746,0.50435738845101,0.959372584520624,-0.0341800850568338,-0.0384336913276453
CAN,2001-04-01,391228.0,257511.0,100741.1,3977431.79909206,14990.8060042627,5340.49785356363,1,0.502600489218118,0.50435738845101,0.958619536976344,-0.0225883348028278,-0.10398831636273
CAN,2001-07-01,390953.0,258390.8,99889.8,4018511.42210568,14919.285897769,5319.12016398186,1,0.494546910618509,0.50435738845101,0.954722007470509,-0.0290163545625022,-0.103190293818951
CAN,2001-10-01,393297.8,259852.8,96155.3,4058123.55077409,14951.5501298723,5292.94429286094,1,0.490152949540025,0.50435738845101,0.958199553099088,-0.0073982982101813,-0.0553777908194164
CAN,2002-01-01,399048.5,262868.0,96478.8,4093406.99751248,15091.0139926209,5346.84688251151,1,0.493834150383208,0.50435738845101,0.963327212621848,-0.0069627082334157,0.0468380189220953
CAN,2002-04-01,401406.3,265692.7,103051.8,4128484.69254979,15229.0591905285,5381.39808661313,1,0.500463785909678,0.50435738845101,0.961722268795523,-0.0037657041606583,0.034589494677319
CAN,2002-07-01,404877.3,266988.5,104086.3,4169609.22216154,15385.7210957847,5405.84840463417,1,0.501597815543656,0.50435738845101,0.963086218620801,0.0170828799977071,-0.0723997989548595
CAN,2002-10-01,407101.0,269038.3,106434.5,4211151.38382912,15502.0114352518,5418.50474955185,1,0.502810537476552,0.50435738845101,0.962404326853179,0.0304862081370182,-0.0148238512222741
CAN,2003-01-01,409366.0,270843.8,110042.3,4254418.61307168,15584.809068433,5451.14979168143,1,0.50851460057212,0.50435738845101,0.959819930986227,0.0273066559202677,-0.0281734649170827
CAN,2003-04-01,408772.3,272640.7,111188.8,4300644.63387561,15569.8579093935,5418.44197026591,1,0.501890572989044,0.50435738845101,0.9559009899822,0.0344180926066127,-0.0173555854424016
CAN,2003-07-01,410300.5,274160.8,109833.3,4347323.76436747,15676.2740681358,5454.09840175246,1,0.505407312746762,0.50435738845101,0.950936813468764,0.0333471248703057,-0.0304481800726875
CAN,2003-10-01,413121.0,276015.7,112286.3,4391947.20790196,15808.9512230464,5512.66217871962,1,0.503829099902269,0.50435738845101,0.9473432687548,0.0266977277951229,-0.0044592604986493
CAN,2004-01-01,416125.0,278666.5,113661.8,4438354.29978343,15814.218333924,5553.79995244423,1,0.5042924944608,0.50435738845101,0.945602192158808,0.0030801416487477,0.0507789676210046
CAN,2004-04-01,421055.5,279363.5,114617.8,4485440.78528668,15882.3013629271,5605.28578527861,1,0.507557892644494,0.50435738845101,0.947484980152463,-0.00243418225268,-0.0859747973199955
CAN,2004-07-01,426033.8,281933.2,121828.6,4532776.97350738,15975.0887237147,5620.37206572644,1,0.50975523130198,0.50435738845101,0.952612068882073,0.009575579222032,0.0410366297587848
CAN,2004-10-01,429108.5,283895.7,126100.1,4586613.91890477,15997.1686581924,5637.40739491417,1,0.511443368347134,0.50435738845101,0.952348079162315,0.004894283545192,0.0046019716761432
CAN,2005-01-01,430611.3,286319.3,128486.5,4643914.8101212,16057.2903259903,5641.13537185195,1,0.509944042123443,0.50435738845101,0.949254510977477,0.0091600566342768,0.0426112770286068
CAN,2005-04-01,433723.5,288235.5,128728.3,4702742.58796938,16105.0821641064,5646.32740377977,1,0.508759595543895,0.50435738845101,0.949651019048619,0.015847074366033,0.0138701655865577
CAN,2005-07-01,438979.8,290108.0,132367.1,4760929.74914984,16145.0671997443,5672.79292852825,1,0.513305571638534,0.50435738845101,0.953177292907376,0.0148280920392539,0.0104230539281187
CAN,2005-10-01,443339.5,293337.5,133576.3,4821882.90291259,16167.2355223261,5690.40257351435,1,0.516554650900073,0.50435738845101,0.955107338972998,0.0084581067996895,0.0972160500693494
CAN,2006-01-01,446939.0,296243.5,138181.6,4883130.9593689,16234.4263820828,5708.74471692036,1,0.512092140921409,0.50435738845101,0.95523250407289,0.0094740977971527,0.0802357290981623
CAN,2006-04-01,447162.5,298722.0,139863.3,4948065.59497837,16373.223396429,5736.99133550171,1,0.508209477861645,0.50435738845101,0.946623461559922,0.0123747755880944,0.0652274316450094
CAN,2006-07-01,448421.3,300792.5,139271.8,5013707.91105369,16420.1769633069,5714.0882449392,1,0.505321156514297,0.50435738845101,0.944770302163118,0.0288699269619093,0.0490563633721827
CAN,2006-10-01,450207.0,303509.5,136719.0,5077774.09238789,16468.2355157614,5715.15700228413,1,0.501361268157944,0.50435738845101,0.942247938467681,0.0320584657585969,0.0964048867805394
CAN,2007-01-01,453080.3,305631.8,139426.3,5138326.48100207,16578.7292136656,5736.67778880389,1,0.5027829553357,0.50435738845101,0.940768088815887,0.0402379761780024,0.0644206212451408
CAN,2007-04-01,457455.8,308623.2,140619.6,5200677.88378704,16652.2180171282,5791.06467337985,1,0.504014938361499,0.50435738845101,0.939618825412825,0.0250699408944278,0.117864112763519
CAN,2007-07-01,459169.8,312351.8,145435.3,5263287.31553023,16709.4120460041,5827.89547784934,1,0.502330860901704,0.50435738845101,0.93418080721325,0.0080675583093606,0.16607970950807
CAN,2007-10-01,459773.3,316375.2,148703.3,5329773.30579728,16839.1940755059,5872.3061551731,1,0.50328948188479,0.50435738845101,0.925400462209794,-0.0029811525482881,0.190891091980625
CAN,2008-01-01,460118.3,317931.0,149632.8,5398530.00621032,16919.2755641312,5886.13736933495,1,0.504749293957843,0.50435738845101,0.918519673844574,3.88934560178603e-05,0.0587942988930031
CAN,2008-04-01,461794.8,320550.2,148104.8,5467184.85611716,16913.3721042195,5875.70541650459,1,0.511100195058207,0.50435738845101,0.916662249331133,-0.0002539643705338,0.130454549274231
CAN,2008-07-01,465589.5,320944.5,149275.3,5533281.88327541,16882.9311417012,5863.75945147619,1,0.513632243383346,0.50435738845101,0.919793677953628,0.0074016569814319,-0.002888813114117
CAN,2008-10-01,460187.3,320912.5,141166.0,5599557.95502627,16866.8995648922,5788.5149766395,1,0.491153295925402,0.50435738845101,0.908519063491575,0.0317260245759461,-0.0076066516417686
CAN,2009-01-01,449802.8,320811.7,128716.1,5656730.58570088,16678.924534432,5632.32436897214,1,0.47758330165319,0.50435738845101,0.894128860405277,0.0576550310704855,0.0207382095949202
