date,ophnfb,hoanbs,cnp16ov
1948-01-01,23.097,42.582,102690.6667
1948-04-01,23.036,42.564,102915.3333
1948-07-01,23.061,42.864,103249.0
1948-10-01,23.162,42.471,103417.6667
1949-01-01,23.398,41.756,103584.3333
1949-04-01,23.639,41.068,103838.0
1949-07-01,24.204,40.626,104127.3333
1949-10-01,24.073,40.452,104427.6667
1950-01-01,24.899,40.769,104733.3333
1950-04-01,25.205,41.777,105020.3333
1950-07-01,25.752,43.091,105248.3333
1950-10-01,25.799,43.49,104982.3333
1951-01-01,25.827,44.221,104692.3333
1951-04-01,25.747,44.575,104506.6667
1951-07-01,26.319,44.148,104542.6667
1951-10-01,26.398,44.17,104746.6667
1952-01-01,26.533,44.455,104863.3333
1952-04-01,26.48,44.268,105006.6667
1952-07-01,26.35,44.588,105342.6667
1952-10-01,26.908,45.771,105703.0
1953-01-01,27.143,46.241,106672.0
1953-04-01,27.207,46.326,106904.6667
1953-07-01,27.322,45.871,107139.6667
1953-10-01,27.226,45.155,107503.3333
1954-01-01,27.283,44.548,107876.6667
1954-04-01,27.473,44.214,108177.0
1954-07-01,27.968,44.043,108443.3333
1954-10-01,28.283,44.588,108786.0
1955-01-01,28.841,45.304,109130.3333
1955-04-01,28.94,45.898,109533.6667
1955-07-01,29.045,46.379,109883.6667
1955-10-01,28.941,46.937,110186.0
1956-01-01,28.592,47.224,110483.3333
1956-04-01,28.733,47.325,110787.6667
1956-07-01,28.729,47.133,111113.3333
1956-10-01,29.037,47.395,111431.0
1957-01-01,29.369,47.44,111720.3333
1957-04-01,29.253,47.339,112045.3333
1957-07-01,29.664,47.111,112430.6667
1957-10-01,29.762,46.139,112865.6667
1958-01-01,29.353,45.106,113236.3333
1958-04-01,29.914,44.444,113532.0
1958-07-01,30.476,44.977,113846.3333
1958-10-01,30.996,45.648,114283.3333
1959-01-01,31.034,46.533,114714.3333
1959-04-01,31.336,47.413,115139.0
1959-07-01,31.379,47.274,115550.6667
1959-10-01,31.277,47.287,115918.0
1960-01-01,32.007,47.584,116707.6667
1960-04-01,31.508,47.663,117036.6667
1960-07-01,31.696,47.397,117411.0
1960-10-01,31.277,46.964,117824.3333
1961-01-01,31.681,46.693,118254.3333
1961-04-01,32.514,46.586,118636.0
1961-07-01,33.067,46.862,119000.6667
1961-10-01,33.351,47.455,119189.6667
1962-01-01,33.896,47.631,119378.6667
1962-04-01,33.761,48.197,119819.3333
1962-07-01,34.323,48.098,120368.0
1962-10-01,34.575,47.803,121045.6667
1963-01-01,34.679,48.09,121640.0
1963-04-01,34.942,48.398,122166.6667
1963-07-01,35.799,48.53,122669.6667
1963-10-01,35.775,48.908,123188.6667
1964-01-01,35.999,49.921,123708.0
1964-04-01,36.196,50.141,124203.0
1964-07-01,36.569,50.463,124739.3333
1964-10-01,36.216,50.955,125289.0
1965-01-01,36.735,51.743,125814.0
1965-04-01,36.905,52.256,126324.6667
1965-07-01,37.655,52.386,126745.0
1965-10-01,38.308,52.884,127169.3333
1966-01-01,38.83,53.641,127511.3333
1966-04-01,38.561,54.166,127868.6667
1966-07-01,38.688,54.42,128233.6667
1966-10-01,38.928,54.285,128617.0
1967-01-01,39.236,54.226,129043.6667
1967-04-01,39.38,53.9,129527.0
1967-07-01,39.581,54.081,130165.6667
1967-10-01,39.695,54.327,130757.3333
1968-01-01,40.581,54.425,131267.0
1968-04-01,40.961,54.945,131712.3333
1968-07-01,40.977,55.333,132250.0
1968-10-01,40.879,55.677,132880.0
1969-01-01,41.204,56.198,133476.0
1969-04-01,40.867,56.718,134020.3333
1969-07-01,40.909,56.998,134595.0
1969-10-01,40.703,56.836,135246.6667
1970-01-01,40.829,56.614,135949.6667
1970-04-01,41.426,55.878,136676.6667
1970-07-01,42.076,55.604,137456.0
1970-10-01,41.69,55.183,138260.3333
1971-01-01,42.925,55.438,139033.6667
1971-04-01,43.047,55.621,139827.3333
1971-07-01,43.454,55.624,140602.6667
1971-10-01,43.077,56.218,141401.6667
1972-01-01,43.751,56.853,143005.3333
1972-04-01,44.613,57.266,143758.6667
1972-07-01,44.869,57.592,144522.6667
1972-10-01,45.248,58.197,145215.0
1973-01-01,46.272,59.069,145964.3333
1973-04-01,46.289,59.686,146719.6667
1973-07-01,45.855,60.089,147478.3333
1973-10-01,45.57,60.39,148226.0
1974-01-01,45.46,60.141,148986.6667
1974-04-01,45.324,60.304,149746.6667
1974-07-01,44.859,60.099,150498.0
1974-10-01,45.259,59.117,151253.0
1975-01-01,45.595,57.287,151987.3333
1975-04-01,46.319,56.763,152707.6667
1975-07-01,46.885,57.28,153579.0
1975-10-01,46.936,58.256,154336.3333
1976-01-01,47.631,59.214,155075.0
1976-04-01,48.069,59.246,155773.6667
1976-07-01,48.182,59.483,156526.6667
1976-10-01,48.32,59.803,157222.0
1977-01-01,48.632,60.434,157910.6667
1977-04-01,48.831,61.58,158652.3333
1977-07-01,49.343,62.242,159429.6667
1977-10-01,48.715,62.855,160140.3333
1978-01-01,48.743,63.147,160828.6667
1978-04-01,49.712,64.986,161525.3333
1978-07-01,49.743,65.536,162265.0
1978-10-01,50.07,66.329,163024.0
1979-01-01,49.615,66.806,163756.3333
1979-04-01,49.523,67.019,164447.3333
1979-07-01,49.463,67.631,165199.6667
1979-10-01,49.405,67.785,166054.6667
1980-01-01,49.639,67.622,166762.3333
1980-04-01,49.122,66.401,167415.6667
1980-07-01,49.316,66.098,168110.6667
1980-10-01,49.817,66.987,168693.6667
1981-01-01,50.584,67.373,169279.0
1981-04-01,49.93,67.425,169837.3333
1981-07-01,50.397,67.387,170412.6667
1981-10-01,49.862,67.093,170990.3333
1982-01-01,49.612,65.964,171497.0
1982-04-01,49.626,66.268,172020.0
1982-07-01,49.724,65.795,172521.6667
1982-10-01,50.161,65.182,173046.0
1983-01-01,50.843,65.578,173505.0
1983-04-01,51.956,66.343,173957.3333
1983-07-01,52.08,67.669,174449.3333
1983-10-01,52.38,68.939,174950.3333
1984-01-01,52.633,70.258,175678.6667
1984-04-01,52.926,71.173,176125.3333
1984-07-01,53.149,71.482,176595.3333
1984-10-01,53.208,71.947,177132.3333
1985-01-01,53.378,72.522,177522.3333
1985-04-01,53.546,73.017,177946.3333
1985-07-01,54.228,73.222,178413.3333
1985-10-01,54.445,73.589,178940.6667
1986-01-01,55.09,73.483,179825.3333
1986-04-01,55.522,73.284,180320.6667
1986-07-01,55.759,73.655,180835.6667
1986-10-01,55.639,74.209,181365.3333
1987-01-01,55.376,75.133,182001.3333
1987-04-01,55.749,75.564,182526.6667
1987-07-01,55.761,76.09,183016.0
1987-10-01,56.319,76.876,183467.0
1988-01-01,56.533,76.947,183967.3333
1988-04-01,56.686,78.029,184389.3333
1988-07-01,56.806,78.239,184840.3333
1988-10-01,56.869,79.117,185253.3333
1989-01-01,56.967,79.91,185772.6667
