county_fips,state_fips,state,county_name,lat,lon,land_sqmi
01001,01,AL,Autauga County,32.53224,-86.64644,594.455
01003,01,AL,Baldwin County,30.65922,-87.74607,1589.863
01005,01,AL,Barbour County,31.87025,-85.4051,885.008
01007,01,AL,Bibb County,33.01589,-87.12715,622.47
01009,01,AL,Blount County,33.97736,-86.56644,644.891
01011,01,AL,Bullock County,32.10176,-85.71726,622.815
01013,01,AL,Butler County,31.75167,-86.68197,776.839
01015,01,AL,Calhoun County,33.77052,-85.82791,605.89
01017,01,AL,Chambers County,32.9155,-85.39403,596.554
01019,01,AL,Cherokee County,34.06952,-85.65424,553.524
01021,01,AL,Chilton County,32.85405,-86.72661,692.837
01023,01,AL,Choctaw County,31.99095,-88.24889,913.479
01025,01,AL,Clarke County,31.68552,-87.81862,1238.42
01027,01,AL,Clay County,33.2704,-85.86352,603.962
01029,01,AL,Cleburne County,33.67196,-85.51613,560.105
01031,01,AL,Coffee County,31.40226,-85.9896,678.986
01033,01,AL,Colbert County,34.70311,-87.80146,592.953
01035,01,AL,Conecuh County,31.43093,-86.98872,850.279
01037,01,AL,Coosa County,32.93144,-86.24348,650.909
01039,01,AL,Covington County,31.24399,-86.44872,1030.571
01041,01,AL,Crenshaw County,31.73031,-86.32004,608.865
01043,01,AL,Cullman County,34.13192,-86.86927,734.739
01045,01,AL,Dale County,31.43065,-85.60948,561.113
01047,01,AL,Dallas County,32.33353,-87.11436,978.738
01049,01,AL,DeKalb County,34.46092,-85.80402,777.077
01051,01,AL,Elmore County,32.59723,-86.14274,618.516
01053,01,AL,Escambia County,31.12229,-87.16841,945.408
01055,01,AL,Etowah County,34.04764,-86.03426,535.105
01057,01,AL,Fayette County,33.71616,-87.76429,627.684
01059,01,AL,Franklin County,34.44199,-87.84281,633.959
01061,01,AL,Geneva County,31.09238,-85.82102,574.485
01063,01,AL,Greene County,32.8445,-87.9642,647.023
01065,01,AL,Hale County,32.7528,-87.62306,643.99
01067,01,AL,Henry County,31.51698,-85.23997,561.892
01069,01,AL,Houston County,31.15818,-85.29641,579.826
01071,01,AL,Jackson County,34.76411,-85.98006,1078.015
01073,01,AL,Jefferson County,33.55344,-86.89654,1111.54
01075,01,AL,Lamar County,33.78708,-88.08743,604.846
01077,01,AL,Lauderdale County,34.90417,-87.65111,668.018
01079,01,AL,Lawrence County,34.52978,-87.32186,690.684
01081,01,AL,Lee County,32.60406,-85.35305,607.545
01083,01,AL,Limestone County,34.81024,-86.9814,563.404
01085,01,AL,Lowndes County,32.14789,-86.65059,716.085
01087,01,AL,Macon County,32.38703,-85.69289,608.665
01089,01,AL,Madison County,34.76424,-86.55108,801.602
01091,01,AL,Marengo County,32.24759,-87.79109,976.898
01093,01,AL,Marion County,34.13822,-87.88155,742.342
01095,01,AL,Marshall County,34.30956,-86.32167,565.845
01097,01,AL,Mobile County,30.68457,-88.19657,1229.374
01099,01,AL,Monroe County,31.58035,-87.38334,1025.669
01101,01,AL,Montgomery County,32.20288,-86.20446,785.355
01103,01,AL,Morgan County,34.45448,-86.8464,579.669
01105,01,AL,Perry County,32.639,-87.29383,719.67
01107,01,AL,Pickens County,33.2968,-88.09686,881.408
01109,01,AL,Pike County,31.79865,-85.94161,672.067
01111,01,AL,Randolph County,33.29646,-85.46406,580.55
01113,01,AL,Russell County,32.28981,-85.18698,641.182
01115,01,AL,St. Clair County,33.71949,-86.31133,631.57
01117,01,AL,Shelby County,33.26689,-86.66101,785.441
01119,01,AL,Sumter County,32.59748,-88.20006,903.826
01121,01,AL,Talladega County,33.36931,-86.17593,736.817
01123,01,AL,Tallapoosa County,32.86331,-85.79962,716.528
01125,01,AL,Tuscaloosa County,33.29022,-87.52278,1320.848
01127,01,AL,Walker County,33.79156,-87.30109,791.03
01129,01,AL,Washington County,31.4085,-88.2124,1080.255
01131,01,AL,Wilcox County,31.99008,-87.30494,887.858
01133,01,AL,Winston County,34.15457,-87.36535,612.998
02013,02,AK,Aleutians East Borough,55.24504,-161.99748,6986.254
02016,02,AK,Aleutians West Census Area,51.94896,179.62119,4393.026
02020,02,AK,Anchorage Municipality,61.17425,-149.28433,1707.004
02050,02,AK,Bethel Census Area,60.92914,-160.15262,40638.578
02060,02,AK,Bristol Bay Borough,58.74166,-156.9668,481.952
02063,02,AK,Chugach Census Area,60.48847,-146.20309,9530.193
02066,02,AK,Copper River Census Area,62.03448,-143.92217,24692.42
02068,02,AK,Denali Borough,63.68204,-150.02702,12641.049
02070,02,AK,Dillingham Census Area,59.54333,-158.26712,18333.994
02090,02,AK,Fairbanks North Star Borough,64.67045,-146.49606,7334.752
02100,02,AK,Haines Borough,59.0984,-135.57579,2343.605
02105,02,AK,Hoonah-Angoon Census Area,58.40334,-135.88491,6559.711
02110,02,AK,Juneau City and Borough,58.37291,-134.17845,2704.203
02122,02,AK,Kenai Peninsula Borough,60.36667,-152.32228,16017.53
02130,02,AK,Ketchikan Gateway Borough,55.44994,-131.10668,4857.02
02150,02,AK,Kodiak Island Borough,57.7044,-153.91837,6689.481
02158,02,AK,Kusilvak Census Area,62.28359,-163.19017,17077.09
02164,02,AK,Lake and Peninsula Borough,58.10851,-156.41341,23831.86
02170,02,AK,Matanuska-Susitna Borough,62.26563,-149.50399,24707.306
02180,02,AK,Nome Census Area,64.78369,-164.18891,22969.508
02185,02,AK,North Slope Borough,69.44934,-153.47283,88823.624
02188,02,AK,Northwest Arctic Borough,67.00507,-160.02109,35663.282
02195,02,AK,Petersburg Borough,57.11246,-133.0086,2900.828
02198,02,AK,Prince of Wales-Hyder Census Area,55.68277,-133.16239,5267.817
02220,02,AK,Sitka City and Borough,57.1932,-135.3674,2870.063
02230,02,AK,Skagway Municipality,59.56038,-135.33828,433.971
02240,02,AK,Southeast Fairbanks Census Area,63.865,-143.21863,24832.27
02275,02,AK,Wrangell City and Borough,56.18078,-132.02679,2556.131
02282,02,AK,Yakutat City and Borough,60.01751,-140.41685,7625.25
02290,02,AK,Yukon-Koyukuk Census Area,65.37573,-151.57785,145581.869
04001,04,AZ,Apache County,35.38508,-109.49017,11198.313
04003,04,AZ,Cochise County,31.84013,-109.77516,6209.863
04005,04,AZ,Coconino County,35.82969,-111.77373,18616.354
04007,04,AZ,Gila County,33.78962,-110.81187,4757.578
04009,04,AZ,Graham County,32.93183,-109.87831,4621.877
04011,04,AZ,Greenlee County,33.23887,-109.24232,1842.838
04012,04,AZ,La Paz County,33.72761,-114.03881,4496.579
04013,04,AZ,Maricopa County,33.34518,-112.49893,9202.016
04015,04,AZ,Mohave County,35.7177,-113.74969,13332.117
04017,04,AZ,Navajo County,35.39078,-110.32102,9949.492
04019,04,AZ,Pima County,32.12804,-111.78366,9188.683
04021,04,AZ,Pinal County,32.91852,-111.36634,5366.671
04023,04,AZ,Santa Cruz County,31.52573,-110.84523,1236.26
04025,04,AZ,Yavapai County,34.63107,-112.57722,8122.932
04027,04,AZ,Yuma County,32.77394,-113.9109,5513.82
05001,05,AR,Arkansas County,34.28957,-91.37655,992.14
05003,05,AR,Ashley County,33.19084,-91.77227,925.492
05005,05,AR,Baxter County,36.28027,-92.32995,553.931
05007,05,AR,Benton County,36.33782,-94.2563,847.733
05009,05,AR,Boone County,36.3043,-93.07924,589.723
05011,05,AR,Bradley County,33.46655,-92.16916,649.167
05013,05,AR,Calhoun County,33.56046,-92.51388,628.601
05015,05,AR,Carroll County,36.33737,-93.54097,629.928
05017,05,AR,Chicot County,33.26714,-91.29716,636.978
05019,05,AR,Clark County,34.05332,-93.17621,865.971
05021,05,AR,Clay County,36.3673,-90.4187,639.224
05023,05,AR,Cleburne County,35.59363,-92.0089,553.959
05025,05,AR,Cleveland County,33.8932,-92.18871,597.91
05027,05,AR,Columbia County,33.22304,-93.23284,766.065
05029,05,AR,Conway County,35.26569,-92.68925,551.917
05031,05,AR,Craighead County,35.82773,-90.63142,707.162
05033,05,AR,Crawford County,35.58296,-94.23619,595.269
05035,05,AR,Crittenden County,35.19756,-90.30512,612.865
05037,05,AR,Cross County,35.28569,-90.76398,616.318
05039,05,AR,Dallas County,33.96782,-92.654,667.323
05041,05,AR,Desha County,33.82875,-91.2441,741.227
05043,05,AR,Drew County,33.58724,-91.72278,828.667
05045,05,AR,Faulkner County,35.14655,-92.33693,647.243
05047,05,AR,Franklin County,35.50856,-93.88766,608.967
05049,05,AR,Fulton County,36.38132,-91.81928,617.994
05051,05,AR,Garland County,34.57885,-93.14693,677.615
05053,05,AR,Grant County,34.28557,-92.42298,631.888
05055,05,AR,Greene County,36.12061,-90.56635,577.34
05057,05,AR,Hempstead County,33.73595,-93.66436,727.2
05059,05,AR,Hot Spring County,34.31518,-92.94415,614.944
05061,05,AR,Howard County,34.08306,-93.99093,587.332
05063,05,AR,Independence County,35.7375,-91.55994,763.712
05065,05,AR,Izard County,36.09488,-91.91362,580.201
05067,05,AR,Jackson County,35.59647,-91.2232,633.611
05069,05,AR,Jefferson County,34.27724,-91.92967,872.346
05071,05,AR,Johnson County,35.57336,-93.46632,660.99
05073,05,AR,Lafayette County,33.24063,-93.61151,529.472
05075,05,AR,Lawrence County,36.0411,-91.10115,587.528
05077,05,AR,Lee County,34.7795,-90.77972,599.807
05079,05,AR,Lincoln County,33.95638,-91.74236,559.466
05081,05,AR,Little River County,33.70194,-94.23629,531.255
05083,05,AR,Logan County,35.21865,-93.72091,709.115
05085,05,AR,Lonoke County,34.75511,-91.89413,771.45
05087,05,AR,Madison County,36.01255,-93.72405,834.238
05089,05,AR,Marion County,36.26666,-92.67858,596.598
05091,05,AR,Miller County,33.3055,-93.9015,624.04
05093,05,AR,Mississippi County,35.76694,-90.05221,902.093
05095,05,AR,Monroe County,34.67951,-91.20331,607.461
05097,05,AR,Montgomery County,34.54566,-93.66415,780.453
05099,05,AR,Nevada County,33.6667,-93.30507,617.79
05101,05,AR,Newton County,35.91074,-93.2159,821.076
05103,05,AR,Ouachita County,33.59117,-92.87841,732.721
05105,05,AR,Perry County,34.94636,-92.92688,551.336
05107,05,AR,Phillips County,34.42369,-90.85559,690.36
05109,05,AR,Pike County,34.15819,-93.65866,600.335
05111,05,AR,Poinsett County,35.56887,-90.6811,758.295
05113,05,AR,Polk County,34.49096,-94.23089,856.838
05115,05,AR,Pope County,35.45656,-93.02682,810.952
05117,05,AR,Prairie County,34.83112,-91.55362,647.516
05119,05,AR,Pulaski County,34.77031,-92.313,758.366
05121,05,AR,Randolph County,36.3413,-91.02844,651.913
05123,05,AR,St. Francis County,35.02284,-90.75151,634.784
05125,05,AR,Saline County,34.64852,-92.67446,723.516
05127,05,AR,Scott County,34.85887,-94.06364,892.85
05129,05,AR,Searcy County,35.89639,-92.69589,665.879
05131,05,AR,Sebastian County,35.19698,-94.27499,531.183
05133,05,AR,Sevier County,33.99488,-94.24328,563.569
05135,05,AR,Sharp County,36.1734,-91.47107,604.641
05137,05,AR,Stone County,35.857,-92.14048,606.44
05139,05,AR,Union County,33.16822,-92.59814,1039.067
05141,05,AR,Van Buren County,35.58295,-92.51598,709.57
05143,05,AR,Washington County,35.978,-94.21727,941.45
05145,05,AR,White County,35.25512,-91.75303,1033.966
05147,05,AR,Woodruff County,35.19278,-91.24454,585.973
05149,05,AR,Yell County,34.99771,-93.4083,930.386
06001,06,CA,Alameda County,37.64714,-121.91249,737.459
06003,06,CA,Alpine County,38.62178,-119.79835,738.34
06005,06,CA,Amador County,38.44355,-120.65386,594.585
06007,06,CA,Butte County,39.66534,-121.60321,1636.49
06009,06,CA,Calaveras County,38.19107,-120.55411,1020.016
06011,06,CA,Colusa County,39.17774,-122.23756,1150.679
06013,06,CA,Contra Costa County,37.91948,-121.95154,716.896
06015,06,CA,Del Norte County,41.7499,-123.981,1006.202
06017,06,CA,El Dorado County,38.78561,-120.53422,1707.841
06019,06,CA,Fresno County,36.76101,-119.65502,5958.383
06021,06,CA,Glenn County,39.60255,-122.4017,1313.968
06023,06,CA,Humboldt County,40.70666,-123.92618,3568.025
06025,06,CA,Imperial County,33.04081,-115.3554,4175.528
06027,06,CA,Inyo County,36.56216,-117.40421,10197.261
06029,06,CA,Kern County,35.34663,-118.72951,8134.673
06031,06,CA,Kings County,36.07248,-119.81553,1390.972
06033,06,CA,Lake County,39.10801,-122.74522,1255.082
06035,06,CA,Lassen County,40.71529,-120.62122,4541.369
06037,06,CA,Los Angeles County,34.1964,-118.26186,4060.246
06039,06,CA,Madera County,37.20982,-119.7498,2136.918
06041,06,CA,Marin County,38.05137,-122.7464,520.141
06043,06,CA,Mariposa County,37.57434,-119.91172,1448.84
06045,06,CA,Mendocino County,39.43239,-123.44288,3506.807
06047,06,CA,Merced County,37.19481,-120.7228,1938.004
06049,06,CA,Modoc County,41.59292,-120.71837,3948.233
06051,06,CA,Mono County,37.91584,-118.87517,3048.904
06053,06,CA,Monterey County,36.2401,-121.31558,3281.718
06055,06,CA,Napa County,38.5071,-122.3259,751.975
06057,06,CA,Nevada County,39.29751,-120.77134,957.76
06059,06,CA,Orange County,33.67569,-117.77721,792.861
06061,06,CA,Placer County,39.06203,-120.72272,1407.084
06063,06,CA,Plumas County,39.9923,-120.82437,2553.062
06065,06,CA,Riverside County,33.72983,-116.00224,7209.253
06067,06,CA,Sacramento County,38.45014,-121.34433,965.28
06069,06,CA,San Benito County,36.61165,-121.08581,1388.652
06071,06,CA,San Bernardino County,34.85666,-116.18157,20068.167
06073,06,CA,San Diego County,33.0236,-116.77612,4210.46
06075,06,CA,San Francisco County,37.72724,-123.03223,46.7
06077,06,CA,San Joaquin County,37.93498,-121.27224,1392.238
06079,06,CA,San Luis Obispo County,35.38819,-120.4489,3300.842
06081,06,CA,San Mateo County,37.41467,-122.37155,448.606
06083,06,CA,Santa Barbara County,34.53668,-120.03836,2733.941
06085,06,CA,Santa Clara County,37.22161,-121.68954,1291.084
06087,06,CA,Santa Cruz County,37.01235,-122.00779,445.106
06089,06,CA,Shasta County,40.76051,-122.04356,3775.651
06091,06,CA,Sierra County,39.57693,-120.52199,953.168
06093,06,CA,Siskiyou County,41.58799,-122.53329,6278.767
06095,06,CA,Solano County,38.26723,-121.93959,821.736
06097,06,CA,Sonoma County,38.52518,-122.92611,1575.337
06099,06,CA,Stanislaus County,37.56232,-121.00283,1496.15
06101,06,CA,Sutter County,39.03619,-121.70394,602.696
