state_fips,state,state_name,lat,lon,land_sqmi,n_counties,neighbors
01,AL,Alabama,32.76306,-86.83101,50650.834,67,FL GA MS TN
02,AK,Alaska,63.9445,-152.48342,571051.641,30,
04,AZ,Arizona,34.27823,-111.66449,113655.393,15,CA CO NM NV UT
05,AR,Arkansas,34.89672,-92.44421,51992.701,75,LA MO MS OK TN TX
06,CA,California,37.17266,-119.47837,155859.14,58,AZ NV OR
08,CO,Colorado,38.99088,-105.54995,103637.064,64,AZ KS NE NM OK UT WY
09,CT,Connecticut,41.60851,-72.72392,4842.397,9,MA NY RI
10,DE,Delaware,38.99828,-75.45351,1948.544,3,MD NJ PA
11,DC,District of Columbia,38.90425,-77.01652,61.126,1,MD VA
12,FL,Florida,28.64314,-82.49148,53654.211,67,AL GA
13,GA,Georgia,32.63707,-83.44135,57716.602,159,AL FL NC SC TN
15,HI,Hawaii,20.24089,-156.35437,6422.588,5,
16,ID,Idaho,44.34974,-114.61471,82645.128,44,MT NV OR UT WA WY
17,IL,Illinois,40.04476,-89.18825,55513.143,102,IA IN KY MO WI
18,IN,Indiana,39.89716,-86.28098,35825.116,92,IL KY MI OH
19,IA,Iowa,42.0767,-93.5011,55853.263,99,IL MN MO NE SD WI
20,KS,Kansas,38.49305,-98.3901,81758.593,105,CO MO NE OK
21,KY,Kentucky,37.53738,-85.27837,39485.36,120,IL IN MO OH TN VA WV
22,LA,Louisiana,31.10623,-92.04215,43216.591,64,AR MS TX
23,ME,Maine,45.38075,-69.21544,30845.04,16,NH
24,MD,Maryland,39.04161,-76.80071,9711.141,24,DC DE PA VA WV
25,MA,Massachusetts,42.25028,-71.80333,7800.941,14,CT NH NY RI VT
26,MI,Michigan,44.32243,-85.38572,56610.281,83,IN OH WI
27,MN,Minnesota,46.23162,-94.32089,79631.472,87,IA ND SD WI
28,MS,Mississippi,32.72897,-89.66254,46924.358,82,AL AR LA TN
29,MO,Missouri,38.35673,-92.45751,68746.366,115,AR IA IL KS KY NE OK TN
30,MT,Montana,47.04328,-109.62689,145550.167,56,ID ND SD WY
31,NE,Nebraska,41.53891,-99.78867,76814.874,93,CO IA KS MO SD WY
32,NV,Nevada,39.31658,-116.61837,109860.371,17,AZ CA ID OR UT
33,NH,New Hampshire,43.67174,-71.58294,8953.759,10,MA ME VT
34,NJ,New Jersey,40.18352,-74.66395,7354.934,21,DE NY PA
35,NM,New Mexico,34.40366,-106.11337,121312.759,33,AZ CO OK TX UT
36,NY,New York,42.95329,-75.5399,47123.414,62,CT MA NJ PA VT
37,NC,North Carolina,35.55216,-79.38543,48624.119,100,GA SC TN VA
38,ND,North Dakota,47.44511,-100.46135,68994.274,53,MN MT SD
39,OH,Ohio,40.29385,-82.79395,40858.808,88,IN KY MI PA WV
40,OK,Oklahoma,35.59185,-97.5176,68596.64,77,AR CO KS MO NM TX
41,OR,Oregon,43.93974,-120.56005,95996.747,36,CA ID NV WA
42,PA,Pennsylvania,40.88155,-77.80597,44742.225,67,DE MD NJ NY OH WV
44,RI,Rhode Island,41.64711,-71.55605,1033.892,5,CT MA
45,SC,South Carolina,33.91506,-80.88846,30064.23,46,GA NC
46,SD,South Dakota,44.43926,-100.23582,75807.888,66,IA MN MT ND NE WY
47,TN,Tennessee,35.85542,-86.35582,41232.744,95,AL AR GA KY MO MS NC VA
48,TX,Texas,31.47442,-99.3628,261270.027,254,AR LA NM OK
49,UT,Utah,39.26593,-111.65269,82595.692,29,AZ CO ID NM NV WY
50,VT,Vermont,44.05473,-72.65804,9217.258,14,MA NH NY
51,VA,Virginia,37.52213,-78.86382,39482.095,133,DC KY MD NC TN WV
53,WA,Washington,47.3881,-120.45689,66455.433,39,ID OR
54,WV,West Virginia,38.63737,-80.62249,24041.234,55,KY MD OH PA VA
55,WI,Wisconsin,44.6316,-89.98021,54167.286,72,IA IL MI MN
56,WY,Wyoming,42.9979,-107.53284,97088.542,23,CO ID MT NE SD UT
72,PR,Puerto Rico,18.21929,-66.48022,3424.352,78,
