date,country,tax_based,spending_based
1981,USA,0.5,0.3
1982,USA,0.4,0.6
1983,USA,0.0,0.7
1990,USA,0.6,0.0
1993,USA,0.5,0.4
1980,GBR,0.7,0.3
1981,GBR,0.6,0.5
1994,GBR,0.6,0.0
2010,GBR,0.4,1.0
2011,GBR,0.3,0.6
1992,ITA,1.4,0.5
1993,ITA,0.4,1.6
1996,ITA,0.5,1.0
1997,ITA,0.6,1.0
2012,ITA,0.6,1.5
1981,DEU,0.0,0.5
1991,DEU,0.5,0.5
1996,DEU,0.0,0.6
1997,DEU,0.5,0.4
2003,DEU,0.0,0.6
1979,FRA,0.0,0.4
1995,FRA,0.5,0.4
1996,FRA,0.4,0.5
2011,FRA,0.5,0.5
2012,FRA,0.6,0.5
1980,CAN,0.0,0.7
1995,CAN,0.0,1.5
1996,CAN,0.4,1.4
1997,CAN,0.0,1.0
1980,JPN,0.5,0.0
1997,JPN,1.0,0.0
2014,JPN,0.7,0.0
1985,BEL,0.0,0.7
1993,BEL,0.5,0.6
1981,DNK,0.7,0.5
1986,DNK,0.6,0.0
1992,FIN,0.0,1.0
1995,FIN,0.5,0.7
1981,IRL,0.6,0.4
1987,IRL,0.0,1.4
2009,IRL,0.6,1.5
2010,IRL,0.6,1.7
1992,ESP,0.0,0.5
1996,ESP,0.0,0.7
2010,ESP,0.4,1.4
2011,ESP,0.6,1.4
1993,SWE,1.0,1.0
1995,SWE,0.5,0.8
1996,SWE,0.6,0.9
1992,NLD,0.0,0.5
2004,NLD,0.0,0.6
1981,PRT,0.5,0.5
1983,PRT,0.0,1.0
2011,PRT,0.6,0.7
2012,PRT,0.5,1.5
1986,AUT,0.5,0.0
1996,AUT,0.5,0.5
1985,AUS,0.0,0.7
1986,AUS,0.0,0.5
1987,AUS,0.0,0.5
