date,country,exog_tax
1962,USA,-0.012
1981,USA,-0.02
1986,USA,0.005
2001,USA,-0.012
2003,USA,-0.005
2017,USA,-0.012
1979,GBR,-0.018
1988,GBR,-0.014
1993,GBR,0.01
2010,GBR,0.02
1986,DEU,-0.008
2001,DEU,-0.012
2007,FRA,-0.005
2013,FRA,0.012
1989,JPN,0.025
1997,JPN,0.015
2014,JPN,0.012
1991,CAN,0.011
2006,CAN,-0.01
1987,AUS,-0.008
2000,AUS,-0.012
1986,DNK,-0.005
2009,DNK,-0.008
1991,IRL,-0.005
2009,IRL,0.02
1992,ITA,0.02
1997,ITA,0.015
2011,ITA,0.018
1990,NLD,-0.005
1994,NLD,-0.01
1992,ESP,0.01
2010,ESP,0.018
1994,SWE,-0.005
2007,SWE,-0.01
