rep_country,rep_date,rep_method,rep_magnitude,rep_sign,dup_date,dup_method,dup_magnitude,dup_sign,dup_url
USA,1948-04-01,manual,3.741115,-1,1948-04-01,manual,1.870557,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1954-07-01,manual,1.129202,-1,1954-07-01,manual,0.367647,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1958-07-01,manual,0.106,-1,1958-07-01,manual,0.106,-1,https://karelmertens.com/research/
USA,1959-10-01,manual,0.116913,1,1959-10-01,manual,0.116913,1,https://karelmertens.com/research/
USA,1962-07-01,manual,0.686441,-1,1962-07-01,manual,0.228814,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1962-10-01,manual,0.151694,-1,1962-10-01,manual,0.15169,-1,https://karelmertens.com/research/
USA,1963-01-01,manual,0.54781,1,1963-01-01,manual,0.431607,1,https://eml.berkeley.edu/~dromer/papers/
USA,1964-04-01,manual,2.550091,-1,1964-04-01,manual,1.275046,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1965-07-01,manual,0.241313,-1,1965-07-01,manual,0.241313,-1,https://karelmertens.com/research/
USA,1966-04-01,manual,0.115399,1,1966-04-01,manual,0.115399,1,https://karelmertens.com/research/
USA,1967-07-01,manual,0.65703,-1,1967-07-01,manual,0.191136,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1972-01-01,manual,1.234672,-1,1972-01-01,manual,0.755921,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1976-10-01,manual,0.127301,1,1976-10-01,manual,0.127301,1,https://karelmertens.com/research/
USA,1977-01-01,manual,0.041252,-1,1977-01-01,manual,0.041252,-1,https://karelmertens.com/research/
USA,1977-07-01,manual,1.02,-1,1977-07-01,manual,0.338688,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1979-01-01,manual,0.766921,-1,1979-01-01,manual,0.409836,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1980-04-01,manual,0.300443,1,1980-04-01,manual,0.300443,1,https://karelmertens.com/research/
USA,1981-01-01,manual,0.9,-1,1981-07-01,manual,0.279989,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1981-01-01,manual,0.9,-1,1981-07-01,manual,0.839966,-1,https://karelmertens.com/research/
USA,1984-07-01,manual,0.201096,1,1984-07-01,manual,0.201096,1,https://karelmertens.com/research/
USA,1986-10-01,manual,0.499329,1,1986-10-01,manual,0.499329,1,https://karelmertens.com/research/
USA,1987-01-01,manual,0.16,-1,1987-01-01,manual,0.156054,-1,https://eml.berkeley.edu/~dromer/papers/
USA,1988-01-01,manual,0.385711,1,1988-01-01,manual,0.218103,1,https://karelmertens.com/research/
USA,1991-01-01,manual,0.597826,1,1991-01-01,manual,0.597826,1,https://karelmertens.com/research/
USA,1993-10-01,manual,0.59263,-1,1993-01-01,manual,0.5,-1,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022
USA,1993-07-01,manual,1.024781,1,1993-07-01,manual,0.341594,1,https://eml.berkeley.edu/~dromer/papers/
USA,2003-07-01,manual,2.857633,-1,2003-07-01,manual,1.140167,-1,https://eml.berkeley.edu/~dromer/papers/
