country,date,magnitude,magnitude_unit,sign,target,subtarget,confidence,scoring_method,source_url,replication,implementation_first_quarter,implementation_last_quarter,delay_quarters
AUS,1985-01-01,1.7,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1985-01-01,1987-10-01,0
AUS,1987-01-01,0.008,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1987-01-01,1987-01-01,0
AUS,2000-01-01,0.012,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2000-01-01,2000-01-01,0
AUT,1986-01-01,0.5,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1986-01-01,1986-10-01,0
AUT,1996-01-01,0.5,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1996-01-01,1996-10-01,0
AUT,1996-01-01,0.5,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1996-01-01,1996-10-01,0
BEL,1985-01-01,0.7,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1985-01-01,1985-10-01,0
BEL,1993-01-01,0.6,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1993-01-01,1993-10-01,0
BEL,1993-01-01,0.5,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1993-01-01,1993-10-01,0
CAN,1980-01-01,0.7,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1980-01-01,1980-10-01,0
CAN,1991-01-01,0.011,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1991-01-01,1991-01-01,0
CAN,1995-01-01,3.9,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1995-01-01,1997-10-01,0
CAN,1996-01-01,0.4,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1996-01-01,1996-10-01,0
CAN,2006-01-01,0.01,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2006-01-01,2006-01-01,0
DEU,1981-01-01,0.5,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1981-01-01,1981-10-01,0
DEU,1986-01-01,0.008,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1986-01-01,1986-01-01,0
DEU,1991-01-01,0.5,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1991-01-01,1991-10-01,0
DEU,1991-01-01,0.5,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1991-01-01,1991-10-01,0
DEU,1996-01-01,1.0,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1996-01-01,1997-10-01,0
DEU,1997-01-01,0.5,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1997-01-01,1997-10-01,0
DEU,2001-01-01,0.012,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2001-01-01,2001-01-01,0
DEU,2003-01-01,0.6,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2003-01-01,2003-10-01,0
DNK,1981-01-01,0.5,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1981-01-01,1981-10-01,0
DNK,1981-01-01,0.7,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1981-01-01,1981-10-01,0
DNK,1986-01-01,0.6,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1986-01-01,1986-10-01,0
DNK,1986-01-01,0.005,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1986-01-01,1986-01-01,0
DNK,2009-01-01,0.008,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2009-01-01,2009-01-01,0
ESP,1992-01-01,0.5,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1992-01-01,1992-10-01,0
ESP,1992-01-01,0.01,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1992-01-01,1992-01-01,0
ESP,1996-01-01,0.7,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1996-01-01,1996-10-01,0
ESP,2010-01-01,2.8,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2010-01-01,2011-10-01,0
