date,urate,unemp_level,v_level,v_rate,hires_level,hires_rate,quits_rate
2000-12-01,3.9000,5634.0000,5088.0000,3.7000,5426.0000,4.1000,2.2000
2001-01-01,4.2000,6023.0000,5234.0000,3.8000,5722.0000,4.3000,2.4000
2001-02-01,4.2000,6089.0000,5097.0000,3.7000,5303.0000,4.0000,2.3000
2001-03-01,4.3000,6141.0000,4762.0000,3.5000,5528.0000,4.2000,2.3000
2001-04-01,4.4000,6271.0000,4615.0000,3.4000,5204.0000,3.9000,2.4000
2001-05-01,4.3000,6226.0000,4425.0000,3.2000,5410.0000,4.1000,2.3000
2001-06-01,4.5000,6484.0000,4361.0000,3.2000,5109.0000,3.9000,2.2000
2001-07-01,4.6000,6583.0000,4447.0000,3.3000,5244.0000,4.0000,2.2000
2001-08-01,4.9000,7042.0000,4024.0000,3.0000,5223.0000,4.0000,2.2000
2001-09-01,5.0000,7142.0000,4071.0000,3.0000,4954.0000,3.8000,2.1000
2001-10-01,5.3000,7694.0000,3707.0000,2.7000,5078.0000,3.9000,2.1000
2001-11-01,5.5000,8003.0000,3775.0000,2.8000,4914.0000,3.7000,2.0000
2001-12-01,5.7000,8258.0000,3677.0000,2.7000,4829.0000,3.7000,2.0000
2002-01-01,5.7000,8182.0000,3699.0000,2.7000,4855.0000,3.7000,2.2000
2002-02-01,5.7000,8215.0000,3436.0000,2.6000,4801.0000,3.7000,2.0000
2002-03-01,5.7000,8304.0000,3612.0000,2.7000,4706.0000,3.6000,1.9000
2002-04-01,5.9000,8599.0000,3471.0000,2.6000,4928.0000,3.8000,2.0000
2002-05-01,5.8000,8399.0000,3457.0000,2.6000,4857.0000,3.7000,1.9000
2002-06-01,5.8000,8393.0000,3412.0000,2.5000,4869.0000,3.7000,1.9000
2002-07-01,5.8000,8390.0000,3367.0000,2.5000,4946.0000,3.8000,2.0000
2002-08-01,5.7000,8304.0000,3517.0000,2.6000,4871.0000,3.7000,2.0000
2002-09-01,5.7000,8251.0000,3301.0000,2.5000,4879.0000,3.7000,1.9000
2002-10-01,5.7000,8307.0000,3479.0000,2.6000,4798.0000,3.7000,1.9000
2002-11-01,5.9000,8520.0000,3514.0000,2.6000,4792.0000,3.7000,1.8000
2002-12-01,6.0000,8640.0000,3169.0000,2.4000,4893.0000,3.7000,1.9000
2003-01-01,5.8000,8520.0000,3441.0000,2.6000,5058.0000,3.9000,1.9000
2003-02-01,5.9000,8618.0000,3229.0000,2.4000,4714.0000,3.6000,1.9000
2003-03-01,5.9000,8588.0000,3099.0000,2.3000,4470.0000,3.4000,1.8000
2003-04-01,6.0000,8842.0000,3108.0000,2.3000,4600.0000,3.5000,1.8000
2003-05-01,6.1000,8957.0000,3289.0000,2.5000,4678.0000,3.6000,1.8000
2003-06-01,6.3000,9266.0000,3390.0000,2.5000,4682.0000,3.6000,1.8000
2003-07-01,6.2000,9011.0000,2981.0000,2.2000,4639.0000,3.6000,1.7000
2003-08-01,6.1000,8896.0000,3190.0000,2.4000,4666.0000,3.6000,1.7000
2003-09-01,6.1000,8921.0000,3091.0000,2.3000,4799.0000,3.7000,1.8000
2003-10-01,6.0000,8732.0000,3305.0000,2.5000,4902.0000,3.8000,1.9000
2003-11-01,5.8000,8576.0000,3324.0000,2.5000,4767.0000,3.7000,1.8000
2003-12-01,5.7000,8317.0000,3414.0000,2.5000,4984.0000,3.8000,1.9000
2004-01-01,5.7000,8370.0000,3424.0000,2.6000,4900.0000,3.7000,1.8000
2004-02-01,5.6000,8167.0000,3532.0000,2.6000,4788.0000,3.7000,1.9000
2004-03-01,5.8000,8491.0000,3525.0000,2.6000,5227.0000,4.0000,2.0000
2004-04-01,5.6000,8170.0000,3511.0000,2.6000,5152.0000,3.9000,1.9000
2004-05-01,5.6000,8212.0000,3710.0000,2.7000,4976.0000,3.8000,1.8000
2004-06-01,5.6000,8286.0000,3337.0000,2.5000,5009.0000,3.8000,2.0000
2004-07-01,5.5000,8136.0000,3814.0000,2.8000,4891.0000,3.7000,2.0000
2004-08-01,5.4000,7990.0000,3541.0000,2.6000,5013.0000,3.8000,2.0000
2004-09-01,5.4000,7927.0000,3821.0000,2.8000,5062.0000,3.8000,1.9000
2004-10-01,5.5000,8061.0000,3943.0000,2.9000,5149.0000,3.9000,1.9000
2004-11-01,5.4000,7932.0000,3472.0000,2.6000,5181.0000,3.9000,2.1000
2004-12-01,5.4000,7934.0000,4074.0000,3.0000,5153.0000,3.9000,2.0000
2005-01-01,5.3000,7784.0000,3804.0000,2.8000,5201.0000,3.9000,2.1000
2005-02-01,5.4000,7980.0000,3965.0000,2.9000,5276.0000,4.0000,2.0000
2005-03-01,5.2000,7737.0000,4044.0000,2.9000,5273.0000,4.0000,2.1000
2005-04-01,5.2000,7672.0000,4159.0000,3.0000,5362.0000,4.0000,2.1000
2005-05-01,5.1000,7651.0000,3797.0000,2.8000,5271.0000,3.9000,2.1000
2005-06-01,5.0000,7524.0000,4062.0000,2.9000,5376.0000,4.0000,2.1000
2005-07-01,5.0000,7406.0000,4256.0000,3.1000,5328.0000,4.0000,2.0000
2005-08-01,4.9000,7345.0000,4142.0000,3.0000,5409.0000,4.0000,2.2000
2005-09-01,5.0000,7553.0000,4352.0000,3.1000,5493.0000,4.1000,2.3000
2005-10-01,5.0000,7453.0000,4184.0000,3.0000,5124.0000,3.8000,2.1000
2005-11-01,5.0000,7566.0000,4248.0000,3.1000,5344.0000,4.0000,2.1000
2005-12-01,4.9000,7279.0000,4282.0000,3.1000,5294.0000,3.9000,2.1000
2006-01-01,4.7000,7064.0000,4397.0000,3.1000,5271.0000,3.9000,2.2000
2006-02-01,4.8000,7184.0000,4325.0000,3.1000,5474.0000,4.0000,2.2000
2006-03-01,4.7000,7072.0000,4732.0000,3.4000,5524.0000,4.1000,2.2000
2006-04-01,4.7000,7120.0000,4790.0000,3.4000,5215.0000,3.8000,2.0000
2006-05-01,4.6000,6980.0000,4463.0000,3.2000,5498.0000,4.0000,2.2000
2006-06-01,4.6000,7001.0000,4614.0000,3.3000,5455.0000,4.0000,2.2000
2006-07-01,4.7000,7175.0000,4394.0000,3.1000,5573.0000,4.1000,2.2000
2006-08-01,4.7000,7091.0000,4710.0000,3.3000,5373.0000,3.9000,2.2000
2006-09-01,4.5000,6847.0000,4737.0000,3.3000,5288.0000,3.9000,2.1000
2006-10-01,4.4000,6727.0000,4591.0000,3.2000,5375.0000,3.9000,2.2000
2006-11-01,4.5000,6872.0000,4645.0000,3.3000,5495.0000,4.0000,2.2000
2006-12-01,4.4000,6762.0000,4620.0000,3.3000,5214.0000,3.8000,2.2000
2007-01-01,4.6000,7116.0000,4763.0000,3.3000,5426.0000,3.9000,2.1000
2007-02-01,4.5000,6927.0000,4699.0000,3.3000,5160.0000,3.8000,2.1000
2007-03-01,4.4000,6731.0000,4962.0000,3.5000,5479.0000,4.0000,2.2000
2007-04-01,4.5000,6850.0000,4689.0000,3.3000,5353.0000,3.9000,2.1000
2007-05-01,4.4000,6766.0000,4657.0000,3.3000,5469.0000,4.0000,2.2000
2007-06-01,4.6000,6979.0000,4859.0000,3.4000,5267.0000,3.8000,2.1000
2007-07-01,4.7000,7149.0000,4598.0000,3.2000,5217.0000,3.8000,2.1000
2007-08-01,4.6000,7067.0000,4546.0000,3.2000,5358.0000,3.9000,2.2000
2007-09-01,4.7000,7170.0000,4652.0000,3.3000,5344.0000,3.9000,1.9000
2007-10-01,4.7000,7237.0000,4636.0000,3.2000,5398.0000,3.9000,2.1000
2007-11-01,4.7000,7240.0000,4646.0000,3.3000,5176.0000,3.7000,2.0000
2007-12-01,5.0000,7645.0000,4545.0000,3.2000,5119.0000,3.7000,2.0000
2008-01-01,5.0000,7685.0000,4624.0000,3.2000,5071.0000,3.7000,2.1000
2008-02-01,4.9000,7497.0000,4279.0000,3.0000,5077.0000,3.7000,2.1000
2008-03-01,5.1000,7822.0000,4225.0000,3.0000,4924.0000,3.6000,1.9000
2008-04-01,5.0000,7637.0000,4035.0000,2.8000,4948.0000,3.6000,2.1000
2008-05-01,5.4000,8395.0000,4194.0000,3.0000,4691.0000,3.4000,1.9000
2008-06-01,5.6000,8575.0000,3830.0000,2.7000,4893.0000,3.6000,1.9000
2008-07-01,5.8000,8937.0000,3749.0000,2.7000,4637.0000,3.4000,1.8000
2008-08-01,6.1000,9438.0000,3674.0000,2.6000,4682.0000,3.4000,1.8000
2008-09-01,6.1000,9494.0000,3222.0000,2.3000,4499.0000,3.3000,1.8000
2008-10-01,6.5000,10074.0000,3377.0000,2.4000,4548.0000,3.3000,1.7000
2008-11-01,6.8000,10538.0000,3231.0000,2.3000,4104.0000,3.0000,1.6000
2008-12-01,7.3000,11286.0000,3146.0000,2.3000,4348.0000,3.2000,1.5000
2009-01-01,7.8000,12058.0000,2738.0000,2.0000,4095.0000,3.1000,1.5000
2009-02-01,8.3000,12898.0000,2864.0000,2.1000,4061.0000,3.0000,1.5000
2009-03-01,8.7000,13426.0000,2534.0000,1.9000,3858.0000,2.9000,1.4000
2009-04-01,9.0000,13853.0000,2295.0000,1.7000,3888.0000,2.9000,1.3000
2009-05-01,9.4000,14499.0000,2549.0000,1.9000,3758.0000,2.9000,1.3000
2009-06-01,9.5000,14707.0000,2503.0000,1.9000,3639.0000,2.8000,1.3000
2009-07-01,9.5000,14601.0000,2232.0000,1.7000,3857.0000,3.0000,1.3000
2009-08-01,9.6000,14814.0000,2338.0000,1.8000,3810.0000,2.9000,1.2000
2009-09-01,9.8000,15009.0000,2487.0000,1.9000,3944.0000,3.0000,1.2000
2009-10-01,10.0000,15352.0000,2406.0000,1.8000,3838.0000,3.0000,1.3000
2009-11-01,9.9000,15219.0000,2503.0000,1.9000,4024.0000,3.1000,1.4000
2009-12-01,9.9000,15098.0000,2568.0000,1.9000,4004.0000,3.1000,1.4000
2010-01-01,9.8000,15046.0000,2837.0000,2.1000,3904.0000,3.0000,1.3000
2010-02-01,9.8000,15113.0000,2666.0000,2.0000,3864.0000,3.0000,1.4000
2010-03-01,9.9000,15202.0000,2679.0000,2.0000,4302.0000,3.3000,1.4000
2010-04-01,9.9000,15325.0000,3153.0000,2.4000,4159.0000,3.2000,1.5000
2010-05-01,9.6000,14849.0000,2988.0000,2.2000,4420.0000,3.4000,1.4000
2010-06-01,9.4000,14474.0000,2801.0000,2.1000,4111.0000,3.1000,1.5000
2010-07-01,9.4000,14512.0000,3082.0000,2.3000,4163.0000,3.2000,1.4000
2010-08-01,9.5000,14648.0000,2999.0000,2.2000,4046.0000,3.1000,1.4000
2010-09-01,9.5000,14579.0000,2918.0000,2.2000,4034.0000,3.1000,1.5000
2010-10-01,9.4000,14516.0000,3235.0000,2.4000,4173.0000,3.2000,1.4000
2010-11-01,9.8000,15081.0000,3211.0000,2.4000,4182.0000,3.2000,1.4000
2010-12-01,9.3000,14348.0000,3058.0000,2.3000,4299.0000,3.3000,1.5000
2011-01-01,9.1000,14013.0000,3104.0000,2.3000,4000.0000,3.1000,1.4000
2011-02-01,9.0000,13820.0000,3226.0000,2.4000,4231.0000,3.2000,1.5000
2011-03-01,9.0000,13737.0000,3261.0000,2.4000,4430.0000,3.4000,1.5000
2011-04-01,9.1000,13957.0000,3259.0000,2.4000,4296.0000,3.3000,1.4000
2011-05-01,9.0000,13855.0000,3179.0000,2.4000,4261.0000,3.2000,1.5000
2011-06-01,9.1000,13962.0000,3455.0000,2.6000,4366.0000,3.3000,1.5000
2011-07-01,9.0000,13763.0000,3623.0000,2.7000,4261.0000,3.2000,1.5000
2011-08-01,9.0000,13818.0000,3329.0000,2.5000,4298.0000,3.3000,1.5000
2011-09-01,9.0000,13948.0000,3774.0000,2.8000,4429.0000,3.3000,1.5000
2011-10-01,8.8000,13594.0000,3619.0000,2.7000,4370.0000,3.3000,1.5000
