date,oilprod,igrea,wti,cpi
1972-01-01,111.1177,-60.072256,3.56,41.2
1972-02-01,111.2953,-66.928687,3.56,41.4
1972-03-01,112.6849,-69.502477,3.56,41.4
1972-04-01,113.8192,-60.299451,3.56,41.5
1972-05-01,113.5837,-64.245469,3.56,41.6
1972-06-01,113.1528,-66.986283,3.56,41.7
1972-07-01,112.6554,-56.794281,3.56,41.8
1972-08-01,113.0477,-63.158505,3.56,41.9
1972-09-01,113.8125,-8.8142189,3.56,42.1
1972-10-01,112.7952,-5.92218,3.56,42.2
1972-11-01,112.7348,-4.7795862,3.56,42.4
1972-12-01,112.2243,9.2209379,3.56,42.5
1973-01-01,111.2456,20.695864,3.56,42.7
1973-02-01,112.2562,29.440025,3.56,43.0
1973-03-01,110.6182,38.555848,3.56,43.4
1973-04-01,110.7051,42.955783,3.56,43.7
1973-05-01,111.0182,50.231902,3.56,43.9
1973-06-01,111.09,57.690085,3.56,44.2
1973-07-01,110.82,59.156118,3.56,44.2
1973-08-01,110.8677,69.675083,4.31,45.0
1973-09-01,109.7947,81.103386,4.31,45.2
1973-10-01,110.3651,107.02655,4.31,45.6
1973-11-01,110.0482,104.05652,4.31,45.9
1973-12-01,109.2826,114.06208,4.31,46.3
1974-01-01,108.8189,105.59326,10.11,46.8
1974-02-01,108.6137,88.652769,10.11,47.3
1974-03-01,107.7568,98.238437,10.11,47.8
1974-04-01,107.3417,86.263399,10.11,48.1
1974-05-01,107.1676,104.02045,10.11,48.6
1974-06-01,105.6678,82.35125,10.11,49.0
1974-07-01,105.929,62.048771,10.11,49.3
1974-08-01,105.101,58.683357,10.11,49.9
1974-09-01,104.2158,60.431833,10.11,50.6
1974-10-01,103.4427,61.586207,11.16,51.0
1974-11-01,102.9087,59.001024,11.16,51.5
1974-12-01,102.4312,21.837875,11.16,51.9
1975-01-01,102.2401,-0.72663677,11.16,52.3
1975-02-01,101.9197,-9.6742795,11.16,52.6
1975-03-01,101.1222,-26.477347,11.16,52.8
1975-04-01,101.3306,-41.231012,11.16,53.0
1975-05-01,100.0085,-43.896732,11.16,53.1
1975-06-01,100.5792,-36.75193,11.16,53.5
1975-07-01,99.6988,-41.736097,11.16,54.0
1975-08-01,99.3805,-45.448808,11.16,54.2
1975-09-01,99.2553,-34.239695,11.16,54.6
1975-10-01,99.0324,-33.831016,11.16,54.9
1975-11-01,98.6577,-23.933585,11.16,55.3
1975-12-01,98.9597,-35.556305,11.16,55.6
1976-01-01,99.7276,-45.861789,11.16,55.8
1976-02-01,97.7921,-50.121471,12.03,55.9
1976-03-01,98.2913,-32.392761,12.1,56.0
1976-04-01,97.2705,-28.804569,12.17,56.1
1976-05-01,97.5687,-19.211253,12.17,56.4
1976-06-01,97.8465,-16.083532,12.17,56.7
1976-07-01,97.9221,-21.393666,12.17,57.0
1976-08-01,97.5864,-23.878378,12.17,57.3
1976-09-01,97.515,-24.611825,13.9,57.6
1976-10-01,96.9635,-20.701512,13.9,57.9
1976-11-01,97.5473,-19.272809,13.9,58.1
1976-12-01,97.867,-35.675402,13.9,58.4
1977-01-01,96.4557,-49.05786,13.9,58.7
1977-02-01,98.7092,-44.969435,13.9,59.3
1977-03-01,97.7654,-45.307955,13.9,59.6
1977-04-01,98.1368,-43.429681,13.9,60.0
1977-05-01,97.675,-35.682621,13.9,60.2
1977-06-01,98.2339,-40.458791,13.9,60.5
1977-07-01,97.9125,-44.255882,13.9,60.8
1977-08-01,99.135,-46.963048,14.85,61.1
1977-09-01,100.5931,-47.123738,14.85,61.3
1977-10-01,100.3759,-32.895075,14.85,61.6
1977-11-01,100.3174,-33.37622,14.85,62.0
1977-12-01,100.2429,-37.948778,14.85,62.3
1978-01-01,99.8188,-38.422673,14.85,62.7
1978-02-01,99.7172,-38.733894,14.85,63.0
1978-03-01,101.9006,-39.2007,14.85,63.4
1978-04-01,103.1292,-39.820143,14.85,63.9
1978-05-01,102.2169,-22.719443,14.85,64.5
1978-06-01,103.0318,-17.156183,14.85,65.0
1978-07-01,103.084,-25.760634,14.85,65.5
1978-08-01,102.4543,-26.203357,14.85,65.9
1978-09-01,102.2825,-13.938287,14.85,66.5
1978-10-01,102.0944,-17.976476,14.85,67.1
