date,indpro,unrate
1948-01-01,14.3524,3.4
1948-02-01,14.3793,3.8
1948-03-01,14.2177,4.0
1948-04-01,14.2447,3.9
1948-05-01,14.487,3.5
1948-06-01,14.6755,3.6
1948-07-01,14.6755,3.6
1948-08-01,14.6216,3.9
1948-09-01,14.5139,3.8
1948-10-01,14.6217,3.7
1948-11-01,14.4332,3.8
1948-12-01,14.2985,4.0
1949-01-01,14.1639,4.3
1949-02-01,14.0292,4.7
1949-03-01,13.76,5.0
1949-04-01,13.6792,5.3
1949-05-01,13.4907,6.1
1949-06-01,13.4638,6.2
1949-07-01,13.4368,6.7
1949-08-01,13.5715,6.8
1949-09-01,13.7061,6.6
1949-10-01,13.1945,7.9
1949-11-01,13.5446,6.4
1949-12-01,13.7869,6.6
1950-01-01,14.0292,6.5
1950-02-01,14.0831,6.4
1950-03-01,14.5409,6.3
1950-04-01,15.0255,5.8
1950-05-01,15.3756,5.5
1950-06-01,15.8334,5.4
1950-07-01,16.345,5.0
1950-08-01,16.8566,4.5
1950-09-01,16.7489,4.4
1950-10-01,16.8566,4.2
1950-11-01,16.8297,4.2
1950-12-01,17.1259,4.3
1951-01-01,17.1797,3.7
1951-02-01,17.2875,3.4
1951-03-01,17.3682,3.4
1951-04-01,17.3952,3.1
1951-05-01,17.3413,3.0
1951-06-01,17.2605,3.2
1951-07-01,16.9913,3.1
1951-08-01,16.8297,3.1
1951-09-01,16.9374,3.3
1951-10-01,16.9105,3.5
1951-11-01,17.0451,3.5
1951-12-01,17.1528,3.1
1952-01-01,17.3413,3.2
1952-02-01,17.449,3.1
1952-03-01,17.5029,2.9
1952-04-01,17.3413,2.9
1952-05-01,17.1798,3.0
1952-06-01,17.0182,3.0
1952-07-01,16.7489,3.2
1952-08-01,17.826,3.4
1952-09-01,18.4723,3.1
1952-10-01,18.6608,3.0
1952-11-01,19.0378,2.8
1952-12-01,19.1455,2.7
1953-01-01,19.1993,2.9
1953-02-01,19.307,2.6
1953-03-01,19.4686,2.6
1953-04-01,19.5494,2.7
1953-05-01,19.6571,2.5
1953-06-01,19.5763,2.5
1953-07-01,19.8187,2.6
1953-08-01,19.7109,2.7
1953-09-01,19.307,2.9
1953-10-01,19.1455,3.1
1953-11-01,18.6877,3.5
1953-12-01,18.2299,4.5
1954-01-01,18.0953,4.9
1954-02-01,18.1492,5.2
1954-03-01,18.0414,5.7
1954-04-01,17.9337,5.9
1954-05-01,18.0414,5.9
1954-06-01,18.0953,5.6
1954-07-01,18.1222,5.8
1954-08-01,18.0953,6.0
1954-09-01,18.1222,6.1
1954-10-01,18.3377,5.7
1954-11-01,18.6338,5.3
1954-12-01,18.8762,5.0
1955-01-01,19.307,4.9
1955-02-01,19.5494,4.7
1955-03-01,20.0071,4.6
1955-04-01,20.2495,4.7
1955-05-01,20.5726,4.3
1955-06-01,20.5996,4.2
1955-07-01,20.7611,4.0
1955-08-01,20.7342,4.2
1955-09-01,20.8688,4.1
1955-10-01,21.2189,4.3
1955-11-01,21.2727,4.2
1955-12-01,21.3535,4.2
1956-01-01,21.4882,4.0
1956-02-01,21.2997,3.9
1956-03-01,21.2997,4.2
1956-04-01,21.4612,4.0
1956-05-01,21.2728,4.3
1956-06-01,21.0843,4.3
