code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,gdp_output,va_total,va_agri,va_ind,va_mfg,va_constr,va_trade,va_ict,va_fin,va_realest,va_prof,va_public,va_other,va_services,taxes_prod,chainlink_disc,gdp_income,comp_emp,surplus_mixed,taxes_prod_imp_net,taxes_prod_imp,subsidies,gdp_defl,cons_hh_defl,cons_gov_defl,inv_defl,capform_defl,exports_defl,imports_defl,gdp_output_defl,va_total_defl,va_agri_defl,va_ind_defl,va_mfg_defl,va_constr_defl,va_trade_defl,va_ict_defl,va_fin_defl,va_realest_defl,va_prof_defl,va_public_defl,va_other_defl,va_services_defl,taxes_prod_defl,chainlink_disc_defl,gdp_real,cons_hh_real,cons_gov_real,inv_real,capform_real,exports_real,imports_real,gdp_output_real,va_total_real,va_agri_real,va_ind_real,va_mfg_real,va_constr_real,va_trade_real,va_ict_real,va_fin_real,va_realest_real,va_prof_real,va_public_real,va_other_real,va_services_real,taxes_prod_real,chainlink_disc_real
DEU,1995-01-01,468140,259509,90908,110553,115761,100780,98735,468140,422588,4992,109231,95368,28894,66400,16222,18355,44949,41269,74754,17522,279471,45635,,471407,252378,179749,39280,50335,11055,73.6597,72.9237,78.3069,79.7058,71.829,89.409,92.2591,73.6597,74.9933,85.7983,82.2564,82.8827,52.3001,79.38,146.35,48.303,86.0444,68.5631,63.9788,58.5728,73.8007,62.0816,,635544,355864,116092,138701,161162,112718,107019,635544,563501,5818.3,132793,115064,55246.5,83648.3,11084.4,37999.7,52239.3,60191.3,116842,29914.9,378684,73508.1,-2374.3
DEU,1995-04-01,475061,263212,92616,112372,117967,101496,100275,475061,429032,4937,110815,96847,29841,67292,16519,19144,45536,41865,75509,17574,283439,45984,,473745,255439,178727,39579,50191,10612,74.11,73.3426,78.389,80.0922,72.1158,89.2427,91.1637,74.11,75.4417,83.8656,82.9906,83.8072,52.6898,79.6605,146.815,50.4816,86.0025,68.8346,64.0125,59.0669,74.1779,62.7585,,641022,358880,118149,140303,163580,113730,109994,641022,568693,5886.8,133527,115559,56635.2,84473.5,11251.6,37922.7,52947.3,60819.7,117960,29752.7,382107,73271.4,-2498
DEU,1995-07-01,478132,265465,94471,112142,116913,102254,100901,478132,433055,4821,110445,96372,29275,68045,17019,19762,46410,42640,76917,17721,288514,45147,,476410,257387,179174,39849,50264,10415,74.4679,73.71,78.7543,80.223,72.2414,89.3523,91.0568,74.4679,75.9525,81.0375,83.3054,84.141,52.8492,79.8311,148.64,51.8175,86.7525,69.3717,64.7482,59.5462,74.8529,61.8232,,642065,360148,119957,139788,161837,114439,110811,642065,570166,5949.1,132578,114536,55393.5,85236.2,11449.8,38137.7,53497,61466,118794,29760.1,385442,73026,-2419.9
DEU,1995-10-01,479050,267216,95095,111073,114526,103861,101630,479050,435377,4862,109907,95618,28743,68468,17535,20464,46903,42943,77814,17738,291865,43691,,478367,259280,179553,39534,50216,10682,74.5705,73.9359,78.1225,80.0594,72.393,89.3081,90.6882,74.5705,76.194,81.5293,83.3271,84.0929,53.0596,80.2568,149.741,53.2106,86.6488,69.469,64.7992,60.0145,75.1674,60.8297,,642413,361416,121726,138738,158200,116295,112065,642413,571406,5963.5,131898,113705,54171.2,85311.2,11710.2,38458.5,54130,61816.1,120085,29556.2,388286,71825.1,-1710.7
DEU,1996-01-01,475467,267497,94904,105081,110205,105065,102147,475467,428389,5007,108079,94163,25852,66242,16620,20553,46762,42667,78656,17951,289451,47135,,477414,257784,179419,40211,50546,10335,74.5576,73.6972,78.8026,79.9557,72.6392,89.083,90.8597,74.5576,76.083,81.5114,84.2246,85.36,52.7469,80.1011,143.935,53.6558,82.878,69.744,65.4703,60.4075,74.7404,61.5818,,637718,362968,120432,131424,151716,117941,112423,637718,563055,6142.7,128322,110313,49011.4,82698,11546.9,38305.3,56422.7,61176.6,120140,29716.5,387275,76540.5,-2456.6
DEU,1996-04-01,481231,269266,95443,113024,114643,105389,103446,481231,435463,5251,109077,95169,28412,67850,16847,20353,47379,43327,79000,17967,292723,45832,,479586,257321,183448,38817,49187,10370,74.4065,73.8288,78.3992,79.764,72.605,89.0265,91.375,74.4065,75.8771,84.6349,83.983,85.0277,52.4597,80.2379,143.248,52.618,82.7741,69.8997,65.066,60.3367,74.5226,62.1638,,646760,364717,121740,141698,157900,118379,113210,646760,573906,6204.3,129880,111927,54159.7,84561,11760.7,38680.7,57238.9,61984.5,121415,29777.9,392798,73727.8,-1842.5
DEU,1996-07-01,483803,270680,96623,112563,112466,107606,103564,483803,437079,5372,109184,95185,28052,67973,17191,20217,47981,43869,79147,18093,294471,46732,,484157,259182,184697,40278,50863,10585,74.5436,74.101,78.1953,79.6353,72.3948,88.7489,90.8704,74.5436,76.1279,86.2182,84.0887,85.1392,52.8095,80.5979,142.409,52.7654,82.8374,70.5901,65.1618,61.0267,74.7763,61.1323,,649020,365285,123566,141348,155351,121248,113969,649020,574138,6230.7,129844,111799,53119.2,84335.9,12071.6,38314.9,57921.9,62146.1,121462,29647.7,393802,76444.1,-2256.2
DEU,1996-10-01,489255,272263,96533,112726,116360,112605,108644,489255,444107,4951,111176,96738,28255,69145,17711,20914,48968,44891,79860,18236,299725,45010,,487403,259700,188268,39435,50776,11341,74.6833,74.312,78.1832,79.5951,73.1283,88.8179,91.7806,74.6833,76.3217,78.3398,84.5618,85.5016,53.1878,80.7898,142.139,53.6854,82.7446,71.014,65.1911,61.2855,74.9718,60.7385,,655106,366378,123470,141624,159118,126782,118374,655106,581888,6319.9,131473,113142,53123.1,85586.3,12460.3,38956.6,59179.7,63214.3,122501,29755.8,399784,74104.6,-1306
DEU,1997-01-01,485645,274036,96760,109498,112714,115244,113141,485645,438362,4791,110475,96719,26049,69388,18283,21660,47347,43422,78706,18241,297047,47251,,480074,259252,179756,41066,50545,9479,74.5204,74.5203,78.1723,79.905,72.4864,89.2538,92.8897,74.5204,75.9617,76.1927,83.6726,84.6685,51.7968,81.2696,143.061,55.6473,81.828,71.3816,64.0639,62.4155,74.9637,62.1869,,651694,367733,123778,137035,155497,129119,121802,651694,577083,6288,132032,114233,50290.8,85380,12779.9,38923.7,57861.6,60830.8,122856,29225.1,396255,75982.2,-1852.1
DEU,1997-04-01,490369,274369,96798,111479,114694,118898,114381,490369,442990,5109,110991,97035,26942,69805,18554,21519,48480,44443,78885,18262,299948,47388,,493449,258981,193455,41013,51328,10315,74.382,74.4251,77.7081,79.6281,72.5272,89.4876,92.9727,74.382,75.8066,82.5204,83.2619,84.0164,51.765,81.2465,141.229,55.0807,81.4871,71.4674,63.98,62.3196,74.7717,62.5621,,659258,368651,124566,140000,158139,132865,123026,659258,584368,6191.2,133304,115495,52046.8,85917.6,13137.5,39068.1,59494.1,62186.4,123296,29303.8,401152,75745.5,-1897.7
