date,news,ngov,ngdp,pgdp,rgdp,rgdp_pott6,unemp
1889-01-01,,0.760374,14.9,0.051018,292.1109,266.4115,
1889-04-01,,0.635572,14.57,0.050438,288.7733,269.8657,
1889-07-01,,0.741198,14.55,0.050328,289.1998,273.3183,
1889-10-01,,0.683323,14.69,0.050687,289.8834,276.7694,
1890-01-01,0.0,0.632102,14.21,0.049147,289.0389,280.2186,3.43
1890-04-01,0.014,0.718956,14.36,0.048962,293.3536,283.6658,3.48
1890-07-01,0.0,0.819915,14.87,0.049916,297.8088,287.1108,4.25
1890-10-01,0.0,0.821529,15.16,0.049738,304.8819,290.5536,4.73
1891-01-01,0.0,0.784169,15.12,0.049653,304.4456,293.994,4.92
1891-04-01,0.0,0.90306,15.34,0.049881,307.6132,297.432,4.73
1891-07-01,0.0,0.674893,16.1,0.048989,328.7038,300.8673,4.15
1891-10-01,0.0,0.779778,16.22,0.048926,331.4393,304.3,4.17
1892-01-01,0.0,0.804636,15.92,0.048371,329.0615,307.7303,4.15
1892-04-01,0.0,0.861491,15.39,0.047733,322.4636,311.158,4.2
1892-07-01,0.0,0.786329,15.69,0.048956,320.465,314.5828,4.33
1892-10-01,0.0,0.816207,16.24,0.049878,325.5435,318.0052,4.56
1893-01-01,0.0,0.906048,16.92,0.051074,331.3138,321.4251,5.55
1893-04-01,0.0,0.877787,16.32,0.049383,330.3848,324.8427,6.4
1893-07-01,0.0,0.819022,14.32,0.047308,302.6543,328.2578,7.11
1893-10-01,0.0,0.819732,13.87,0.0478,290.161,331.6707,8.02
1894-01-01,0.0,0.827815,13.41,0.04655,288.1295,335.0816,9.05
1894-04-01,0.0,0.859196,13.18,0.045952,286.805,338.4904,9.79
1894-07-01,0.0,0.870718,13.95,0.046789,298.0686,341.8974,9.15
1894-10-01,0.0,0.851279,14.42,0.045915,314.1207,345.3029,9.13
1895-01-01,0.0,0.863548,14.47,0.044517,325.0825,348.7069,8.8
1895-04-01,0.0,0.878725,15.45,0.046096,335.212,352.1098,8.51
1895-07-01,0.0,0.880103,16.06,0.045867,350.2535,355.5117,8.34
1895-10-01,0.0,0.877175,16.49,0.045902,359.1869,358.9128,8.28
1896-01-01,0.0,0.87811,15.83,0.045902,344.9001,362.3135,9.31
1896-04-01,0.0,0.860608,15.51,0.045507,340.8476,365.714,9.32
1896-07-01,0.0,0.933346,15.07,0.04506,334.3874,369.1146,9.27
1896-10-01,0.0,0.945196,15.3,0.04654,328.658,372.5155,9.17
1897-01-01,0.0,0.956386,15.62,0.045316,344.6214,375.9171,9.04
1897-04-01,0.0,0.942257,15.46,0.044228,349.5988,379.3199,8.97
1897-07-01,0.0,0.985068,16.36,0.045026,363.3305,382.7239,7.97
1897-10-01,0.0,0.937274,16.81,0.045614,368.4711,386.1295,8.06
1898-01-01,0.0,0.909265,16.93,0.045907,368.8748,389.5375,8.18
1898-04-01,0.2,1.250918,17.01,0.046579,365.2567,392.9479,8.09
1898-07-01,-0.05,1.328835,16.39,0.045123,363.3128,396.3611,7.75
1898-10-01,0.0,1.192142,16.5,0.044772,368.441,399.7775,7.14
1899-01-01,0.106,1.27611,17.84,0.04524,394.3858,403.1978,6.32
1899-04-01,0.0,1.299786,18.14,0.045656,397.3356,406.622,5.59
1899-07-01,0.0,1.179927,18.99,0.046664,406.8687,410.0508,5.98
1899-10-01,0.0,1.215081,19.78,0.047961,412.4229,413.4845,5.51
1900-01-01,0.09,1.149512,19.68,0.048154,408.7329,416.9237,5.17
1900-04-01,0.0,1.231556,19.44,0.047245,411.4263,420.3688,4.96
1900-07-01,0.0,1.345256,19.33,0.04699,411.4055,423.8202,4.9
1900-10-01,0.0,1.362287,19.35,0.046898,412.7011,427.2785,4.97
1901-01-01,0.0,1.344436,20.82,0.047207,441.0019,430.744,4.15
1901-04-01,0.0,1.331855,21.7,0.047063,461.0991,434.2177,4.23
1901-07-01,0.0,1.230965,22.15,0.047725,464.2088,437.6994,4.18
1901-10-01,0.37,1.290008,22.55,0.048234,467.5066,441.19,4.0
1902-01-01,0.0,1.330281,21.59,0.047308,456.3725,444.6899,3.7
1902-04-01,0.0,1.332648,21.88,0.047798,457.8242,448.1999,3.38
1902-07-01,0.0,1.449135,22.44,0.04787,468.7233,451.7202,3.04
1902-10-01,0.0,1.488126,23.58,0.050079,470.877,455.2515,3.68
1903-01-01,0.0,1.627034,24.73,0.050432,490.2616,458.7943,3.36
